team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,run_xr,pass_sr,pass_xr,total_sr,total_xr,run_rate,runner,passer,receiver,play_description
Alabama,1Q,1,2,1,1,Red Zone,run,1,not successful,0.00,0.00,,,0.00,0.00,1.00,Lacy,,,Lacy rush left for 1 yard to the Ala19.
Alabama,1Q,1,3,2,2,Red Zone,pass,29,explosive,,,1.00,1.00,0.50,0.50,0.50,,McCarron,Norwood,McCarron pass completion to the right to Norwood for 29 yards to the Ala48.
Alabama,1Q,1,4,3,1,Normal,run,10,successful,0.50,0.00,,,0.67,0.33,0.67,Lacy,,,Lacy rush left for 10 yards to the ND42.
Alabama,1Q,1,5,4,1,Normal,run,2,not successful,0.33,0.00,,,0.50,0.25,0.75,Yeldon,,,Yeldon rush left for 2 yards to the ND20.
Alabama,1Q,1,6,5,2,Normal,run,20,explosive,0.50,0.25,,,0.60,0.40,0.80,Lacy,,, Lacy rush middle for 20 yards for a TOUCHDOWN.
Notre Dame,1Q,2,8,1,1,Normal,pass,8,successful,,,1.00,0.00,1.00,0.00,0.00,,Golson,Jones,Golson pass completion to the left to Jones for 8 yards to the ND33.
Notre Dame,1Q,2,9,2,2,Normal,pass,,not successful,,,0.50,0.00,0.50,0.00,0.00,,Golson,,Golson incomplete pass to the left.
Notre Dame,1Q,2,10,3,3,Normal,pass,,not successful,,,0.33,0.00,0.33,0.00,0.00,,Golson,,Golson incomplete pass to the left.
Alabama,1Q,2,12,6,1,Normal,run,3,not successful,0.40,0.20,,,0.50,0.33,0.83,Lacy,,,Lacy rush middle for 3 yards to the Ala42.
Alabama,1Q,2,13,7,2,Normal,pass,6,successful,,,1.00,0.50,0.57,0.29,0.71,,McCarron,Lacy,McCarron pass completion to the left to Lacy for 6 yards to the Ala48.
Alabama,1Q,2,14,8,3,Normal,run,8,successful,0.50,0.17,,,0.63,0.25,0.75,Lacy,,,Lacy rush left for 8 yards to the ND44.
Alabama,1Q,2,15,9,1,Normal,pass,,not successful,,,0.67,0.33,0.56,0.22,0.67,,McCarron,,McCarron incomplete pass to the middle.
Alabama,1Q,2,16,10,2,Normal,run,5,not successful,0.43,0.14,,,0.50,0.20,0.70,Lacy,,,Lacy rush for 5 yards to the ND39.
Alabama,1Q,2,17,11,3,Normal,pass,7,successful,,,0.75,0.25,0.55,0.18,0.64,,McCarron,Shinn,McCarron pass completion to the middle to Shinn for 7 yards to the ND32.
Alabama,1Q,2,18,12,1,Normal,run,5,successful,0.50,0.13,,,0.58,0.17,0.67,Lacy,,,Lacy rush left for 5 yards to the ND27.
Alabama,1Q,2,19,13,2,Normal,pass,4,successful,,,0.80,0.20,0.62,0.15,0.62,,McCarron,Cooper,McCarron pass completion to the left to Cooper for 4 yards to the ND23.
Alabama,1Q,2,20,14,3,Normal,run,20,explosive,0.56,0.22,,,0.64,0.21,0.64,Lacy,,,Lacy rush middle for 20 yards to the ND3.
Alabama,1Q,2,21,15,1,Red Zone,pass,3,successful,,,0.83,0.17,0.67,0.20,0.60,,McCarron,Williams, McCarron pass completion to the middle to Williams for 3 yards for a TOUCHDOWN.
Notre Dame,1Q,3,23,5,1,Normal,pass,8,successful,,,0.50,0.00,0.50,0.00,0.00,,Golson,Eifert,Golson pass completion to the left to Eifert for 8 yards to the ND28.
Notre Dame,1Q,3,24,6,2,Normal,run,7,successful,1.00,0.00,,,0.60,0.00,0.20,Wood,,,Wood rush for 7 yards to the ND35.
Notre Dame,1Q,3,25,7,1,Normal,run,0,not successful,0.50,0.00,,,0.50,0.00,0.33,Riddick,,,Riddick rush middle for 0 yards.
Notre Dame,1Q,3,26,8,2,Normal,pass,,not successful,,,0.40,0.00,0.43,0.00,0.29,,Golson,,Golson incomplete pass to the left.
Notre Dame,1Q,3,27,9,3,Normal,pass,,not successful,,,0.33,0.00,0.38,0.00,0.25,,Golson,,Golson incomplete pass to the right.
Alabama,1Q,3,29,16,1,Normal,run,7,successful,0.60,0.20,,,0.69,0.19,0.63,Yeldon,,,Yeldon rush for 7 yards to the Ala27.
Alabama,1Q,3,30,17,2,Normal,pass,25,explosive,,,0.86,0.29,0.71,0.24,0.59,,McCarron,Norwood,McCarron pass completion to the right to Norwood for 25 yards to the ND48.
Alabama,1Q,3,31,18,1,Normal,pass,11,successful,,,0.88,0.25,0.72,0.22,0.56,,McCarron,Cooper,McCarron pass completion to the right to Cooper for 11 yards to the ND37.
Alabama,1Q,3,32,19,1,Normal,run,-2,not successful,0.55,0.18,,,0.68,0.21,0.58,Yeldon,,,Yeldon rush left for -2 yards to the ND39.
Alabama,1Q,3,33,20,2,Normal,run,6,not successful,0.50,0.17,,,0.65,0.20,0.60,Yeldon,,,Yeldon rush middle for 6 yards to the ND33.
Alabama,1Q,3,34,21,3,Normal,pass,27,explosive,,,0.89,0.33,0.67,0.24,0.57,,McCarron,Cooper,McCarron pass completion to the left to Cooper for 27 yards to the ND6.
Alabama,1Q,3,35,22,1,Red Zone,run,5,successful,0.54,0.15,,,0.68,0.23,0.59,Yeldon,,,Yeldon rush left for 5 yards to the ND1.
Alabama,2Q,4,36,23,2,Red Zone,run,1,successful,0.57,0.14,,,0.70,0.22,0.61,Yeldon,,, Yeldon rush right for 1 yard for a TOUCHDOWN.
Notre Dame,2Q,4,38,11,1,Normal,pass,31,explosive,,,0.43,0.14,0.44,0.11,0.22,,Golson,Daniels,Golson pass completion to the right to Daniels for 31 yards to the Ala44.
Notre Dame,2Q,4,39,12,1,Normal,pass,,not successful,,,0.38,0.13,0.40,0.10,0.20,,Golson,,Golson incomplete pass to the left.
Notre Dame,2Q,4,40,13,2,Normal,run,0,not successful,0.33,0.00,,,0.36,0.09,0.27,Riddick,,,Riddick rush left for 0 yards.
Notre Dame,2Q,4,41,14,3,Normal,run,5,not successful,0.25,0.00,,,0.33,0.08,0.33,Golson,,,Golson rush middle for 5 yards to the Ala39.
Notre Dame,2Q,4,42,15,4,Normal,pass,,not successful,,,0.33,0.11,0.31,0.08,0.31,,Golson,,Golson incomplete pass to the right.
Alabama,2Q,5,43,24,1,Normal,pass,,not successful,,,0.80,0.30,0.67,0.21,0.58,,McCarron,,McCarron incomplete pass to the right.
Alabama,2Q,5,44,25,2,Normal,run,-2,not successful,0.53,0.13,,,0.64,0.20,0.60,Lacy,,,Lacy rush right for -2 yards to the Ala37.
Alabama,2Q,5,45,26,3,Normal,run,9,not successful,0.50,0.13,,,0.62,0.19,0.62,McCarron,,,McCarron rush middle for 9 yards to the Ala36.
Notre Dame,2Q,5,48,16,1,Normal,run,20,explosive,0.40,0.20,,,0.36,0.14,0.36,Riddick,,,Riddick rush right for 20 yards to the ND28.
Notre Dame,2Q,5,49,17,1,Normal,run,-2,not successful,0.33,0.17,,,0.33,0.13,0.40,Riddick,,,Riddick rush right for -2 yards to the ND26.
Notre Dame,2Q,5,50,18,2,Normal,pass,9,successful,,,0.40,0.10,0.38,0.13,0.38,,Golson,Jones,Golson pass completion to the left to Jones for 9 yards to the ND35.
Notre Dame,2Q,5,51,19,3,Normal,run,2,not successful,0.29,0.14,,,0.35,0.12,0.41,Golson,,,Golson rush for 2 yards to the ND37.
Alabama,2Q,6,53,28,1,Red Zone,run,17,explosive,0.53,0.18,,,0.63,0.22,0.63,Lacy,,,Lacy rush for 17 yards to the Ala30.
Alabama,2Q,6,54,29,1,Normal,run,5,successful,0.56,0.17,,,0.64,0.21,0.64,Lacy,,,Lacy rush for 5 yards to the Ala35.
Alabama,2Q,6,55,30,2,Normal,pass,6,successful,,,0.82,0.27,0.66,0.21,0.62,,McCarron,Williams,McCarron pass completion to the middle to Williams for 6 yards to the Ala41.
Alabama,2Q,6,56,31,1,Normal,pass,,not successful,,,0.75,0.25,0.63,0.20,0.60,,McCarron,,McCarron incomplete pass to the right.
Alabama,2Q,6,57,32,2,Normal,pass,,not successful,,,0.69,0.23,0.61,0.19,0.58,,McCarron,,McCarron incomplete pass to the right.
