team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Auburn,1Q,1,2,1,1,Normal,pass,,not successful,,0.00,0.00,0.00,,J.Stidham,S.Williams,,,,,8-J.Stidham incomplete. Intended for 18-S.Williams.
Auburn,1Q,1,3,2,2,Normal,pass,,not successful,,0.00,0.00,0.00,,J.Stidham,D.Slayton,,,,,8-J.Stidham incomplete. Intended for 81-D.Slayton.
Auburn,1Q,1,4,3,3,Normal,pass,,not successful,,0.00,0.00,0.00,,J.Stidham,S.Williams,,,,,8-J.Stidham incomplete. Intended for 18-S.Williams.
Alabama,1Q,1,7,2,1,Normal,run,5,successful,1.00,,1.00,1.00,D.Harris,,,D.Davis,,1,,34-D.Harris to BAMA 18 for 5 yards (57-D.Davis).
Alabama,1Q,1,8,3,2,Normal,pass,13,successful,,1.00,1.00,0.50,,T.Tagovailoa,J.Jeudy,N.Igbinoghene,,1,,13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy pushed ob at BAMA 31 for 13 yards (4-N.Igbinoghene).
Alabama,1Q,1,9,4,1,Normal,run,3,not successful,0.50,,0.67,0.67,D.Harris,,,D.Brown,D.Russell,0.5,0.5,"34-D.Harris to BAMA 34 for 3 yards (5-D.Brown,95-D.Russell)."
Alabama,1Q,1,10,5,2,Normal,pass,11,successful,,1.00,0.75,0.50,,T.Tagovailoa,I.Smith,D.Thomas,,1,,13-T.Tagovailoa complete to 82-I.Smith. 82-I.Smith to BAMA 45 for 11 yards (24-D.Thomas).
Alabama,1Q,1,11,6,1,Normal,run,5,successful,0.67,,0.80,0.60,D.Harris,,,D.Russell,D.Williams,0.5,0.5,"34-D.Harris to BAMA 50 for 5 yards (95-D.Russell,49-D.Williams)."
Alabama,1Q,1,12,7,2,Normal,pass,,not successful,,0.67,0.67,0.50,,T.Tagovailoa,H.Ruggs,,,,,13-T.Tagovailoa incomplete. Intended for 11-H.Ruggs.
Alabama,1Q,1,13,8,3,Normal,pass,,not successful,,0.50,0.57,0.43,,T.Tagovailoa,J.Jeudy,,,,,13-T.Tagovailoa incomplete. Intended for 4-J.Jeudy.
