Team,Quarter_quintile,Run_U_plays,Pass_U_plays,Run_S_plays,Pass_S_plays,Run_SR_cume,Pass_SR_cume,RunRate_cume
Alabama,1.1,1,1,0,2,0.00,0.67,0.25
Alabama,1.2,0,1,0,0,0.00,0.50,0.20
Alabama,1.3,1,2,1,1,0.33,0.43,0.30
Alabama,1.4,0,0,0,0,0.33,0.43,0.30
Alabama,1.5,3,0,0,2,0.17,0.56,0.40
Alabama,2.1,4,1,2,1,0.25,0.55,0.52
Alabama,2.2,0,1,0,0,0.25,0.50,0.50
Alabama,2.3,1,1,0,3,0.23,0.56,0.45
Alabama,2.4,1,0,1,1,0.27,0.59,0.47
Alabama,2.5,1,3,0,1,0.25,0.52,0.43
Alabama,3.1,2,1,0,3,0.22,0.56,0.42
Alabama,3.2,1,0,1,1,0.25,0.58,0.43
Alabama,3.3,1,2,1,1,0.27,0.55,0.43
Alabama,3.4,1,1,0,0,0.26,0.53,0.43
Alabama,3.5,0,0,0,1,0.26,0.55,0.43
Alabama,4.1,1,1,0,0,0.25,0.53,0.43
Alabama,4.2,1,0,1,0,0.27,0.53,0.45
Alabama,4.3,1,0,1,0,0.29,0.53,0.47
Alabama,4.4,1,0,2,0,0.32,0.53,0.49
Alabama,4.5,2,1,0,0,0.30,0.52,0.50
