Team,Play_num_team,Drive,Play_num_drive,Quarter,New_q,New_q_team,Play_type,Result_final,1st_down,Points,SR_run_cume,SR_pass_cume,runRate_cume
Alabama,1,1,1,1,1,1,pass,Successful,1D,,,1.00,0.00
Alabama,2,1,2,1,,,pass,Not successful,,,,0.50,0.00
Alabama,3,1,3,1,,,run,Not successful,,,0.00,0.50,0.33
Alabama,4,1,4,1,,,pass,Not successful,,,0.00,0.33,0.25
Auburn,1,1,1,1,,1,pass,Not successful,,,,0.00,0.00
Auburn,2,1,2,1,,,pass,Not successful,,,,0.00,0.00
Auburn,3,1,3,1,,,pass,Not successful,,,,0.00,0.00
Auburn,4,1,4,1,,,field goal,Successful,,3,,0.00,0.00
Alabama,5,2,1,1,,,pass,Successful,,,0.00,0.50,0.20
Alabama,6,2,2,1,,,no play,Not successful,,,0.00,0.50,0.20
Alabama,7,2,3,1,,,run,Not successful,,,0.00,0.50,0.33
Alabama,8,2,4,1,,,run,Explosive,1D,,0.33,0.50,0.43
Alabama,9,2,5,1,,,pass,Successful,,,0.33,0.60,0.38
Alabama,10,2,6,1,,,pass,Successful,1D,,0.33,0.67,0.33
Alabama,11,2,7,1,,,run,Not successful,,,0.25,0.67,0.40
Alabama,12,2,8,1,,,pass,Explosive,1D,,0.25,0.71,0.36
Alabama,13,2,9,1,,,run,Not successful,,,0.20,0.71,0.42
Alabama,14,2,10,1,,,pass,Not successful,,,0.20,0.63,0.38
Alabama,15,2,11,1,,,penalty,Successful,1D,,0.20,0.63,0.38
Alabama,16,2,12,1,,,pass,Successful,,,0.20,0.67,0.36
Alabama,17,2,13,1,,,run,Not successful,,,0.17,0.67,0.40
Alabama,18,2,14,1,,,pass,Not successful,,,0.17,0.60,0.38
Alabama,19,2,15,1,,,field goal,Successful,,3,0.17,0.60,0.38
Auburn,5,2,1,1,,,pass,Not successful,,,,0.00,0.00
Auburn,6,2,2,1,,,run,Not successful,,,0.00,0.00,0.20
Auburn,7,2,3,1,,,pass,Not successful,,,0.00,0.00,0.17
Alabama,20,3,1,1,,,pass,Not successful,,,0.17,0.55,0.35
Alabama,21,3,2,1,,,pass,Explosive,1D,,0.17,0.58,0.33
Alabama,22,3,3,1,,,pass,Explosive,1D,6,0.17,0.62,0.32
Auburn,8,3,1,1,,,run,Not successful,,,0.00,0.00,0.29
Auburn,9,3,2,1,,,run,Not successful,,,0.00,0.00,0.38
Auburn,10,3,3,1,,,pass,Not successful,,,0.00,0.00,0.33
Alabama,23,4,1,1,,,pass,Successful,,,0.17,0.64,0.30
