Team,Play_num_team,Drive,Play_num_drive,Quarter,New_q,New_q_team,Play_type,Result_final,1st_down,Points,SR_run_cume,SR_pass_cume,runRate_cume
Alabama,1,1,1,1,1,1,pass,Not successful,,,,0.00,0.00
Alabama,2,1,2,1,,,run,Not successful,,,0.00,0.00,0.50
Alabama,3,1,3,1,,,pass,Not successful,,,0.00,0.00,0.33
Clemson,1,1,1,1,,1,run,Successful,1D,,1.00,,1.00
Clemson,2,1,2,1,,,pass,Not successful,,,1.00,0.00,0.50
Clemson,3,1,3,1,,,pass,Explosive,1D,,1.00,0.50,0.33
Clemson,4,1,4,1,,,pass,Not successful,,,1.00,0.33,0.25
Clemson,5,1,5,1,,,run,Not successful,,,0.50,0.33,0.40
Clemson,6,1,6,1,,,pass,Not successful,,,0.50,0.25,0.33
Clemson,7,1,7,1,,,run,Not successful,,,0.33,0.25,0.43
Alabama,4,2,1,1,,,run,Explosive,1D,,0.50,0.00,0.50
Alabama,5,2,2,1,,,run,Not successful,,,0.33,0.00,0.60
Alabama,6,2,3,1,,,no play,Successful,1D,,0.33,0.00,0.60
Alabama,7,2,4,1,,,no play,Not successful,,,0.33,0.00,0.60
Alabama,8,2,5,1,,,run,Explosive,1D,6,0.50,0.00,0.67
Clemson,8,2,1,1,,,run,Not successful,,,0.25,0.25,0.50
Clemson,9,2,2,1,,,pass,Successful,,,0.25,0.40,0.44
Clemson,10,2,3,1,,,pass,Successful,1D,,0.25,0.50,0.40
Clemson,11,2,4,1,,,run,Not successful,,,0.20,0.50,0.45
Clemson,12,2,5,1,,,run,Not successful,,,0.17,0.50,0.50
Clemson,13,2,6,1,,,pass,Not successful,,,0.17,0.43,0.46
Alabama,9,3,1,1,,,run,Not successful,,,0.40,0.00,0.71
Alabama,10,3,2,1,,,pass,Successful,,,0.40,0.33,0.63
Alabama,11,3,3,1,,,run,Successful,1D,,0.50,0.33,0.67
Alabama,12,3,4,1,,,pass,Not successful,,,0.50,0.25,0.60
Alabama,13,3,5,1,,,pass,Not successful,,,0.50,0.20,0.55
Alabama,14,3,6,1,,,run,Successful,1D,,0.57,0.20,0.58
Alabama,15,3,7,1,,,run,Not successful,,,0.50,0.20,0.62
Alabama,16,3,8,1,,,run,Successful,,,0.56,0.20,0.64
Alabama,17,3,9,1,,,no play,Not successful,,,0.56,0.20,0.64
Alabama,18,3,10,1,,,pass,Not successful,,,0.56,0.17,0.60
