Team,Play_num_team,Drive,Play_num_drive,Quarter,New_q,New_q_team,Play_type,Result_final,1st_down,Points,SR_run_cume,SR_pass_cume,runRate_cume
Florida,1,1,1,1,1,1,run,Not successful,,,0.00,,1.00
Florida,2,1,2,1,,,run,Not successful,,,0.00,,1.00
Florida,3,1,3,1,,,penalty,Not successful,,,0.00,,1.00
Florida,4,1,4,1,,,pass,Explosive,1D,,0.00,1.00,0.67
Florida,5,1,5,1,,,pass,Not successful,,,0.00,0.50,0.50
Florida,6,1,6,1,,,pass,Not successful,,,0.00,0.33,0.40
Florida,7,1,7,1,,,pass,Successful,1D,,0.00,0.50,0.33
Florida,8,1,8,1,,,pass,Not successful,,,0.00,0.40,0.29
Florida,9,1,9,1,,,run,Not successful,,,0.00,0.40,0.38
Florida,10,1,10,1,,,pass,Explosive,1D,,0.00,0.50,0.33
Florida,11,1,11,1,,,pass,Successful,,6,0.00,0.57,0.30
Alabama,1,1,1,1,,1,run,Not successful,,,0.00,,1.00
Alabama,2,1,2,1,,,pass,Not successful,,,0.00,0.00,0.50
Alabama,3,1,3,1,,,pass,Not successful,,,0.00,0.00,0.33
Florida,12,2,1,1,,,pass,Not successful,,,0.00,0.50,0.27
Alabama,4,2,1,1,,,run,Not successful,,,0.00,0.00,0.50
Alabama,5,2,2,1,,,pass,Not successful,,,0.00,0.00,0.40
Alabama,6,2,3,1,,,pass,Not successful,,,0.00,0.00,0.33
Alabama,7,2,4,1,,,field goal,Not successful,,3,0.00,0.00,0.33
Florida,13,3,1,1,,,run,Successful,,,0.25,0.50,0.33
Florida,14,3,2,1,,,pass,Successful,1D,,0.25,0.56,0.31
Florida,15,3,3,1,,,no play,Not successful,,,0.25,0.56,0.31
Florida,16,3,4,1,,,pass,Not successful,,,0.25,0.50,0.29
Florida,17,4,1,1,,,run,Not successful,,,0.20,0.50,0.33
Florida,18,4,2,1,,,pass,Successful,,,0.20,0.55,0.31
Florida,19,4,3,1,,,run,Successful,1D,,0.33,0.55,0.35
Florida,20,4,4,1,,,pass,Not successful,,,0.33,0.50,0.33
Florida,21,4,5,1,,,run,Not successful,,,0.29,0.50,0.37
Florida,22,4,6,1,,,pass,Not successful,,,0.29,0.46,0.35
Florida,23,5,1,1,,,pass,Not successful,,,0.29,0.43,0.33
Florida,24,5,2,1,,,run,Not successful,,,0.25,0.43,0.36
Florida,25,5,3,1,,,run,Not successful,,,0.22,0.43,0.39
Alabama,8,5,1,2,2,2,pass,Not successful,,,0.00,0.00,0.29
Alabama,9,5,2,2,,,run,Successful,1D,,0.33,0.00,0.38
Alabama,10,5,3,2,,,pass,Not successful,,,0.33,0.00,0.33
