Team,Play_num_team,Drive,Play_num_drive,Quarter,New_q,New_q_team,Play_type,Result_final,1st_down,Points,SR_run_cume,SR_pass_cume,runRate_cume
Ole Miss,1,1,1,1,1,1,run,Not successful,,,0.00,,1.00
Ole Miss,2,1,2,1,,,pass,Successful,1D,,0.00,1.00,0.50
Ole Miss,3,1,3,1,,,run,Not successful,,,0.00,1.00,0.67
Ole Miss,4,1,4,1,,,pass,Not successful,,,0.00,0.50,0.50
Ole Miss,5,1,5,1,,,pass,Explosive,1D,,0.00,0.67,0.40
Ole Miss,6,1,6,1,,,pass,Successful,1D,,0.00,0.75,0.33
Ole Miss,7,1,7,1,,,run,Explosive,1D,6,0.33,0.75,0.43
Alabama,1,1,1,1,,1,run,Successful,,,1.00,,1.00
Alabama,2,1,2,1,,,pass,Successful,,,1.00,1.00,0.50
Alabama,3,1,3,1,,,run,Successful,1D,,1.00,1.00,0.67
Alabama,4,1,4,1,,,pass,Not successful,,,1.00,0.50,0.50
Alabama,5,1,5,1,,,run,Successful,1D,,1.00,0.50,0.60
Alabama,6,1,6,1,,,run,Successful,,,1.00,0.50,0.67
Alabama,7,1,7,1,,,pass,Not successful,,,1.00,0.33,0.57
Alabama,8,1,8,1,,,run,Successful,1D,,1.00,0.33,0.63
Alabama,9,1,9,1,,,run,Successful,,,1.00,0.33,0.67
Alabama,10,1,10,1,,,pass,Successful,1D,,1.00,0.50,0.60
Alabama,11,1,11,1,,,pass,Not successful,,,1.00,0.40,0.55
Alabama,12,1,12,1,,,pass,Not successful,,,1.00,0.33,0.50
Alabama,13,1,13,1,,,run,Successful,1D,,1.00,0.33,0.54
Alabama,14,1,14,1,,,run,Not successful,,,0.88,0.33,0.57
Alabama,15,1,15,1,,,run,Not successful,,,0.78,0.33,0.60
Alabama,16,1,16,1,,,pass,Not successful,,,0.78,0.29,0.56
Alabama,17,1,17,1,,,field goal,Successful,,3,0.78,0.29,0.56
Ole Miss,8,2,1,1,,,penalty,Not successful,,,0.33,0.75,0.43
Ole Miss,9,2,2,1,,,run,Not successful,,,0.25,0.75,0.50
Ole Miss,10,2,3,1,,,pass,Not successful,,,0.25,0.60,0.44
Ole Miss,11,2,4,1,,,pass,Not successful,,,0.25,0.50,0.40
Alabama,18,2,1,1,,,pass,Not successful,,,0.78,0.25,0.53
Alabama,19,2,2,1,,,penalty,Not successful,,,0.78,0.25,0.53
Alabama,20,2,3,1,,,pass,Explosive,1D,,0.78,0.33,0.50
Alabama,21,2,4,1,,,penalty,Not successful,,,0.78,0.33,0.50
Alabama,22,2,5,1,,,pass,Not successful,,,0.78,0.30,0.47
Alabama,23,2,6,1,,,run,Explosive,,,0.80,0.30,0.50
Alabama,24,2,7,1,,,pass,Successful,1D,,0.80,0.36,0.48
Alabama,25,2,8,1,,,pass,Not successful,,,0.80,0.33,0.45
Alabama,26,2,9,1,,,pass,Not successful,,,0.80,0.31,0.43
Alabama,27,2,10,1,,,pass,Not successful,,,0.80,0.29,0.42
Alabama,28,2,11,1,,,field goal,Not successful,,,0.80,0.29,0.42
Ole Miss,12,3,1,1,,,pass,Not successful,,,0.25,0.43,0.36
Ole Miss,13,3,2,1,,,run,Not successful,,,0.20,0.43,0.42
Ole Miss,14,3,3,1,,,pass,Not successful,,,0.20,0.38,0.38
Alabama,29,3,1,2,2,2,pass,Not successful,,,0.80,0.27,0.40
Alabama,30,3,2,2,,,run,Not successful,,,0.73,0.27,0.42
Alabama,31,3,3,2,,,pass,Not successful,,,0.73,0.25,0.41
Ole Miss,15,4,1,2,,2,run,Not successful,,,0.17,0.38,0.43
Ole Miss,16,4,2,2,,,pass,Not successful,,,0.17,0.33,0.40
Ole Miss,17,4,3,2,,,no play,Not successful,,,0.17,0.33,0.40
Ole Miss,18,4,4,2,,,run,Explosive,,,0.29,0.33,0.44
Alabama,32,4,1,2,,,run,Successful,,,0.75,0.25,0.43
Alabama,33,4,2,2,,,run,Explosive,1D,,0.77,0.25,0.45
Alabama,34,4,3,2,,,penalty,Not successful,,,0.77,0.25,0.45
Alabama,35,4,4,2,,,pass,Not successful,,,0.77,0.24,0.43
Alabama,36,4,5,2,,,run,Not successful,,,0.71,0.24,0.45
Alabama,37,4,6,2,,,run,Not successful,,,0.67,0.24,0.47
Ole Miss,19,5,1,2,,,pass,Explosive,1D,,0.29,0.40,0.41
Ole Miss,20,5,2,2,,,pass,Successful,,,0.29,0.45,0.39
Ole Miss,21,5,3,2,,,run,Not successful,,,0.25,0.45,0.42
Ole Miss,22,5,4,2,,,pass,Not successful,,,0.25,0.42,0.40
Ole Miss,23,5,5,2,,,field goal,Successful,,3,0.25,0.42,0.40
Alabama,38,5,1,2,,,pass,Not successful,,,0.67,0.22,0.45
Alabama,39,5,2,2,,,pass,Explosive,1D,,0.67,0.26,0.44
Alabama,40,5,3,2,,,run,Not successful,,,0.63,0.26,0.46
Alabama,41,5,4,2,,,pass,Not successful,,,0.63,0.25,0.44
Alabama,42,5,5,2,,,run,Explosive,,,0.65,0.25,0.46
Ole Miss,24,6,1,2,,,run,Not successful,,,0.22,0.42,0.43
Ole Miss,25,6,2,2,,,no play,Successful,1D,,0.22,0.42,0.43
Ole Miss,26,6,3,2,,,pass,Explosive,1D,6,0.22,0.46,0.41
Alabama,43,6,1,2,,,pass,Not successful,,,0.65,0.24,0.45
Alabama,44,6,2,2,,,no play,Successful,1D,,0.65,0.24,0.45
Alabama,45,6,3,2,,,pass,Successful,,,0.65,0.27,0.44
Alabama,46,6,4,2,,,penalty,Not successful,,,0.65,0.27,0.44
