Team,Play_num_team,Drive,Play_num_drive,Quarter,New_q,New_q_team,Play_type,Result_final,1st_down,Points,SR_run_cume,SR_pass_cume,runRate_cume
Alabama,1,1,1,1,1,1,pass,Successful,,,,1.00,0.00
Alabama,2,1,2,1,,,run,Explosive,1D,,1.00,1.00,0.50
Alabama,3,1,3,1,,,run,Explosive,1D,,1.00,1.00,0.67
Alabama,4,1,4,1,,,run,Successful,,,1.00,1.00,0.75
Alabama,5,1,5,1,,,run,Successful,1D,,1.00,1.00,0.80
Alabama,6,1,6,1,,,run,Not successful,,,0.80,1.00,0.83
Alabama,7,1,7,1,,,pass,Not successful,,,0.80,0.50,0.71
Alabama,8,1,8,1,,,pass,Not successful,,,0.80,0.33,0.63
Alabama,9,1,9,1,,,field goal,Successful,,3,0.80,0.33,0.63
Texas A&M,1,1,1,1,,1,pass,Not successful,,,,0.00,0.00
Texas A&M,2,1,2,1,,,run,Not successful,,,0.00,0.00,0.50
Texas A&M,3,1,3,1,,,pass,Successful,1D,,0.00,0.50,0.33
Texas A&M,4,1,4,1,,,pass,Not successful,,,0.00,0.33,0.25
Texas A&M,5,1,5,1,,,pass,Not successful,,,0.00,0.25,0.20
Texas A&M,6,1,6,1,,,pass,Not successful,,,0.00,0.20,0.17
Alabama,10,2,1,1,,,pass,Successful,,,0.80,0.50,0.56
Alabama,11,2,2,1,,,run,Explosive,1D,,0.83,0.50,0.60
Alabama,12,2,3,1,,,pass,Successful,,,0.83,0.60,0.55
Alabama,13,2,4,1,,,run,Successful,1D,,0.86,0.60,0.58
Alabama,14,2,5,1,,,pass,Not successful,,,0.86,0.50,0.54
Alabama,15,2,6,1,,,run,Not successful,,,0.75,0.50,0.57
Alabama,16,2,7,1,,,pass,Successful,1D,,0.75,0.57,0.53
Alabama,17,2,8,1,,,run,Successful,,,0.78,0.57,0.56
Alabama,18,2,9,1,,,run,Successful,1D,,0.80,0.57,0.59
Alabama,19,2,10,1,,,pass,Not successful,,,0.80,0.50,0.56
Alabama,20,2,11,1,,,run,Not successful,,,0.73,0.50,0.58
Alabama,21,2,12,1,,,pass,Not successful,,,0.73,0.44,0.55
Alabama,22,2,13,1,,,field goal,Successful,,3,0.73,0.44,0.55
Texas A&M,7,2,1,1,,,run,Not successful,,,0.00,0.20,0.29
Texas A&M,8,2,2,1,,,run,Successful,,,0.33,0.20,0.38
Texas A&M,9,2,3,1,,,run,Successful,1D,,0.50,0.20,0.44
Texas A&M,10,2,4,1,,,run,Not successful,,,0.40,0.20,0.50
Texas A&M,11,2,5,1,,,pass,Successful,,,0.40,0.33,0.45
Texas A&M,12,2,6,1,,,run,Not successful,,,0.33,0.33,0.50
Alabama,23,3,1,1,,,no play,Successful,1D,,0.73,0.44,0.55
Alabama,24,3,2,1,,,run,Successful,,,0.75,0.44,0.57
Alabama,25,3,3,1,,,run,Successful,1D,,0.77,0.44,0.59
Alabama,26,3,4,1,,,run,Not successful,,,0.71,0.44,0.61
Alabama,27,3,5,2,2,2,run,Not successful,,,0.67,0.44,0.63
Alabama,28,3,6,2,,,pass,Successful,1D,,0.67,0.50,0.60
Alabama,29,3,7,2,,,run,Explosive,1D,,0.69,0.50,0.62
Alabama,30,3,8,2,,,run,Successful,,,0.71,0.50,0.63
Alabama,31,3,9,2,,,run,Successful,1D,,0.72,0.50,0.64
Alabama,32,3,10,2,,,pass,Successful,,6,0.72,0.55,0.62
Texas A&M,13,3,1,2,,2,pass,Not successful,,,0.33,0.29,0.46
Texas A&M,14,3,2,2,,,run,Successful,1D,,0.43,0.29,0.50
Texas A&M,15,3,3,2,,,pass,Not successful,,,0.43,0.25,0.47
Texas A&M,16,3,4,2,,,pass,Explosive,1D,,0.43,0.33,0.44
Texas A&M,17,3,5,2,,,run,Not successful,,,0.38,0.33,0.47
Texas A&M,18,3,6,2,,,pass,Successful,1D,,0.38,0.40,0.44
Texas A&M,19,3,7,2,,,pass,Not successful,,,0.38,0.36,0.42
