Team,Play_num_team,Drive,Play_num_drive,Quarter,New_q,New_q_team,Play_type,Result_final,1st_down,Points,SR_run_cume,SR_pass_cume,runRate_cume
Tennessee,1,1,1,1,1,1,run,Successful,,,1.00,,1.00
Tennessee,2,1,2,1,,,pass,Explosive,1D,,1.00,1.00,0.50
Tennessee,3,1,3,1,,,run,Successful,,,1.00,1.00,0.67
Tennessee,4,1,4,1,,,pass,Not successful,,,1.00,0.50,0.50
Tennessee,5,1,5,1,,,pass,Successful,1D,,1.00,0.67,0.40
Tennessee,6,1,6,1,,,run,Not successful,,,0.67,0.67,0.50
Tennessee,7,1,7,1,,,pass,Not successful,,,0.67,0.50,0.43
Tennessee,8,1,8,1,,,pass,Not successful,,,0.67,0.40,0.38
Alabama,1,1,1,1,,1,pass,Successful,,,,1.00,0.00
Alabama,2,1,2,1,,,run,Successful,1D,,1.00,1.00,0.50
Alabama,3,1,3,1,,,run,Successful,,,1.00,1.00,0.67
Alabama,4,1,4,1,,,run,Not successful,,,0.67,1.00,0.75
Alabama,5,1,5,1,,,pass,Not successful,,,0.67,0.50,0.60
Tennessee,9,2,1,1,,,run,Successful,1D,,0.75,0.40,0.44
Tennessee,10,2,2,1,,,pass,Not successful,,,0.75,0.33,0.40
Tennessee,11,2,3,1,,,run,Not successful,,,0.60,0.33,0.45
Tennessee,12,2,4,1,,,pass,Not successful,,,0.60,0.29,0.42
Alabama,6,2,1,1,,,pass,Not successful,,,0.67,0.33,0.50
Alabama,7,2,2,1,,,pass,Not successful,,,0.67,0.25,0.43
Alabama,8,2,3,1,,,pass,Successful,1D,,0.67,0.40,0.38
Alabama,9,2,4,1,,,run,Successful,1D,,0.75,0.40,0.44
Alabama,10,2,5,1,,,run,Explosive,1D,,0.80,0.40,0.50
Alabama,11,2,6,1,,,run,Successful,1D,,0.83,0.40,0.55
Alabama,12,2,7,1,,,run,Successful,,,0.86,0.40,0.58
Alabama,13,2,8,1,,,run,Explosive,1D,6,0.88,0.40,0.62
Tennessee,13,3,1,1,,,run,Not successful,,,0.50,0.29,0.46
Tennessee,14,3,2,1,,,run,Not successful,,,0.43,0.29,0.50
Tennessee,15,3,3,1,,,pass,Not successful,,,0.43,0.25,0.47
Alabama,14,3,1,1,,,pass,Not successful,,,0.88,0.33,0.57
Alabama,15,3,2,1,,,pass,Not successful,,,0.88,0.29,0.53
Alabama,16,3,3,1,,,pass,Not successful,,,0.88,0.25,0.50
Tennessee,16,4,1,1,,,penalty,Successful,1D,,0.43,0.25,0.47
Tennessee,17,4,2,1,,,pass,Not successful,,,0.43,0.22,0.44
Tennessee,18,4,3,1,,,run,Not successful,,,0.38,0.22,0.47
Tennessee,19,4,4,1,,,pass,Not successful,,,0.38,0.20,0.44
Tennessee,20,5,1,1,,,run,Not successful,,,0.33,0.20,0.47
Tennessee,21,5,2,2,2,2,run,Not successful,,,0.30,0.20,0.50
Tennessee,22,5,3,2,,,pass,Not successful,,,0.30,0.18,0.48
Alabama,17,5,1,2,,2,pass,Explosive,1D,,0.88,0.33,0.47
Alabama,18,5,2,2,,,run,Not successful,,,0.78,0.33,0.50
Alabama,19,5,3,2,,,run,Not successful,,,0.70,0.33,0.53
Alabama,20,5,4,2,,,pass,Not successful,,,0.70,0.30,0.50
Tennessee,23,6,1,2,,,run,Not successful,,,0.27,0.18,0.50
Tennessee,24,6,2,2,,,run,Not successful,,,0.25,0.18,0.52
Tennessee,25,6,3,2,,,pass,Not successful,,,0.25,0.17,0.50
Alabama,21,6,1,2,,,pass,Not successful,,,0.70,0.27,0.48
Alabama,22,6,2,2,,,pass,Not successful,,,0.70,0.25,0.45
Alabama,23,6,3,2,,,penalty,Not successful,,,0.70,0.25,0.45
Alabama,24,6,4,2,,,pass,Not successful,,,0.70,0.23,0.43
Tennessee,26,7,1,2,,,run,Not successful,,,0.23,0.17,0.52
Tennessee,27,7,2,2,,,run,Successful,1D,6,0.29,0.17,0.54
Alabama,25,7,1,2,,,run,Successful,1D,,0.73,0.23,0.46
Alabama,26,7,2,2,,,run,Not successful,,,0.67,0.23,0.48
Alabama,27,7,3,2,,,run,Not successful,,,0.62,0.23,0.50
Alabama,28,7,4,2,,,pass,Successful,1D,,0.62,0.29,0.48
Alabama,29,7,5,2,,,pass,Not successful,,,0.62,0.27,0.46
Alabama,30,7,6,2,,,run,Explosive,1D,6,0.64,0.27,0.48
Tennessee,28,8,1,2,,,run,Not successful,,,0.27,0.17,0.56
Tennessee,29,8,2,2,,,run,Not successful,,,0.25,0.17,0.57
Tennessee,30,8,3,2,,,pass,Successful,1D,,0.25,0.23,0.55
Tennessee,31,8,4,2,,,run,Not successful,,,0.24,0.23,0.57
Tennessee,32,8,5,2,,,pass,Not successful,,,0.24,0.21,0.55
Tennessee,33,8,6,2,,,pass,Not successful,,,0.24,0.20,0.53
Alabama,31,8,1,2,,,run,Not successful,,,0.60,0.27,0.50
Alabama,32,8,2,2,,,run,Successful,1D,,0.63,0.27,0.52
Alabama,33,8,3,2,,,pass,Not successful,,,0.63,0.25,0.50
Alabama,34,8,4,2,,,run,Explosive,1D,,0.65,0.25,0.52
Alabama,35,8,5,2,,,run,Not successful,,,0.61,0.25,0.53
Alabama,36,8,6,2,,,run,Successful,,,0.63,0.25,0.54
Alabama,37,8,7,2,,,run,Successful,1D,,0.65,0.25,0.56
Alabama,38,8,8,2,,,pass,Successful,,,0.65,0.29,0.54
Alabama,39,8,9,2,,,pass,Not successful,,,0.65,0.28,0.53
Tennessee,34,9,1,2,,,pass,Successful,,,0.24,0.25,0.52
Tennessee,35,9,2,2,,,pass,Not successful,,,0.24,0.24,0.50
Tennessee,36,9,3,2,,,pass,Not successful,,,0.24,0.22,0.49
Alabama,40,9,1,2,,,run,Successful,,,0.67,0.28,0.54
Alabama,41,9,2,2,,,run,Successful,1D,,0.68,0.28,0.55
Alabama,42,9,3,2,,,run,Successful,,,0.70,0.28,0.56
Alabama,43,9,4,2,,,run,Explosive,1D,,0.71,0.28,0.57
Alabama,44,9,5,2,,,pass,Successful,1D,,0.71,0.32,0.56
Alabama,45,9,6,2,,,run,Successful,,,0.72,0.32,0.57
Alabama,46,9,7,2,,,field goal,Not successful,,,0.72,0.32,0.57
Alabama,47,10,1,3,3,3,penalty,Not successful,,,0.72,0.32,0.57
Alabama,48,10,2,3,,,run,Explosive,1D,,0.73,0.32,0.58
Alabama,49,10,3,3,,,run,Not successful,,,0.70,0.32,0.59
Alabama,50,10,4,3,,,pass,Not successful,,,0.70,0.30,0.57
Alabama,51,10,5,3,,,penalty,Not successful,,,0.70,0.30,0.57
Alabama,52,10,6,3,,,pass,Not successful,,,0.70,0.29,0.56
Tennessee,37,11,1,3,,3,run,Not successful,,,0.22,0.22,0.50
Tennessee,38,11,2,3,,,pass,Not successful,,,0.22,0.21,0.49
Tennessee,39,11,3,3,,,pass,Successful,1D,,0.22,0.25,0.47
Tennessee,40,11,4,3,,,run,Not successful,,,0.21,0.25,0.49
Tennessee,41,11,5,3,,,run,Not successful,,,0.20,0.25,0.50
Tennessee,42,11,6,3,,,pass,Not successful,,,0.20,0.24,0.49
Alabama,53,11,1,3,,,pass,Explosive,1D,,0.70,0.32,0.55
Alabama,54,11,2,3,,,run,Successful,,,0.71,0.32,0.56
Alabama,55,11,3,3,,,pass,Not successful,,,0.71,0.30,0.55
Alabama,56,11,4,3,,,run,Explosive,1D,,0.72,0.30,0.56
Alabama,57,11,5,3,,,run,Successful,,6,0.73,0.30,0.57
Tennessee,43,12,1,3,,,run,Successful,,,0.24,0.24,0.50
Tennessee,44,12,2,3,,,pass,Successful,1D,,0.24,0.27,0.49
Tennessee,45,12,3,3,,,run,Not successful,,,0.23,0.27,0.50
Tennessee,46,12,4,3,,,pass,Successful,1D,,0.23,0.30,0.49
Tennessee,47,12,5,3,,,run,Not successful,,,0.22,0.30,0.50
Tennessee,48,12,6,3,,,pass,Successful,1D,,0.22,0.33,0.49
Tennessee,49,12,7,3,,,run,Not successful,,,0.21,0.33,0.50
Tennessee,50,12,8,3,,,pass,Not successful,,,0.21,0.32,0.49
Tennessee,51,12,9,3,,,pass,Not successful,,,0.21,0.31,0.48
Tennessee,52,12,10,3,,,field goal,Successful,,3,0.21,0.31,0.48
Alabama,58,12,1,3,,,pass,Explosive,1D,,0.73,0.33,0.56
Alabama,59,12,2,3,,,run,Successful,1D,,0.74,0.33,0.56
Alabama,60,12,3,3,,,pass,Successful,,,0.74,0.36,0.55
Alabama,61,12,4,3,,,pass,Not successful,,,0.74,0.35,0.54
Alabama,62,12,5,3,,,run,Successful,1D,,0.75,0.35,0.55
Alabama,63,12,6,3,,,run,Not successful,,,0.73,0.35,0.56
Alabama,64,12,7,3,,,pass,Explosive,1D,,0.73,0.37,0.55
Alabama,65,12,8,3,,,run,Successful,,6,0.74,0.37,0.56
Tennessee,53,13,1,3,,,pass,Not successful,,,0.21,0.30,0.47
Tennessee,54,13,2,3,,,run,Not successful,,,0.20,0.30,0.48
Tennessee,55,13,3,3,,,pass,Not successful,,,0.20,0.29,0.47
Tennessee,56,14,1,4,4,4,pass,Successful,,,0.20,0.31,0.46
Tennessee,57,14,2,4,,,run,Not successful,,,0.19,0.31,0.47
Tennessee,58,14,3,4,,,pass,Not successful,,,0.19,0.30,0.46
Alabama,66,14,1,4,,4,pass,Not successful,,,0.74,0.36,0.55
Alabama,67,14,2,4,,,run,Explosive,1D,6,0.74,0.36,0.56
Tennessee,59,15,1,4,,,pass,Explosive,1D,,0.19,0.32,0.46
Tennessee,60,15,2,4,,,run,Not successful,,,0.19,0.32,0.47
Tennessee,61,15,3,4,,,pass,Not successful,,,0.19,0.31,0.46
Tennessee,62,15,4,4,,,pass,Not successful,,,0.19,0.30,0.45
Tennessee,63,15,5,4,,,pass,Not successful,,,0.19,0.29,0.44
Alabama,68,15,1,4,,,run,Not successful,,,0.72,0.36,0.56
Alabama,69,15,2,4,,,run,Not successful,,,0.70,0.36,0.57
Alabama,70,15,3,4,,,pass,Successful,1D,,0.70,0.38,0.56
Alabama,71,15,4,4,,,run,Successful,,,0.71,0.38,0.57
Alabama,72,15,5,4,,,run,Successful,1D,,0.72,0.38,0.57
Alabama,73,15,6,4,,,run,Not successful,,,0.70,0.38,0.58
Alabama,74,15,7,4,,,run,Successful,1D,,0.71,0.38,0.59
Alabama,75,15,8,4,,,run,Not successful,,,0.69,0.38,0.59
Alabama,76,15,9,4,,,run,Successful,1D,,0.70,0.38,0.60
Alabama,77,15,10,4,,,run,Successful,,,0.70,0.38,0.60
Alabama,78,15,11,4,,,run,Not successful,,,0.69,0.38,0.61
Alabama,79,15,12,4,,,run,Not successful,,,0.67,0.38,0.61
Alabama,80,15,13,4,,,run,Not successful,,,0.66,0.38,0.62
Tennessee,64,16,1,4,,,run,Not successful,,,0.18,0.29,0.45
Tennessee,65,16,2,4,,,run,Not successful,,,0.17,0.29,0.46
