Team,Quarter_quintile,NS_plays,S_plays,X_plays,Total_plays,Total_plays_max,Points
Alabama,1.1,1,1,0,2,9,0
Alabama,1.2,2,0,0,2,9,0
Alabama,1.3,1,0,0,1,9,0
Alabama,1.4,2,0,0,2,9,0
Alabama,1.5,3,0,0,3,9,0
Alabama,2.1,3,0,0,3,9,0
Alabama,2.2,4,2,0,6,9,0
Alabama,2.3,3,2,1,5,9,7
Alabama,2.4,3,2,0,5,9,3
Alabama,2.5,3,0,0,3,9,7
Alabama,3.1,3,2,1,5,9,7
Alabama,3.2,1,2,0,3,9,7
Alabama,3.3,5,1,0,6,9,0
Alabama,3.4,0,1,0,1,9,7
Alabama,3.5,1,4,1,5,9,0
Alabama,4.1,3,1,0,4,9,7
Alabama,4.2,1,3,1,4,9,7
Alabama,4.3,0,1,0,1,9,0
Alabama,4.4,2,2,0,4,9,0
Alabama,4.5,1,0,0,1,9,0
USC,1.1,3,3,1,6,9,3
USC,1.2,2,1,0,3,9,0
USC,1.3,6,3,0,9,9,0
USC,1.4,3,0,0,3,9,0
USC,1.5,4,0,0,4,9,0
USC,2.1,3,0,0,3,9,0
USC,2.2,3,0,0,3,9,0
USC,2.3,3,0,0,3,9,0
USC,2.4,1,0,0,1,9,0
USC,2.5,4,1,1,5,9,0
USC,3.1,5,0,0,5,9,0
USC,3.2,3,0,0,3,9,0
USC,3.3,3,0,0,3,9,0
USC,3.4,2,4,0,6,9,0
USC,3.5,2,1,0,3,9,3
USC,4.1,3,0,0,3,9,0
USC,4.2,0,1,0,1,9,0
USC,4.3,4,3,0,7,9,0
USC,4.4,0,0,0,0,9,0
USC,4.5,1,3,0,4,9,0
