Team,Quarter_quintile,Run_U_plays,Pass_U_plays,Run_S_plays,Pass_S_plays,Run_SR_cume,Pass_SR_cume,RunRate_cume
Alabama,1.1,0,1,1,0,1.00,0.00,0.50
Alabama,1.2,1,1,0,0,0.50,0.00,0.50
Alabama,1.3,0,1,0,0,0.50,0.00,0.40
Alabama,1.4,1,1,0,0,0.33,0.00,0.43
Alabama,1.5,2,1,0,0,0.20,0.00,0.50
Alabama,2.1,2,1,0,0,0.14,0.00,0.54
Alabama,2.2,1,3,2,0,0.30,0.00,0.53
Alabama,2.3,2,1,1,1,0.31,0.09,0.54
Alabama,2.4,2,1,1,0,0.31,0.08,0.57
Alabama,2.5,3,0,0,0,0.26,0.08,0.61
Alabama,3.1,3,0,1,1,0.26,0.15,0.64
Alabama,3.2,0,0,2,0,0.32,0.15,0.66
Alabama,3.3,2,2,1,0,0.32,0.13,0.65
Alabama,3.4,0,0,1,0,0.34,0.13,0.66
Alabama,3.5,0,1,3,1,0.41,0.18,0.65
Alabama,4.1,3,0,1,0,0.39,0.18,0.68
Alabama,4.2,1,0,1,2,0.39,0.26,0.67
Alabama,4.3,0,0,1,0,0.41,0.26,0.67
Alabama,4.4,1,1,2,0,0.43,0.25,0.68
Alabama,4.5,0,1,0,0,0.43,0.24,0.67
