Team,Play_num_team,Drive,Play_num_drive,Quarter,New_quarter,Play_type,Result_final,1st_down,Points,SR_run_cume,SR_pass_cume,runRate_cume
WKU,1,1,1,1,1,pass,Not successful,,,,0.00,0.00
WKU,2,1,2,1,,pass,Not successful,,,,0.00,0.00
WKU,3,1,3,1,,pass,Not successful,,,,0.00,0.00
Alabama,1,1,1,1,,pass,Explosive,1D,,,1.00,0.00
Alabama,2,1,2,1,,run,Successful,1D,,1.00,1.00,0.50
Alabama,3,1,3,1,,run,Not successful,,,0.50,1.00,0.67
Alabama,4,1,4,1,,run,Not successful,,,0.33,1.00,0.75
Alabama,5,1,5,1,,penalty,Not successful,,,0.33,1.00,0.75
Alabama,6,1,6,1,,pass,Not successful,,,0.33,0.50,0.60
Alabama,7,1,7,1,,field goal,Not successful,,,0.33,0.50,0.60
WKU,5,2,1,1,,pass,Not successful,,,,0.00,0.00
WKU,6,2,2,1,,pass,Not successful,,,,0.00,0.00
WKU,7,2,3,1,,pass,Not successful,,,,0.00,0.00
Alabama,8,2,1,1,,pass,Explosive,1D,,0.33,0.67,0.50
Alabama,9,2,2,1,,run,Not successful,,,0.25,0.67,0.57
Alabama,10,2,3,1,,run,Successful,,,0.40,0.67,0.63
Alabama,11,2,4,1,,run,Not successful,,,0.33,0.67,0.67
Alabama,12,2,5,1,,field goal,Successful,,3,0.33,0.67,0.67
WKU,9,3,1,1,,pass,Explosive,1D,,,0.14,0.00
WKU,10,3,2,1,,run,Not successful,,,0.00,0.14,0.13
WKU,11,3,3,1,,pass,Not successful,,,0.00,0.13,0.11
WKU,12,3,4,1,,pass,Not successful,,,0.00,0.11,0.10
WKU,13,3,5,1,,field goal,Successful,,3,0.00,0.11,0.10
Alabama,14,3,1,1,,pass,Successful,,,0.33,0.75,0.60
Alabama,15,3,2,1,,pass,Successful,1D,,0.33,0.80,0.55
Alabama,16,3,3,1,,no play,Not successful,,,0.33,0.80,0.55
Alabama,17,3,4,1,,pass,Not successful,,,0.33,0.67,0.50
Alabama,18,3,5,1,,run,Not successful,,,0.29,0.67,0.54
Alabama,19,3,6,1,,penalty,Not successful,,,0.29,0.67,0.54
Alabama,20,3,7,1,,pass,Not successful,,,0.29,0.57,0.50
WKU,15,4,1,1,,pass,Not successful,,,0.00,0.10,0.09
Alabama,22,4,1,1,,run,Not successful,,,0.25,0.57,0.53
Alabama,23,4,2,1,,pass,Not successful,,,0.25,0.50,0.50
Alabama,24,4,3,1,,pass,Successful,1D,,0.25,0.56,0.47
Alabama,25,4,4,1,,pass,Explosive,1D,,0.25,0.60,0.44
Alabama,26,4,5,1,,run,Successful,1D,,0.33,0.60,0.47
Alabama,27,4,6,1,,penalty,Not successful,,,0.33,0.60,0.47
Alabama,28,4,7,1,,run,Not successful,,,0.30,0.60,0.50
Alabama,29,4,8,1,,pass,Not successful,,,0.30,0.55,0.48
Alabama,30,4,9,1,,pass,Explosive,1D,,0.30,0.58,0.45
Alabama,31,4,10,1,,pass,Successful,,6,0.30,0.62,0.43
WKU,16,5,1,2,2,run,Successful,,,0.50,0.10,0.17
WKU,17,5,2,2,,run,Successful,,,0.67,0.10,0.23
WKU,18,5,3,2,,run,Not successful,1D,,0.50,0.10,0.29
WKU,19,5,4,2,,pass,Not successful,,,0.50,0.09,0.27
WKU,20,5,5,2,,run,Successful,,,0.60,0.09,0.31
WKU,21,5,6,2,,pass,Successful,1D,,0.60,0.17,0.29
WKU,22,5,7,2,,pass,Not successful,,,0.60,0.15,0.28
WKU,23,5,8,2,,run,Not successful,,,0.50,0.15,0.32
WKU,24,5,9,2,,pass,Not successful,,,0.50,0.14,0.30
Alabama,34,5,1,2,,run,Not successful,,,0.27,0.62,0.46
Alabama,35,5,2,2,,pass,Not successful,,,0.27,0.57,0.44
Alabama,36,5,3,2,,pass,Not successful,,,0.27,0.53,0.42
WKU,26,6,1,2,,run,Not successful,,,0.43,0.14,0.33
WKU,27,6,2,2,,pass,Not successful,,,0.43,0.13,0.32
WKU,28,7,1,2,,run,Not successful,,,0.38,0.13,0.35
WKU,29,7,2,2,,pass,Not successful,,,0.38,0.13,0.33
WKU,30,7,3,2,,pass,Not successful,,,0.38,0.12,0.32
Alabama,40,7,1,2,,no play,Not successful,,,0.27,0.53,0.42
Alabama,41,7,2,2,,pass,Successful,,,0.27,0.56,0.41
Alabama,42,7,3,2,,pass,Not successful,,,0.27,0.53,0.39
Alabama,43,7,4,2,,pass,Not successful,,,0.27,0.50,0.38
WKU,32,8,1,2,,pass,Successful,,,0.38,0.17,0.31
WKU,33,8,2,2,,run,Not successful,,,0.33,0.17,0.33
WKU,34,8,3,2,,pass,Successful,1D,,0.33,0.21,0.32
WKU,35,8,4,2,,run,Not successful,,,0.30,0.21,0.34
WKU,36,8,5,2,,pass,Not successful,,,0.30,0.20,0.33
WKU,37,8,6,2,,pass,Not successful,,,0.30,0.19,0.32
Alabama,45,8,1,2,,run,Not successful,,,0.25,0.50,0.40
Alabama,46,8,2,2,,no play,Not successful,,,0.25,0.50,0.40
Alabama,47,8,3,2,,pass,Not successful,,,0.25,0.47,0.39
Alabama,48,8,4,2,,pass,Explosive,1D,,0.25,0.50,0.38
Alabama,49,8,5,2,,run,Not successful,,,0.23,0.50,0.39
Alabama,50,8,6,2,,pass,Not successful,,,0.23,0.48,0.38
Alabama,51,8,7,2,,run,Not successful,,,0.21,0.48,0.40
WKU,39,9,1,2,,no play,Successful,1D,,0.30,0.19,0.32
WKU,40,9,2,2,,run,Explosive,1D,,0.36,0.19,0.34
WKU,41,9,3,2,,run,Not successful,,,0.33,0.19,0.36
WKU,42,9,4,2,,pass,Successful,1D,,0.33,0.23,0.35
WKU,43,9,5,2,,pass,Successful,1D,,0.33,0.26,0.34
WKU,44,9,1,2,,pass,Not successful,,,0.33,0.25,0.33
WKU,45,9,1,2,,field goal,Not successful,,,0.33,0.25,0.33
Alabama,53,10,1,3,3,pass,Not successful,,,0.21,0.45,0.39
Alabama,54,10,2,3,,pass,Explosive,1D,,0.21,0.48,0.38
Alabama,55,10,3,3,,run,Not successful,,,0.20,0.48,0.39
Alabama,56,10,4,3,,run,Successful,1D,,0.25,0.48,0.41
Alabama,57,10,5,3,,pass,Not successful,,,0.25,0.46,0.40
Alabama,58,10,6,3,,pass,Successful,,,0.25,0.48,0.39
Alabama,59,10,7,3,,run,Successful,1D,,0.29,0.48,0.40
Alabama,60,10,8,3,,run,Not successful,,,0.28,0.48,0.42
Alabama,61,10,9,3,,pass,Not successful,,,0.28,0.46,0.41
Alabama,62,10,10,3,,pass,Not successful,,,0.28,0.44,0.40
Alabama,63,10,11,3,,pass,Successful,1D,,0.28,0.46,0.39
Alabama,64,10,1,3,,no play,Not successful,,,0.28,0.46,0.39
Alabama,65,10,2,3,,pass,Not successful,,,0.28,0.45,0.38
Alabama,66,10,3,3,,run,Not successful,,,0.26,0.45,0.40
Alabama,67,10,4,3,,pass,Not successful,,,0.26,0.43,0.39
Alabama,68,10,5,3,,penalty,Not successful,,,0.26,0.43,0.39
WKU,46,10,1,3,,run,Not successful,,,0.31,0.25,0.35
WKU,47,10,2,3,,pass,Successful,1D,,0.31,0.28,0.34
WKU,48,10,3,3,,run,Not successful,,,0.29,0.28,0.36
WKU,49,10,4,3,,pass,Not successful,,,0.29,0.27,0.35
WKU,50,10,5,3,,pass,Not successful,,,0.29,0.26,0.34
Alabama,70,11,1,3,,pass,Not successful,,,0.26,0.42,0.38
Alabama,71,11,2,3,,run,Successful,1D,,0.30,0.42,0.39
Alabama,72,11,3,3,,pass,Successful,1D,,0.30,0.44,0.38
Alabama,73,11,4,3,,pass,Successful,,,0.30,0.45,0.38
Alabama,74,11,5,3,,run,Successful,,,0.33,0.45,0.39
Alabama,75,11,6,3,,pass,Not successful,,,0.33,0.44,0.38
Alabama,76,11,7,3,,run,Successful,1D,,0.36,0.44,0.39
Alabama,77,11,8,3,,pass,Successful,,6,0.36,0.46,0.39
WKU,52,11,1,3,,pass,Not successful,,,0.29,0.25,0.33
WKU,53,11,2,3,,pass,Not successful,,,0.29,0.24,0.33
WKU,54,11,3,3,,pass,Not successful,,,0.29,0.23,0.32
Alabama,80,12,1,3,,run,Not successful,,,0.35,0.46,0.40
Alabama,81,12,2,3,,run,Not successful,,,0.33,0.46,0.41
Alabama,82,12,3,3,,pass,Successful,1D,,0.33,0.47,0.40
Alabama,83,12,4,3,,pass,Not successful,,,0.33,0.46,0.39
Alabama,84,12,5,3,,run,Successful,,,0.36,0.46,0.40
Alabama,85,12,1,4,4,run,Successful,1D,,0.38,0.46,0.41
Alabama,86,12,2,4,,pass,Explosive,1D,,0.38,0.47,0.41
Alabama,87,12,3,4,,pass,Not successful,,,0.38,0.46,0.40
Alabama,88,12,4,4,,run,Successful,,,0.41,0.46,0.41
Alabama,89,12,1,4,,run,Successful,,6,0.43,0.46,0.42
WKU,56,12,1,4,,pass,Not successful,,,0.29,0.23,0.31
WKU,57,12,2,4,,pass,Not successful,,,0.29,0.22,0.30
WKU,58,12,3,4,,pass,Successful,1D,,0.29,0.24,0.30
WKU,59,12,4,4,,pass,Not successful,,,0.29,0.24,0.29
WKU,60,12,5,4,,run,Not successful,,,0.27,0.24,0.31
WKU,61,12,6,4,,pass,Explosive,1D,,0.27,0.26,0.30
WKU,62,12,7,4,,run,Not successful,,,0.25,0.26,0.31
WKU,63,12,8,4,,pass,Successful,,,0.25,0.28,0.31
WKU,64,12,9,4,,pass,Not successful,,,0.25,0.27,0.30
WKU,65,12,10,4,,pass,Not successful,,,0.25,0.26,0.30
Alabama,92,13,1,4,,penalty,Not successful,,,0.43,0.46,0.42
Alabama,93,13,2,4,,pass,Successful,,,0.43,0.48,0.41
Alabama,94,13,3,4,,pass,Not successful,,,0.43,0.46,0.41
Alabama,95,13,4,4,,penalty,Not successful,,,0.43,0.46,0.41
Alabama,96,13,5,4,,pass,Successful,1D,,0.43,0.48,0.40
Alabama,97,13,6,4,,run,Not successful,,,0.41,0.48,0.41
Alabama,98,13,7,4,,no play,Successful,1D,,0.41,0.48,0.41
Alabama,99,13,8,4,,pass,Not successful,,,0.41,0.47,0.40
Alabama,100,13,9,4,,run,Not successful,,,0.40,0.47,0.41
Alabama,101,13,10,4,,run,Successful,1D,,0.42,0.47,0.42
Alabama,102,13,11,4,,pass,Not successful,,,0.42,0.45,0.41
Alabama,103,13,12,4,,run,Explosive,1D,,0.44,0.45,0.42
Alabama,104,13,13,4,,run,Not successful,,,0.42,0.45,0.43
Alabama,105,13,14,4,,run,Successful,,6,0.44,0.45,0.44
Alabama,106,13,15,4,,penalty,Successful,,,0.44,0.45,0.44
WKU,66,13,1,4,,run,Not successful,,,0.24,0.26,0.31
WKU,67,13,2,4,,pass,Not successful,,,0.24,0.26,0.30
WKU,68,13,3,4,,run,Not successful,,,0.22,0.26,0.32
Alabama,109,14,1,4,,run,Not successful,,,0.43,0.45,0.44
Alabama,110,14,2,4,,run,Not successful,,,0.42,0.45,0.45
WKU,70,14,1,4,,pass,Not successful,,,0.22,0.25,0.31
WKU,71,14,2,4,,pass,Not successful,,,0.22,0.24,0.31
WKU,72,14,3,4,,pass,Explosive,1D,6,0.22,0.26,0.30
Alabama,111,15,1,4,,penalty,Not successful,,,0.42,0.45,0.45
Alabama,112,15,2,4,,run,Explosive,,,0.43,0.45,0.46
