Team,Quarter_quintile,NS_plays,S_plays,X_plays,Total_plays,Total_plays_max,Points
Alabama,1.1,4,2,1,6,18,0
Alabama,1.2,3,3,1,6,18,3
Alabama,1.3,10,6,2,16,18,0
Alabama,1.4,0,0,0,0,18,0
Alabama,1.5,0,1,0,1,18,7
Alabama,2.1,3,0,0,3,18,0
Alabama,2.2,0,0,0,0,18,0
Alabama,2.3,9,2,1,11,18,7
Alabama,2.4,0,0,0,0,18,0
Alabama,2.5,0,0,0,0,18,0
Alabama,3.1,0,0,0,0,18,0
Alabama,3.2,7,5,0,12,18,0
Alabama,3.3,0,0,0,0,18,0
Alabama,3.4,3,3,0,6,18,7
Alabama,3.5,6,5,1,11,18,0
Alabama,4.1,9,9,2,18,18,7
Alabama,4.2,0,0,0,0,18,0
Alabama,4.3,0,0,0,0,18,0
Alabama,4.4,2,2,0,4,18,7
Alabama,4.5,1,1,1,2,18,0
Western Kentucky,1.1,3,0,0,3,18,0
Western Kentucky,1.2,6,1,1,7,18,0
Western Kentucky,1.3,1,1,0,2,18,3
Western Kentucky,1.4,0,0,0,0,18,0
Western Kentucky,1.5,0,0,0,0,18,0
Western Kentucky,2.1,6,4,0,10,18,0
Western Kentucky,2.2,0,0,0,0,18,0
Western Kentucky,2.3,8,2,0,10,18,0
Western Kentucky,2.4,0,0,0,0,18,0
Western Kentucky,2.5,3,4,1,7,18,0
Western Kentucky,3.1,0,0,0,0,18,0
Western Kentucky,3.2,4,1,0,5,18,0
Western Kentucky,3.3,0,0,0,0,18,0
Western Kentucky,3.4,3,0,0,3,18,0
Western Kentucky,3.5,0,0,0,0,18,0
Western Kentucky,4.1,7,3,1,10,18,0
Western Kentucky,4.2,0,0,0,0,18,0
Western Kentucky,4.3,0,0,0,0,18,0
Western Kentucky,4.4,5,0,0,5,18,0
Western Kentucky,4.5,0,1,1,1,18,7
