Team,,Run_U_plays,Pass_U_plays,Run_S_plays,Pass_S_plays,Run_SR_cume,Pass_SR_cume,RunRate_cume
Alabama,1.1,2,1,1,1,0.30,0.62,0.43
Alabama,1.2,2,0,1,1,0.30,0.62,0.43
Alabama,1.3,3,4,1,5,0.30,0.62,0.43
Alabama,1.4,0,0,0,0,0.30,0.62,0.43
Alabama,1.5,0,0,0,1,0.30,0.62,0.43
Alabama,2.1,1,2,0,0,0.21,0.48,0.40
Alabama,2.2,0,0,0,0,0.21,0.48,0.40
Alabama,2.3,3,4,0,2,0.21,0.48,0.40
Alabama,2.4,0,0,0,0,0.21,0.48,0.40
Alabama,2.5,0,0,0,0,0.21,0.48,0.40
Alabama,3.1,0,0,0,0,0.36,0.46,0.40
Alabama,3.2,1,4,3,2,0.36,0.46,0.40
Alabama,3.3,0,0,0,0,0.36,0.46,0.40
Alabama,3.4,2,1,1,2,0.36,0.46,0.40
Alabama,3.5,2,4,2,3,0.36,0.46,0.40
Alabama,4.1,3,4,5,3,0.43,0.45,0.46
Alabama,4.2,0,0,0,0,0.43,0.45,0.46
Alabama,4.3,0,0,0,0,0.43,0.45,0.46
Alabama,4.4,2,0,1,0,0.43,0.45,0.46
Alabama,4.5,0,0,1,0,0.43,0.45,0.46
