Team,Play_num_team,Drive,Play_num_drive,Quarter,New_q,New_q_team,Play_type,Result_final,1st_down,Points,SR_run_cume,SR_pass_cume,runRate_cume
Washington,1,1,1,1,1,1,pass,Not successful,,,,0.00,0.00
Washington,2,1,2,1,,,run,Not successful,,,0.00,0.00,0.50
Washington,3,1,3,1,,,pass,Not successful,,,0.00,0.00,0.33
Alabama,1,1,1,1,,1,pass,Not successful,,,,0.00,0.00
Alabama,2,1,2,1,,,penalty,Not successful,,,,0.00,0.00
Alabama,3,1,3,1,,,run,Not successful,,,0.00,0.00,0.50
Alabama,4,1,4,1,,,run,Not successful,,,0.00,0.00,0.67
Washington,4,2,1,1,,,pass,Not successful,,,0.00,0.00,0.25
Washington,5,2,2,1,,,pass,Not successful,,,0.00,0.00,0.20
Washington,6,2,3,1,,,run,Successful,1D,,0.50,0.00,0.33
Washington,7,2,4,1,,,pass,Explosive,1D,,0.50,0.20,0.29
Washington,8,2,5,1,,,run,Not successful,,,0.33,0.20,0.38
Washington,9,2,6,1,,,pass,Successful,,,0.33,0.33,0.33
Washington,10,2,7,1,,,run,Successful,1D,,0.50,0.33,0.40
Washington,11,2,8,1,,,pass,Explosive,1D,6,0.50,0.43,0.36
Alabama,5,2,1,1,,,run,Not successful,,,0.00,0.00,0.75
Alabama,6,2,2,1,,,pass,Explosive,1D,,0.00,0.50,0.60
Alabama,7,2,3,1,,,run,Successful,,,0.25,0.50,0.67
Alabama,8,2,4,1,,,run,Successful,1D,,0.40,0.50,0.71
Alabama,9,2,5,1,,,run,Successful,1D,,0.50,0.50,0.75
Alabama,10,2,6,1,,,run,Successful,1D,,0.57,0.50,0.78
Alabama,11,2,7,1,,,run,Successful,,,0.63,0.50,0.80
Alabama,12,2,8,1,,,run,Not successful,,,0.56,0.50,0.82
Alabama,13,2,9,1,,,run,Explosive,1D,6,0.60,0.50,0.83
Washington,12,3,1,1,,,run,Not successful,,,0.40,0.43,0.42
Washington,13,3,2,1,,,pass,Successful,1D,,0.40,0.50,0.38
Washington,14,3,3,1,,,pass,Successful,,,0.40,0.56,0.36
Washington,15,3,4,1,,,run,Successful,1D,,0.50,0.56,0.40
Washington,16,3,5,1,,,pass,Not successful,,,0.50,0.50,0.38
Alabama,14,3,1,1,,,pass,Successful,,,0.60,0.67,0.77
Alabama,15,3,2,1,,,run,Successful,1D,,0.64,0.67,0.79
Alabama,16,3,3,1,,,run,Not successful,,,0.58,0.67,0.80
Alabama,17,3,4,1,,,run,Successful,,,0.62,0.67,0.81
Alabama,18,3,5,1,,,penalty,Not successful,,,0.62,0.67,0.81
Alabama,19,3,6,1,,,run,Not successful,,,0.57,0.67,0.82
Washington,17,4,1,2,2,2,run,Not successful,,,0.43,0.50,0.41
Washington,18,4,2,2,,,pass,Not successful,,,0.43,0.45,0.39
Washington,19,4,3,2,,,pass,Not successful,,,0.43,0.42,0.37
Alabama,20,4,1,2,,2,run,Successful,,,0.60,0.67,0.83
Alabama,21,4,2,2,,,run,Successful,1D,,0.63,0.67,0.84
Alabama,22,4,3,2,,,run,Not successful,,,0.59,0.67,0.85
Alabama,23,4,4,2,,,run,Not successful,,,0.56,0.67,0.86
Alabama,24,4,5,2,,,pass,Successful,1D,,0.56,0.75,0.82
Alabama,25,4,6,2,,,pass,Not successful,,,0.56,0.60,0.78
Alabama,26,4,7,2,,,run,Not successful,,,0.53,0.60,0.79
Alabama,27,4,8,2,,,pass,Not successful,,,0.53,0.50,0.76
Washington,20,5,1,2,,,pass,Successful,,,0.43,0.46,0.35
Washington,21,5,2,2,,,pass,Not successful,,,0.43,0.43,0.33
Washington,22,5,3,2,,,pass,Not successful,,,0.43,0.40,0.32
Alabama,28,5,1,2,,,pass,Not successful,,,0.53,0.43,0.73
Alabama,29,5,2,2,,,run,Not successful,,,0.50,0.43,0.74
Alabama,30,5,3,2,,,pass,Not successful,,,0.50,0.38,0.71
Washington,23,6,1,2,,,pass,Not successful,,,0.43,0.38,0.30
Washington,24,6,2,2,,,pass,Not successful,,,0.43,0.35,0.29
Washington,25,6,3,2,,,run,Not successful,,,0.38,0.35,0.32
Alabama,31,6,1,2,,,pass,Not successful,,,0.50,0.33,0.69
Alabama,32,6,2,2,,,run,Explosive,1D,,0.52,0.33,0.70
Alabama,33,6,3,2,,,run,Successful,1D,,0.55,0.33,0.71
Alabama,34,6,4,2,,,pass,Not successful,,,0.55,0.30,0.69
Alabama,35,6,5,2,,,pass,Not successful,,,0.55,0.27,0.67
Alabama,36,6,6,2,,,pass,Not successful,,,0.55,0.25,0.65
Washington,26,7,1,2,,,run,Explosive,1D,,0.44,0.35,0.35
Washington,27,7,2,2,,,run,Not successful,,,0.40,0.35,0.37
Washington,28,7,3,2,,,pass,Successful,,,0.40,0.39,0.36
Washington,29,7,4,2,,,run,Successful,1D,,0.45,0.39,0.38
Washington,30,7,5,2,,,pass,Not successful,,,0.45,0.37,0.37
Washington,31,7,6,2,,,pass,Not successful,,,0.45,0.35,0.35
Washington,32,8,1,2,,,run,Successful,,,0.50,0.35,0.38
Washington,33,8,2,2,,,run,Not successful,,,0.46,0.35,0.39
Washington,34,8,3,2,,,run,Successful,1D,,0.50,0.35,0.41
Washington,35,8,4,2,,,pass,Not successful,,,0.50,0.33,0.40
Washington,36,8,5,2,,,pass,Not successful,,,0.50,0.32,0.39
Washington,37,8,6,2,,,penalty,Not successful,,,0.50,0.32,0.39
Washington,38,8,7,2,,,run,Not successful,,,0.47,0.32,0.41
Alabama,37,8,1,3,3,3,run,Explosive,1D,,0.57,0.25,0.66
Alabama,38,8,2,3,,,run,Not successful,,,0.54,0.25,0.67
Alabama,39,8,3,3,,,run,Not successful,,,0.52,0.25,0.68
Alabama,40,8,4,3,,,no play,Not successful,,,0.52,0.25,0.68
Alabama,41,8,5,3,,,penalty,Not successful,,,0.52,0.25,0.68
Alabama,42,8,6,3,,,pass,Not successful,,,0.52,0.23,0.66
Washington,39,9,1,3,,3,run,Not successful,,,0.44,0.32,0.42
Washington,40,9,2,3,,,run,Not successful,,,0.41,0.32,0.44
Washington,41,9,3,3,,,pass,Not successful,,,0.41,0.30,0.43
Alabama,43,9,1,3,,,run,Successful,,,0.54,0.23,0.67
Alabama,44,9,2,3,,,run,Not successful,,,0.52,0.23,0.68
Alabama,45,9,3,3,,,run,Successful,1D,,0.54,0.23,0.68
Alabama,46,9,4,3,,,pass,Not successful,,,0.54,0.21,0.67
Alabama,47,9,5,3,,,run,Not successful,,,0.52,0.21,0.67
Alabama,48,9,6,3,,,run,Not successful,,,0.50,0.21,0.68
Alabama,49,9,7,3,,,penalty,Not successful,,,0.50,0.21,0.68
Alabama,50,9,8,3,,,run,Not successful,,,0.48,0.21,0.69
Washington,42,10,1,3,,,run,Not successful,,,0.39,0.30,0.44
Washington,43,10,2,3,,,pass,Not successful,,,0.39,0.29,0.43
Washington,44,10,3,3,,,run,Not successful,,,0.37,0.29,0.44
Alabama,51,10,1,3,,,run,Not successful,,,0.47,0.21,0.70
Alabama,52,10,2,3,,,run,Not successful,,,0.45,0.21,0.70
Alabama,53,10,3,3,,,run,Not successful,,,0.44,0.21,0.71
Washington,45,11,1,3,,,pass,Not successful,,,0.37,0.28,0.43
Washington,46,11,2,3,,,run,Not successful,,,0.35,0.28,0.44
Washington,47,11,3,3,,,pass,Successful,1D,,0.35,0.31,0.43
Washington,48,11,4,3,,,pass,Not successful,,,0.35,0.30,0.43
Washington,49,11,5,3,,,run,Not successful,,,0.33,0.30,0.44
Washington,50,11,6,4,4,4,pass,Not successful,,,0.33,0.29,0.43
Alabama,54,11,1,4,,4,run,Not successful,,,0.43,0.21,0.71
Alabama,55,11,2,4,,,run,Not successful,,,0.42,0.21,0.72
Alabama,56,11,3,4,,,run,Successful,1D,,0.43,0.21,0.73
Alabama,57,11,4,4,,,pass,Explosive,1D,,0.43,0.27,0.71
Alabama,58,11,5,4,,,run,Not successful,,,0.42,0.27,0.72
Alabama,59,11,6,4,,,run,Explosive,1D,6,0.44,0.27,0.72
Washington,51,12,1,4,,,pass,Not successful,,,0.33,0.28,0.42
Washington,52,12,2,4,,,pass,Successful,,,0.33,0.30,0.41
Washington,53,12,3,4,,,pass,Successful,1D,,0.33,0.32,0.40
Washington,54,12,4,4,,,run,Not successful,,,0.32,0.32,0.42
Washington,55,12,5,4,,,pass,Not successful,,,0.32,0.31,0.41
Washington,56,12,6,4,,,pass,Not successful,,,0.32,0.30,0.40
Alabama,60,12,1,4,,,pass,Not successful,,,0.44,0.25,0.71
Alabama,61,12,2,4,,,run,Not successful,,,0.43,0.25,0.71
Alabama,62,12,3,4,,,pass,Not successful,,,0.43,0.24,0.70
Washington,57,13,1,4,,,no play,Not successful,,,0.32,0.30,0.40
Washington,58,13,2,4,,,run,Not successful,,,0.30,0.30,0.41
Washington,59,13,3,4,,,pass,Explosive,1D,,0.30,0.32,0.40
Washington,60,13,4,4,,,run,Not successful,,,0.29,0.32,0.41
Washington,61,13,5,4,,,pass,Not successful,,,0.29,0.31,0.41
Washington,62,13,6,4,,,pass,Not successful,,,0.29,0.31,0.40
Alabama,63,13,1,4,,,run,Successful,,,0.44,0.24,0.71
Alabama,64,13,2,4,,,run,Successful,1D,,0.45,0.24,0.71
Alabama,65,13,3,4,,,run,Not successful,,,0.44,0.24,0.72
Alabama,66,13,4,4,,,run,Not successful,,,0.43,0.24,0.72
Alabama,67,13,5,4,,,run,Not successful,,,0.42,0.24,0.73
Alabama,68,13,6,4,,,run,Not successful,,,0.41,0.24,0.73
Washington,63,14,1,4,,,pass,Explosive,1D,,0.29,0.32,0.39
Washington,64,14,2,4,,,pass,Not successful,,,0.29,0.32,0.39
Washington,65,14,3,4,,,pass,Successful,1D,,0.29,0.33,0.38
Washington,66,14,4,4,,,pass,Not successful,,,0.29,0.33,0.38
Washington,67,14,5,4,,,pass,Not successful,,,0.29,0.32,0.37
Washington,68,14,6,4,,,pass,Not successful,,,0.29,0.31,0.36
Washington,69,14,7,4,,,pass,Not successful,,,0.29,0.30,0.36
Alabama,69,14,1,4,,,run,Not successful,,,0.40,0.24,0.73
