Team,Play_num_team,Drive,Play_num_drive,Quarter,New_q,New_q_team,Play_type,Result_final,1st_down,Points,SR_run_cume,SR_pass_cume,runRate_cume
Alabama,1,1,2,1,1,1,run,Explosive,,6,1.00,,1.00
Arkansas,1,1,2,1,,1,run,Successful,,,1.00,,1.00
Arkansas,2,1,3,1,,,run,Not successful,,,0.50,,1.00
Arkansas,3,1,4,1,,,pass,Not successful,,,0.50,0.00,0.67
Arkansas,4,1,5,1,,,pass,Not successful,,,0.50,0.00,0.50
Alabama,2,2,1,1,,,run,Not successful,,,0.50,,1.00
Alabama,3,2,2,1,,,pass,Not successful,,,0.50,0.00,0.67
Alabama,4,2,3,1,,,pass,Not successful,,,0.50,0.00,0.50
Arkansas,5,2,2,1,,,pass,Not successful,,,0.50,0.00,0.40
Arkansas,6,2,3,1,,,pass,Not successful,,,0.50,0.00,0.33
Arkansas,7,2,4,1,,,pass,Not successful,,,0.50,0.00,0.29
Alabama,5,3,1,1,,,run,Successful,,,0.67,0.00,0.60
Alabama,6,3,2,1,,,run,Successful,1st down,,0.75,0.00,0.67
Alabama,7,3,3,1,,,pass,Not successful,,,0.75,0.00,0.57
Alabama,8,3,4,1,,,pass,Successful,,,0.75,0.25,0.50
Alabama,9,3,5,1,,,run,Successful,1st down,,0.80,0.25,0.56
Alabama,10,3,6,1,,,run,Not successful,,,0.67,0.25,0.60
Alabama,11,3,7,1,,,pass,Explosive,1st down,,0.67,0.40,0.55
Alabama,12,3,8,1,,,run,Successful,,6,0.71,0.40,0.58
Arkansas,8,3,2,1,,,run,Not successful,,,0.33,0.00,0.38
Arkansas,9,3,3,1,,,pass,Not successful,,,0.33,0.00,0.33
Arkansas,10,3,4,1,,,pass,Explosive,1st down,,0.33,0.14,0.30
Arkansas,11,3,5,1,,,pass,Not successful,,,0.33,0.13,0.27
Arkansas,12,3,6,1,,,run,Not successful,,,0.25,0.13,0.33
Arkansas,13,3,7,1,,,pass,Not successful,,,0.25,0.11,0.31
Alabama,13,4,1,1,,,run,Not successful,,,0.63,0.40,0.62
