Team,Play_num_team,Drive,Play_num_drive,Quarter,New_q,New_q_team,Play_type,Result_final,1st_down,Points,SR_run_cume,SR_pass_cume,runRate_cume
Alabama,1,1,2,1,1,1,run,Successful,1st down,,1.00,,1.00
Alabama,2,1,3,1,,,pass,Explosive,1st down,,1.00,1.00,0.50
Alabama,3,1,4,1,,,run,Not successful,,,0.50,1.00,0.67
Alabama,4,1,5,1,,,run,Successful,,,0.67,1.00,0.75
Alabama,5,1,6,1,,,run,Successful,1st down,,0.75,1.00,0.80
Alabama,6,1,7,1,,,run,Explosive,,6,0.80,1.00,0.83
Colorado State,1,1,2,1,,1,pass,Not successful,,,,0.00,0.00
Colorado State,2,1,3,1,,,run,Not successful,,,0.00,0.00,0.50
Colorado State,3,1,4,1,,,pass,Not successful,,,0.00,0.00,0.33
Alabama,7,2,1,1,,,run,Successful,,,0.83,1.00,0.86
Alabama,8,2,2,1,,,run,Not successful,,,0.71,1.00,0.88
Alabama,9,2,3,1,,,run,Successful,1st down,,0.75,1.00,0.89
Alabama,10,2,4,1,,,pass,Explosive,,6,0.75,1.00,0.80
Colorado State,4,2,2,1,,,pass,Not successful,,,0.00,0.00,0.25
Colorado State,5,2,3,1,,,run,Not successful,,,0.00,0.00,0.40
Colorado State,6,2,4,1,,,pass,Not successful,,,0.00,0.00,0.33
Alabama,11,3,1,1,,,pass,Successful,1st down,,0.75,1.00,0.73
Alabama,12,3,2,1,,,run,Successful,,,0.78,1.00,0.75
Alabama,13,3,3,1,,,pass,Successful,1st down,,0.78,1.00,0.69
Alabama,14,3,4,1,,,run,Not successful,,,0.70,1.00,0.71
Alabama,15,3,5,1,,,run,Not successful,,,0.64,1.00,0.73
Alabama,16,3,6,1,,,pass,Not successful,,,0.64,0.80,0.69
Colorado State,7,3,2,1,,,pass,Successful,1st down,,0.00,0.20,0.29
Colorado State,8,3,3,1,,,run,Successful,,,0.33,0.20,0.38
Colorado State,9,3,4,1,,,run,Not successful,,,0.25,0.20,0.44
Colorado State,10,3,5,1,,,pass,Not successful,,,0.25,0.17,0.40
Colorado State,11,3,6,1,,,pass,Not successful,,,0.25,0.14,0.36
Alabama,17,4,1,1,,,pass,Not successful,,,0.64,0.67,0.65
Alabama,18,4,2,1,,,pass,Successful,,,0.64,0.71,0.61
Alabama,19,4,3,1,,,run,Successful,1st down,,0.67,0.71,0.63
Alabama,20,4,4,1,,,run,Not successful,,,0.62,0.71,0.65
Alabama,21,4,5,1,,,pass,Not successful,,,0.62,0.63,0.62
Alabama,22,4,6,1,,,run,Not successful,,,0.57,0.63,0.64
Colorado State,12,4,1,1,,,run,Not successful,,,0.20,0.14,0.42
Colorado State,13,5,1,2,2,2,pass,Not successful,,,0.20,0.13,0.38
Colorado State,14,5,2,2,,,pass,Successful,1st down,,0.20,0.22,0.36
Colorado State,15,5,3,2,,,pass,Explosive,1st down,,0.20,0.30,0.33
Colorado State,16,5,4,2,,,run,Successful,1st down,,0.33,0.30,0.38
Colorado State,17,5,5,2,,,run,Successful,,,0.43,0.30,0.41
Colorado State,18,5,6,2,,,run,Successful,,,0.50,0.30,0.44
Colorado State,19,5,7,2,,,run,Successful,1st down,,0.56,0.30,0.47
Colorado State,20,5,8,2,,,run,Not successful,,,0.50,0.30,0.50
Colorado State,21,5,9,2,,,run,Not successful,,,0.45,0.30,0.52
Colorado State,22,5,10,2,,,pass,Not successful,,,0.45,0.27,0.50
Alabama,23,5,2,2,,2,run,Successful,,,0.60,0.63,0.65
Alabama,24,5,3,2,,,run,Successful,,,0.63,0.63,0.67
Alabama,25,5,4,2,,,run,Not successful,,,0.59,0.63,0.68
Colorado State,23,6,1,2,,,run,Not successful,,,0.42,0.27,0.52
Colorado State,24,6,2,2,,,pass,Explosive,1st down,,0.42,0.33,0.50
Colorado State,25,6,3,2,,,run,Not successful,,,0.38,0.33,0.52
Colorado State,26,6,4,2,,,run,Not successful,,,0.36,0.33,0.54
Colorado State,27,6,5,2,,,no play,Not successful,,,0.36,0.33,0.54
Colorado State,28,6,6,2,,,pass,Explosive,1st down,,0.36,0.38,0.52
Colorado State,29,6,7,2,,,pass,Successful,,,0.36,0.43,0.50
Colorado State,30,6,8,2,,,run,Not successful,,,0.33,0.43,0.52
Colorado State,31,6,9,2,,,run,Successful,1st down,,0.38,0.43,0.53
Colorado State,32,6,10,2,,,run,Not successful,,,0.35,0.43,0.55
Colorado State,33,6,11,2,,,run,Not successful,,,0.33,0.43,0.56
Colorado State,34,6,12,2,,,pass,Successful,,6,0.33,0.47,0.55
Alabama,26,6,2,2,,,pass,Successful,1st down,,0.59,0.67,0.65
Alabama,27,6,3,2,,,run,Successful,1st down,,0.61,0.67,0.67
Alabama,28,6,4,2,,,pass,Not successful,,,0.61,0.60,0.64
Alabama,29,6,5,2,,,run,Not successful,,,0.58,0.60,0.66
Alabama,30,6,6,2,,,pass,Explosive,,6,0.58,0.64,0.63
Colorado State,35,7,2,2,,,run,Not successful,,,0.32,0.47,0.56
Colorado State,36,7,3,2,,,run,Not successful,,,0.30,0.47,0.57
Colorado State,37,8,1,3,3,3,pass,Successful,1st down,,0.30,0.50,0.56
Colorado State,38,8,2,3,,,pass,Not successful,,,0.30,0.47,0.54
Colorado State,39,8,3,3,,,pass,Successful,1st down,,0.30,0.50,0.53
Colorado State,40,8,4,3,,,pass,Not successful,,,0.30,0.47,0.51
Colorado State,41,8,5,3,,,run,Successful,,,0.33,0.47,0.53
Colorado State,42,8,6,3,,,run,Successful,1st down,,0.36,0.47,0.54
Colorado State,43,8,7,3,,,run,Not successful,,,0.35,0.47,0.55
Colorado State,44,8,8,3,,,pass,Not successful,,,0.35,0.45,0.53
Alabama,31,7,1,3,,3,run,Not successful,,,0.55,0.64,0.65
Alabama,32,7,2,3,,,run,Not successful,,,0.52,0.64,0.66
Alabama,33,7,3,3,,,no play,Successful,1st down,,0.52,0.64,0.66
Alabama,34,7,4,3,,,run,Not successful,,,0.50,0.64,0.67
Alabama,35,7,5,3,,,run,Not successful,,,0.48,0.64,0.68
Alabama,36,7,6,3,,,pass,Successful,1st down,,0.48,0.67,0.66
Alabama,37,7,7,3,,,run,Successful,,,0.50,0.67,0.67
Alabama,38,7,8,3,,,pass,Not successful,,,0.50,0.62,0.65
Alabama,39,7,9,3,,,pass,Successful,1st down,,0.50,0.64,0.63
Alabama,40,7,10,3,,,pass,Not successful,,,0.50,0.60,0.62
