Team,Play_num_team,Drive,Play_num_drive,Quarter,New_q,New_q_team,Play_type,Result_final,1st_down,Points,SR_run_cume,SR_pass_cume,runRate_cume
Alabama,1,1,2,1,1,1,run,Explosive,1st down,,1.00,,1.00
Alabama,2,1,3,1,,,pass,Not successful,,,1.00,0.00,0.50
Alabama,3,1,4,1,,,run,Not successful,,,0.50,0.00,0.67
Alabama,4,1,5,1,,,pass,Not successful,,,0.50,0.00,0.50
Alabama,5,1,6,1,,,run,Successful,1st down,,0.67,0.00,0.60
Alabama,6,1,7,1,,,run,Not successful,,,0.50,0.00,0.67
Alabama,7,1,8,1,,,run,Not successful,,,0.40,0.00,0.71
Alabama,8,1,9,1,,,pass,Not successful,,,0.40,0.00,0.63
Florida State,1,1,1,1,,1,pass,Not successful,,,,0.00,0.00
Florida State,2,1,2,1,,,pass,Successful,,,,0.50,0.00
Florida State,3,1,3,1,,,run,Successful,1st down,,1.00,0.50,0.33
Florida State,4,1,4,1,,,pass,Explosive,1st down,,1.00,0.67,0.25
Florida State,5,1,5,1,,,run,Not successful,,,0.50,0.67,0.40
Florida State,6,1,6,1,,,run,Successful,,,0.67,0.67,0.50
Florida State,7,1,7,1,,,pass,Not successful,,,0.67,0.50,0.43
Florida State,8,1,8,1,,,pass,Not successful,,,0.67,0.40,0.38
Alabama,9,2,1,1,,,run,Not successful,,,0.33,0.00,0.67
Alabama,10,2,2,1,,,pass,Not successful,,,0.33,0.00,0.60
Alabama,11,2,3,1,,,pass,Explosive,1st down,,0.33,0.20,0.55
Alabama,12,2,4,1,,,run,Not successful,,,0.29,0.20,0.58
Alabama,13,2,5,1,,,run,Explosive,1st down,,0.38,0.20,0.62
Alabama,14,2,6,1,,,run,Not successful,,,0.33,0.20,0.64
Alabama,15,2,7,1,,,pass,Not successful,,,0.33,0.17,0.60
Alabama,16,2,8,1,,,run,Not successful,,,0.30,0.17,0.63
Florida State,9,2,2,1,,,pass,Successful,,,0.67,0.50,0.33
Florida State,10,2,3,1,,,run,Not successful,,,0.50,0.50,0.40
Florida State,11,2,4,1,,,pass,Successful,1st down,,0.50,0.57,0.36
Florida State,12,2,5,1,,,pass,Explosive,1st down,,0.50,0.63,0.33
Florida State,13,2,6,1,,,run,Not successful,,,0.40,0.63,0.38
Florida State,14,2,7,1,,,pass,Successful,1st down,,0.40,0.67,0.36
Florida State,15,2,8,1,,,run,Not successful,,,0.33,0.67,0.40
Florida State,16,2,9,1,,,pass,Not successful,,,0.33,0.60,0.38
Florida State,17,3,1,2,2,2,pass,Explosive,1st down,,0.33,0.64,0.35
