Team,Play_num_team,Drive,Play_num_drive,Quarter,New_q,New_q_team,Play_type,Result_final,1st_down,Points,SR_run_cume,SR_pass_cume,runRate_cume
Alabama,1,1,2,1,1,1,run,Successful,,,1.00,,1.00
Alabama,2,1,3,1,,,pass,Not successful,,,1.00,0.00,0.50
Alabama,3,1,4,1,,,pass,Not successful,,,1.00,0.00,0.33
LSU,1,1,1,1,,1,no play,Not successful,,,,,
LSU,2,1,2,1,,,run,Not successful,,,0.00,,1.00
LSU,3,1,3,1,,,pass,Not successful,,,0.00,0.00,0.50
LSU,4,1,4,1,,,pass,Explosive,1st down,,0.00,0.50,0.33
LSU,5,1,5,1,,,pass,Not successful,,,0.00,0.33,0.25
LSU,6,1,6,1,,,pass,Not successful,,,0.00,0.25,0.20
LSU,7,1,7,1,,,pass,Not successful,,,0.00,0.20,0.17
Alabama,4,2,1,1,,,run,Not successful,,,0.50,0.00,0.50
Alabama,5,2,2,1,,,run,Not successful,,,0.33,0.00,0.60
Alabama,6,2,3,1,,,pass,Explosive,1st down,,0.33,0.33,0.50
Alabama,7,2,4,1,,,run,Not successful,,,0.25,0.33,0.57
Alabama,8,2,5,1,,,run,Successful,1st down,,0.40,0.33,0.63
Alabama,9,2,6,1,,,pass,Explosive,1st down,,0.40,0.50,0.56
Alabama,10,2,7,1,,,run,Successful,1st down,,0.50,0.50,0.60
Alabama,11,2,8,1,,,run,Successful,,,0.57,0.50,0.64
Alabama,12,2,9,1,,,pass,Successful,,6,0.57,0.60,0.58
LSU,8,2,2,1,,,pass,Not successful,,,0.00,0.17,0.14
LSU,9,2,3,1,,,run,Not successful,,,0.00,0.17,0.25
LSU,10,2,4,1,,,pass,Successful,1st down,,0.00,0.29,0.22
LSU,11,2,5,1,,,run,Successful,,,0.33,0.29,0.30
LSU,12,2,6,1,,,run,Successful,1st down,,0.50,0.29,0.36
LSU,13,2,7,1,,,pass,Not successful,,,0.50,0.25,0.33
LSU,14,2,8,1,,,run,Not successful,,,0.40,0.25,0.38
LSU,15,2,9,1,,,pass,Not successful,,,0.40,0.22,0.36
Alabama,13,3,1,1,,,run,Successful,,,0.63,0.60,0.62
Alabama,14,3,2,1,,,run,Successful,1st down,,0.67,0.60,0.64
Alabama,15,3,3,1,,,pass,Not successful,,,0.67,0.50,0.60
Alabama,16,3,4,1,,,pass,Not successful,,,0.67,0.43,0.56
Alabama,17,3,5,1,,,pass,Not successful,,,0.67,0.38,0.53
LSU,16,3,1,1,,,pass,Not successful,,,0.40,0.20,0.33
Alabama,18,4,1,1,,,run,Not successful,,,0.60,0.38,0.56
Alabama,19,5,1,2,2,2,run,Not successful,,,0.55,0.38,0.58
Alabama,20,5,2,2,,,pass,Explosive,1st down,,0.55,0.44,0.55
Alabama,21,5,3,2,,,run,Successful,,6,0.58,0.44,0.57
LSU,17,4,2,2,,2,run,Not successful,,,0.33,0.20,0.38
LSU,18,4,3,2,,,run,Not successful,,,0.29,0.20,0.41
LSU,19,4,4,2,,,pass,Successful,1st down,,0.29,0.27,0.39
LSU,20,4,5,2,,,run,Successful,,,0.38,0.27,0.42
LSU,21,4,6,2,,,run,Not successful,,,0.33,0.27,0.45
LSU,22,4,7,2,,,pass,Explosive,1st down,,0.33,0.33,0.43
LSU,23,4,8,2,,,pass,Not successful,,,0.33,0.31,0.41
LSU,24,4,9,2,,,run,Not successful,,,0.30,0.31,0.43
LSU,25,4,10,2,,,pass,Explosive,1st down,,0.30,0.36,0.42
LSU,26,4,11,2,,,run,Not successful,,,0.27,0.36,0.44
LSU,27,4,12,2,,,pass,Not successful,,,0.27,0.33,0.42
LSU,28,4,13,2,,,pass,Not successful,,,0.27,0.31,0.41
Alabama,22,6,2,2,,,run,Not successful,,,0.54,0.44,0.59
Alabama,23,6,3,2,,,pass,Not successful,,,0.54,0.40,0.57
Alabama,24,6,4,2,,,pass,Not successful,,,0.54,0.36,0.54
LSU,29,5,1,2,,,run,Not successful,,,0.25,0.31,0.43
LSU,30,5,2,2,,,run,Successful,1st down,,0.31,0.31,0.45
LSU,31,5,3,2,,,run,Successful,,,0.36,0.31,0.47
LSU,32,5,4,2,,,run,Not successful,,,0.33,0.31,0.48
LSU,33,5,5,2,,,pass,Not successful,,,0.33,0.29,0.47
Alabama,25,7,1,2,,,run,Explosive,1st down,,0.57,0.36,0.56
Alabama,26,7,2,2,,,pass,Not successful,,,0.57,0.33,0.54
Alabama,27,7,3,2,,,pass,Not successful,,,0.57,0.31,0.52
Alabama,28,7,4,2,,,run,Not successful,,,0.53,0.31,0.54
LSU,34,6,1,2,,,run,Not successful,,,0.31,0.29,0.48
LSU,35,6,2,2,,,run,Not successful,,,0.29,0.29,0.50
LSU,36,6,3,2,,,run,Successful,1st down,,0.33,0.29,0.51
LSU,37,6,4,2,,,run,Successful,,,0.37,0.29,0.53
LSU,38,6,5,2,,,run,Successful,1st down,,0.40,0.29,0.54
LSU,39,7,2,3,3,3,run,Not successful,,,0.38,0.29,0.55
LSU,40,7,3,3,,,run,Successful,,,0.41,0.29,0.56
LSU,41,7,4,3,,,run,Successful,,,0.43,0.29,0.58
LSU,42,7,5,3,,,pass,Not successful,,,0.43,0.28,0.56
LSU,43,7,6,3,,,pass,Not successful,,,0.43,0.26,0.55
Alabama,29,8,1,3,,3,run,Not successful,,,0.50,0.31,0.55
Alabama,30,8,2,3,,,run,Not successful,,,0.47,0.31,0.57
Alabama,31,8,3,3,,,pass,Not successful,,,0.47,0.29,0.55
LSU,44,8,1,3,,,pass,Not successful,,,0.43,0.25,0.53
LSU,45,8,2,3,,,run,Not successful,,,0.42,0.25,0.55
LSU,46,8,3,3,,,pass,Not successful,,,0.42,0.24,0.53
Alabama,32,9,1,3,,,pass,Not successful,,,0.47,0.27,0.53
Alabama,33,9,2,3,,,pass,Not successful,,,0.47,0.25,0.52
Alabama,34,9,3,3,,,pass,Not successful,,,0.47,0.24,0.50
LSU,47,9,1,3,,,run,Not successful,,,0.40,0.24,0.54
LSU,48,9,2,3,,,run,Not successful,,,0.38,0.24,0.55
LSU,49,9,3,3,,,run,Not successful,,,0.37,0.24,0.56
Alabama,35,10,1,3,,,run,Explosive,1st down,,0.50,0.24,0.51
Alabama,36,10,2,3,,,run,Not successful,,,0.47,0.24,0.53
Alabama,37,10,3,3,,,no play,Not successful,,,0.47,0.24,0.53
Alabama,38,10,4,3,,,pass,Not successful,,,0.47,0.22,0.51
Alabama,39,10,5,3,,,pass,Explosive,1st down,,0.47,0.26,0.50
Alabama,40,10,6,3,,,pass,Not successful,,,0.47,0.25,0.49
Alabama,41,10,7,3,,,pass,Explosive,1st down,,0.47,0.29,0.48
Alabama,42,10,8,3,,,run,Successful,,6,0.50,0.29,0.49
LSU,50,10,2,3,,,pass,Successful,1st down,,0.37,0.27,0.55
LSU,51,10,3,3,,,run,Explosive,1st down,,0.39,0.27,0.56
LSU,52,10,4,3,,,pass,Not successful,,,0.39,0.26,0.55
LSU,53,10,5,3,,,run,Successful,,6,0.41,0.26,0.56
Alabama,43,11,2,3,,,pass,Not successful,,,0.50,0.27,0.48
Alabama,44,11,3,3,,,pass,Not successful,,,0.50,0.26,0.47
Alabama,45,11,4,3,,,run,Successful,1st down,,0.52,0.26,0.48
Alabama,46,11,5,3,,,run,Successful,1st down,,0.55,0.26,0.49
Alabama,47,11,6,3,,,run,Not successful,,,0.52,0.26,0.50
Alabama,48,12,1,4,4,4,run,Not successful,,,0.50,0.26,0.51
Alabama,49,12,2,4,,,pass,Explosive,1st down,,0.50,0.29,0.50
Alabama,50,12,3,4,,,run,Not successful,,,0.48,0.29,0.51
Alabama,51,12,4,4,,,pass,Not successful,,,0.48,0.28,0.50
Alabama,52,12,5,4,,,pass,Not successful,,,0.48,0.27,0.49
LSU,54,11,2,4,,4,pass,Successful,,,0.41,0.29,0.55
LSU,55,11,3,4,,,run,Successful,1st down,,0.43,0.29,0.56
LSU,56,11,4,4,,,pass,Not successful,,,0.43,0.28,0.55
LSU,57,11,5,4,,,no play,Not successful,,,0.43,0.28,0.55
LSU,58,11,6,4,,,run,Not successful,,,0.42,0.28,0.55
LSU,59,11,7,4,,,pass,Not successful,,,0.42,0.27,0.54
Alabama,53,13,1,4,,,run,Not successful,,,0.46,0.27,0.50
Alabama,54,13,2,4,,,run,Not successful,,,0.44,0.27,0.51
Alabama,55,13,3,4,,,pass,Not successful,,,0.44,0.26,0.50
LSU,60,12,1,4,,,run,Successful,,,0.44,0.27,0.55
LSU,61,12,2,4,,,pass,Not successful,,,0.44,0.26,0.54
LSU,62,12,3,4,,,pass,Explosive,1st down,,0.44,0.29,0.53
LSU,63,12,4,4,,,run,Not successful,,,0.42,0.29,0.54
LSU,64,12,5,4,,,pass,Not successful,,,0.42,0.28,0.53
LSU,65,12,6,4,,,pass,Not successful,,,0.42,0.27,0.52
LSU,66,12,7,4,,,no play,Not successful,,,0.42,0.27,0.52
Alabama,56,14,1,4,,,run,Not successful,,,0.43,0.26,0.51
Alabama,57,14,2,4,,,run,Not successful,,,0.41,0.26,0.52
Alabama,58,14,3,4,,,pass,Not successful,,,0.41,0.25,0.51
LSU,67,13,1,4,,,pass,Successful,,,0.42,0.29,0.52
LSU,68,13,2,4,,,pass,Successful,1st down,,0.42,0.31,0.51
LSU,69,13,3,4,,,run,Not successful,,,0.41,0.31,0.52
LSU,70,13,4,4,,,pass,Successful,,,0.41,0.33,0.51
LSU,71,13,5,4,,,run,Successful,1st down,,0.43,0.33,0.51
LSU,72,13,6,4,,,pass,Not successful,,,0.43,0.32,0.51
LSU,73,13,7,4,,,pass,Not successful,,,0.43,0.31,0.50
LSU,74,13,8,4,,,pass,Not successful,,,0.43,0.31,0.49
LSU,75,13,9,4,,,pass,Not successful,,,0.43,0.30,0.49
Alabama,59,15,1,4,,,run,Not successful,,,0.40,0.25,0.52
Alabama,60,15,2,4,,,no play,Successful,1st down,,0.40,0.25,0.52
Alabama,61,15,3,4,,,run,Not successful,,,0.39,0.25,0.53
