Team,Play_num_team,Drive,Play_num_drive,Quarter,New_q,New_q_team,Play_type,Result_final,1st_down,Points,SR_run_cume,SR_pass_cume,runRate_cume
Alabama,1,1,2,1,1,1,run,Successful,,,1.00,,1.00
Alabama,2,1,3,1,,,run,Not successful,,,0.50,,1.00
Alabama,3,1,4,1,,,run,Successful,1st down,,0.67,,1.00
Alabama,4,1,5,1,,,run,Not successful,,,0.50,,1.00
Alabama,5,1,6,1,,,pass,Explosive,1st down,,0.50,1.00,0.80
Alabama,6,1,7,1,,,pass,Successful,1st down,,0.50,1.00,0.67
Alabama,7,1,8,1,,,run,Successful,,,0.60,1.00,0.71
Alabama,8,1,9,1,,,run,Successful,1st down,,0.67,1.00,0.75
Alabama,9,1,10,1,,,run,Not successful,,,0.57,1.00,0.78
Alabama,10,1,11,1,,,pass,Successful,,6,0.57,1.00,0.70
Mercer,1,1,2,1,,1,run,Not successful,,,0.00,,1.00
Mercer,2,1,3,1,,,pass,Successful,1st down,,0.00,1.00,0.50
Mercer,3,1,4,1,,,run,Successful,,,0.50,1.00,0.67
Mercer,4,1,5,1,,,pass,Not successful,,,0.50,0.50,0.50
Mercer,5,1,6,1,,,run,Not successful,,,0.33,0.50,0.60
Alabama,11,2,1,1,,,run,Successful,1st down,,0.63,1.00,0.73
Alabama,12,2,2,1,,,run,Successful,1st down,,0.67,1.00,0.75
Alabama,13,2,3,1,,,run,Not successful,,,0.60,1.00,0.77
Alabama,14,2,4,1,,,pass,Explosive,1st down,,0.60,1.00,0.71
Alabama,15,2,5,1,,,run,Successful,,6,0.64,1.00,0.73
Mercer,6,2,2,1,,,pass,Not successful,,,0.33,0.33,0.50
Mercer,7,2,3,1,,,run,Not successful,,,0.25,0.33,0.57
Mercer,8,2,4,1,,,pass,Successful,1st down,,0.25,0.50,0.50
Mercer,9,2,5,1,,,run,Not successful,,,0.20,0.50,0.56
Mercer,10,2,6,1,,,run,Not successful,,,0.17,0.50,0.60
Mercer,11,2,7,1,,,run,Successful,1st down,,0.29,0.50,0.64
Mercer,12,2,8,1,,,run,Not successful,,,0.25,0.50,0.67
Mercer,13,2,9,1,,,run,Not successful,,,0.22,0.50,0.69
Mercer,14,2,10,1,,,pass,Not successful,,,0.22,0.40,0.64
Alabama,16,3,1,1,,,run,Not successful,,,0.58,1.00,0.75
Alabama,17,3,2,1,,,run,Not successful,,,0.54,1.00,0.76
Alabama,18,3,3,1,,,run,Explosive,1st down,,0.57,1.00,0.78
Alabama,19,4,1,2,2,2,pass,Explosive,,6,0.57,1.00,0.74
