Team,Play_num_team,Drive,Play_num_drive,Quarter,New_q,New_q_team,Play_type,Result_final,1st_down,Points,SR_run_cume,SR_pass_cume,runRate_cume
Vanderbilt,1,1,2,1,1,1,no play,Not successful,,,,,
Vanderbilt,2,1,3,1,,,run,Not successful,,,0.00,,1.00
Vanderbilt,3,1,4,1,,,pass,Not successful,,,0.00,0.00,0.50
Vanderbilt,4,1,5,1,,,pass,Successful,1st down,,0.00,0.50,0.33
Vanderbilt,5,1,6,1,,,pass,Not successful,,,0.00,0.33,0.25
Alabama,1,1,1,1,,1,run,Not successful,,,0.00,,1.00
Alabama,2,1,2,1,,,pass,Successful,1st down,,0.00,1.00,0.50
Alabama,3,1,3,1,,,run,Successful,,,0.50,1.00,0.67
Alabama,4,1,4,1,,,run,Successful,1st down,,0.67,1.00,0.75
Alabama,5,1,5,1,,,run,Not successful,,,0.50,1.00,0.80
Alabama,6,1,6,1,,,pass,Not successful,,,0.50,0.50,0.67
Alabama,7,1,7,1,,,run,Not successful,,,0.40,0.50,0.71
Vanderbilt,6,2,1,1,,,run,Not successful,,,0.00,0.33,0.40
Vanderbilt,7,2,2,1,,,no play,Not successful,,,0.00,0.33,0.40
Vanderbilt,8,2,3,1,,,run,Not successful,,,0.00,0.33,0.50
Vanderbilt,9,2,4,1,,,pass,Not successful,,,0.00,0.25,0.43
Alabama,8,2,1,1,,,pass,Successful,1st down,,0.40,0.67,0.63
Alabama,9,2,2,1,,,pass,Not successful,,,0.40,0.50,0.56
Alabama,10,2,3,1,,,pass,Successful,1st down,,0.40,0.60,0.50
Alabama,11,2,4,1,,,run,Explosive,1st down,,0.50,0.60,0.55
Alabama,12,2,5,1,,,run,Successful,,6,0.57,0.60,0.58
Vanderbilt,10,3,2,1,,,pass,Not successful,,,0.00,0.20,0.38
Vanderbilt,11,3,3,1,,,run,Successful,,,0.25,0.20,0.44
Vanderbilt,12,3,4,1,,,run,Successful,1st down,,0.40,0.20,0.50
Vanderbilt,13,3,5,1,,,run,Not successful,,,0.33,0.20,0.55
Vanderbilt,14,3,6,1,,,pass,Not successful,,,0.33,0.17,0.50
Vanderbilt,15,3,7,1,,,no play,Not successful,,,0.33,0.17,0.50
Vanderbilt,16,3,8,1,,,no play,Not successful,,,0.33,0.17,0.50
Vanderbilt,17,3,9,1,,,pass,Not successful,,,0.33,0.14,0.46
Alabama,13,3,1,1,,,pass,Successful,,,0.57,0.67,0.54
Alabama,14,3,2,1,,,run,Explosive,,6,0.63,0.67,0.57
Vanderbilt,18,4,2,1,,,run,Not successful,,,0.29,0.14,0.50
Alabama,15,4,1,1,,,run,Successful,1st down,,0.67,0.67,0.60
Alabama,16,4,2,1,,,run,Successful,,,0.70,0.67,0.63
Alabama,17,4,3,1,,,pass,Not successful,,,0.70,0.57,0.59
Alabama,18,4,4,1,,,pass,Successful,1st down,,0.70,0.63,0.56
Alabama,19,4,5,1,,,run,Not successful,,,0.64,0.63,0.58
Alabama,20,4,6,1,,,run,Not successful,,,0.58,0.63,0.60
Alabama,21,4,7,1,,,run,Successful,,6,0.62,0.63,0.62
Vanderbilt,19,5,2,1,,,pass,Not successful,,,0.29,0.13,0.47
Vanderbilt,20,5,3,1,,,run,Not successful,,,0.25,0.13,0.50
Vanderbilt,21,6,1,2,2,2,no play,Not successful,,,0.25,0.13,0.50
Vanderbilt,22,6,2,2,,,pass,Not successful,,,0.25,0.11,0.47
Alabama,22,5,1,2,,2,run,Successful,1st down,,0.64,0.63,0.64
Alabama,23,5,2,2,,,pass,Successful,1st down,,0.64,0.67,0.61
Alabama,24,5,3,2,,,run,Successful,,,0.67,0.67,0.63
Alabama,25,5,4,2,,,pass,Successful,1st down,,0.67,0.70,0.60
Alabama,26,5,5,2,,,no play,Not successful,,,0.67,0.70,0.60
Alabama,27,5,6,2,,,run,Successful,,,0.69,0.70,0.62
Alabama,28,5,7,2,,,run,Successful,,,0.71,0.70,0.63
Alabama,29,5,8,2,,,run,Not successful,,,0.67,0.70,0.64
Alabama,30,5,9,2,,,run,Successful,1st down,,0.68,0.70,0.66
Alabama,31,5,10,2,,,run,Successful,1st down,,0.70,0.70,0.67
Alabama,32,5,11,2,,,run,Not successful,,,0.67,0.70,0.68
Alabama,33,5,12,2,,,run,Successful,,,0.68,0.70,0.69
Alabama,34,5,13,2,,,no play,Successful,1st down,,0.68,0.70,0.69
Alabama,35,5,14,2,,,run,Successful,,,0.70,0.70,0.70
Alabama,36,5,15,2,,,run,Successful,,6,0.71,0.70,0.71
Vanderbilt,23,7,2,2,,,run,Not successful,,,0.22,0.11,0.50
Vanderbilt,24,7,3,2,,,run,Not successful,,,0.20,0.11,0.53
Vanderbilt,25,7,4,2,,,pass,Not successful,,,0.20,0.10,0.50
Alabama,37,6,1,2,,,pass,Not successful,,,0.71,0.64,0.69
Alabama,38,6,2,2,,,run,Not successful,,,0.68,0.64,0.69
Alabama,39,6,3,2,,,run,Not successful,,,0.65,0.64,0.70
Vanderbilt,26,8,1,2,,,pass,Not successful,,,0.20,0.09,0.48
Vanderbilt,27,8,2,2,,,pass,Not successful,,,0.20,0.08,0.45
Vanderbilt,28,8,3,2,,,pass,Not successful,,,0.20,0.08,0.43
Alabama,40,7,1,2,,,pass,Not successful,,,0.65,0.58,0.68
Alabama,41,7,2,2,,,run,Explosive,1st down,,0.67,0.58,0.69
Alabama,42,7,3,2,,,pass,Not successful,,,0.67,0.54,0.68
Alabama,43,7,4,2,,,run,Successful,,,0.68,0.54,0.68
Alabama,44,7,5,2,,,run,Successful,1st down,,0.69,0.54,0.69
Alabama,45,7,6,2,,,run,Successful,1st down,,0.70,0.54,0.70
Alabama,46,7,7,2,,,pass,Not successful,,,0.70,0.50,0.68
Alabama,47,7,8,2,,,pass,Successful,1st down,,0.70,0.53,0.67
Alabama,48,7,9,2,,,pass,Not successful,,,0.70,0.50,0.65
Alabama,49,7,10,2,,,run,Not successful,,,0.68,0.50,0.66
Alabama,50,7,11,2,,,pass,Not successful,,,0.68,0.47,0.65
Vanderbilt,29,9,2,2,,,run,Not successful,,,0.18,0.08,0.46
Vanderbilt,30,9,3,2,,,run,Not successful,,,0.17,0.08,0.48
Alabama,51,8,2,3,3,3,run,Explosive,1st down,,0.69,0.47,0.65
Alabama,52,8,3,3,,,run,Explosive,1st down,,0.70,0.47,0.66
Alabama,53,8,4,3,,,run,Not successful,,,0.68,0.47,0.67
Alabama,54,8,5,3,,,run,Not successful,,,0.66,0.47,0.67
Alabama,55,8,6,3,,,pass,Successful,1st down,,0.66,0.50,0.66
Alabama,56,8,7,3,,,pass,Not successful,,,0.66,0.47,0.65
Alabama,57,8,8,3,,,run,Explosive,1st down,,0.67,0.47,0.65
Alabama,58,8,9,3,,,run,Successful,,6,0.68,0.47,0.66
Vanderbilt,31,10,2,3,,3,pass,Not successful,,,0.17,0.07,0.46
Vanderbilt,32,10,3,3,,,run,Not successful,,,0.15,0.07,0.48
Vanderbilt,33,10,4,3,,,pass,Not successful,,,0.15,0.07,0.46
Alabama,59,9,1,3,,,pass,Not successful,,,0.68,0.45,0.65
Alabama,60,9,2,3,,,pass,Successful,1st down,,0.68,0.48,0.64
Alabama,61,9,3,3,,,pass,Not successful,,,0.68,0.45,0.63
Alabama,62,9,4,3,,,run,Successful,,,0.68,0.45,0.63
Alabama,63,9,5,3,,,run,Successful,1st down,,0.69,0.45,0.64
Alabama,64,9,6,3,,,pass,Not successful,,,0.69,0.43,0.63
Alabama,65,9,7,3,,,pass,Not successful,,,0.69,0.42,0.62
Alabama,66,9,8,3,,,pass,Explosive,,6,0.69,0.44,0.61
Vanderbilt,34,11,2,3,,,run,Not successful,,,0.14,0.07,0.48
Vanderbilt,35,11,3,3,,,pass,Not successful,,,0.14,0.06,0.47
Vanderbilt,36,11,4,3,,,pass,Not successful,,,0.14,0.06,0.45
Alabama,67,10,1,3,,,run,Successful,1st down,,0.70,0.44,0.62
Alabama,68,10,2,3,,,pass,Not successful,,,0.70,0.42,0.61
Alabama,69,10,3,3,,,run,Explosive,1st down,,0.71,0.42,0.61
Alabama,70,10,4,3,,,pass,Explosive,,6,0.71,0.44,0.60
Vanderbilt,37,12,2,3,,,pass,Successful,1st down,,0.14,0.11,0.44
Vanderbilt,38,12,3,3,,,pass,Not successful,,,0.14,0.11,0.42
Vanderbilt,39,12,4,3,,,pass,Not successful,,,0.14,0.10,0.41
Vanderbilt,40,12,5,3,,,pass,Not successful,,,0.14,0.10,0.40
Alabama,71,11,1,3,,,run,Not successful,,,0.69,0.44,0.61
Alabama,72,11,2,3,,,run,Successful,1st down,,0.70,0.44,0.61
Alabama,73,11,3,3,,,run,Not successful,,,0.68,0.44,0.62
Alabama,74,11,4,3,,,pass,Explosive,1st down,,0.68,0.46,0.61
Alabama,75,11,5,3,,,run,Successful,1st down,,0.69,0.46,0.62
Alabama,76,11,6,3,,,run,Not successful,,,0.67,0.46,0.62
Alabama,77,11,7,3,,,run,Successful,,,0.68,0.46,0.63
Alabama,78,12,1,4,4,4,run,Not successful,,,0.67,0.46,0.63
Alabama,79,12,2,4,,,run,Successful,1st down,,0.67,0.46,0.64
Alabama,80,12,3,4,,,run,Explosive,,6,0.68,0.46,0.64
Vanderbilt,41,13,2,4,,4,run,Not successful,,,0.13,0.10,0.42
Vanderbilt,42,13,3,4,,,run,Not successful,,,0.13,0.10,0.43
Vanderbilt,43,13,4,4,,,pass,Not successful,,,0.13,0.09,0.42
Alabama,81,13,1,4,,,run,Not successful,,,0.67,0.46,0.65
Alabama,82,13,2,4,,,run,Not successful,,,0.65,0.46,0.65
Alabama,83,13,3,4,,,pass,Successful,1st down,,0.65,0.48,0.64
Alabama,84,13,4,4,,,run,Successful,,,0.66,0.48,0.65
Alabama,85,13,5,4,,,no play,Successful,1st down,,0.66,0.48,0.65
Alabama,86,13,6,4,,,run,Not successful,,,0.65,0.48,0.65
Alabama,87,13,7,4,,,run,Successful,1st down,,0.65,0.48,0.65
Alabama,88,13,8,4,,,run,Not successful,,,0.64,0.48,0.66
Alabama,89,13,9,4,,,run,Not successful,,,0.63,0.48,0.66
