Team,Play_num_team,Drive,Play_num_drive,Quarter,New_q,New_q_team,Play_type,Result_final,1st_down,Points,SR_run_cume,SR_pass_cume,runRate_cume
Georgia,1,1,2,1,1,1,pass,Not successful,,,,0.00,0.00
Georgia,2,1,3,1,,,pass,Not successful,,,,0.00,0.00
Georgia,3,1,4,1,,,pass,Not successful,,,,0.00,0.00
Alabama,1,1,1,1,,1,run,Not successful,,,0.00,,1.00
Alabama,2,1,2,1,,,pass,Successful,1st down,,0.00,1.00,0.50
Alabama,3,1,3,1,,,pass,Successful,,,0.00,1.00,0.33
Alabama,4,1,4,1,,,run,Successful,1st down,,0.50,1.00,0.50
Alabama,5,1,5,1,,,pass,Not successful,,,0.50,0.67,0.40
Alabama,6,1,6,1,,,run,Not successful,,,0.33,0.67,0.50
Alabama,7,1,7,1,,,run,Successful,1st down,,0.50,0.67,0.57
Alabama,8,1,8,1,,,run,Not successful,,,0.40,0.67,0.63
Alabama,9,1,9,1,,,pass,Not successful,,,0.40,0.50,0.56
Alabama,10,1,10,1,,,pass,Not successful,,,0.40,0.40,0.50
Alabama,11,1,11,1,,,no play,Not successful,,,0.40,0.40,0.50
Georgia,4,2,1,1,,,pass,Successful,1st down,,,0.25,0.00
Georgia,5,2,2,1,,,pass,Not successful,,,,0.20,0.00
Georgia,6,2,3,1,,,no play,Not successful,,,,0.20,0.00
Georgia,7,2,4,1,,,pass,Not successful,,,,0.17,0.00
Georgia,8,2,5,1,,,pass,Not successful,,,,0.14,0.00
Alabama,12,2,1,1,,,run,Not successful,,,0.33,0.40,0.55
Alabama,13,2,2,1,,,run,Not successful,,,0.29,0.40,0.58
Alabama,14,2,3,1,,,run,Not successful,,,0.25,0.40,0.62
Georgia,9,3,1,1,,,run,Not successful,,,0.00,0.14,0.13
Georgia,10,3,2,1,,,run,Not successful,,,0.00,0.14,0.22
Georgia,11,3,3,1,,,run,Successful,1st down,,0.33,0.14,0.30
Georgia,12,3,4,1,,,run,Successful,,,0.50,0.14,0.36
Georgia,13,3,5,1,,,run,Not successful,,,0.40,0.14,0.42
Georgia,14,3,6,1,,,no play,Successful,1st down,,0.40,0.14,0.42
Georgia,15,3,7,1,,,run,Not successful,,,0.33,0.14,0.46
Georgia,16,3,8,1,,,pass,Successful,1st down,,0.33,0.25,0.43
Georgia,17,3,9,1,,,pass,Not successful,,,0.33,0.22,0.40
Georgia,18,3,10,1,,,pass,Not successful,,,0.33,0.20,0.38
Georgia,19,3,11,1,,,run,Explosive,1st down,,0.43,0.20,0.41
Georgia,20,3,12,1,,,pass,Not successful,,,0.43,0.18,0.39
Georgia,21,3,13,1,,,run,Not successful,,,0.38,0.18,0.42
Georgia,22,4,1,2,2,2,run,Not successful,,,0.33,0.18,0.45
Alabama,15,3,2,2,,2,run,Not successful,,,0.22,0.40,0.64
Alabama,16,3,3,2,,,run,Not successful,,,0.20,0.40,0.67
Alabama,17,3,4,2,,,pass,Not successful,,,0.20,0.33,0.63
Georgia,23,5,1,2,,,pass,Explosive,1st down,,0.33,0.25,0.43
Georgia,24,5,2,2,,,run,Successful,,,0.40,0.25,0.45
Georgia,25,5,3,2,,,run,Successful,1st down,,0.45,0.25,0.48
Georgia,26,5,4,2,,,pass,Not successful,,,0.45,0.23,0.46
Georgia,27,5,5,2,,,run,Not successful,,,0.42,0.23,0.48
Georgia,28,5,6,2,,,pass,Explosive,1st down,,0.42,0.29,0.46
Georgia,29,5,7,2,,,pass,Not successful,,,0.42,0.27,0.44
Georgia,30,5,8,2,,,run,Not successful,,,0.38,0.27,0.46
Georgia,31,5,9,2,,,pass,Explosive,1st down,,0.38,0.31,0.45
Georgia,32,5,10,2,,,run,Not successful,,,0.36,0.31,0.47
Georgia,33,5,11,2,,,pass,Not successful,,,0.36,0.29,0.45
Georgia,34,5,12,2,,,pass,Not successful,,,0.36,0.28,0.44
Alabama,18,4,2,2,,,run,Explosive,1st down,,0.27,0.33,0.65
Alabama,19,4,3,2,,,run,Not successful,,,0.25,0.33,0.67
Alabama,20,4,4,2,,,pass,Not successful,,,0.25,0.29,0.63
Alabama,21,4,5,2,,,run,Not successful,,,0.23,0.29,0.65
Georgia,35,6,1,2,,,run,Not successful,,,0.33,0.28,0.45
Georgia,36,6,2,2,,,run,Not successful,,,0.31,0.28,0.47
Georgia,37,6,3,2,,,pass,Explosive,1st down,,0.31,0.32,0.46
Georgia,38,6,4,2,,,pass,Not successful,,,0.31,0.30,0.44
Georgia,39,6,5,2,,,run,Not successful,,,0.29,0.30,0.46
Georgia,40,6,6,2,,,pass,Not successful,,,0.29,0.29,0.45
Alabama,22,5,1,2,,,pass,Not successful,,,0.23,0.25,0.62
Alabama,23,5,2,2,,,run,Not successful,,,0.21,0.25,0.64
Alabama,24,5,3,2,,,pass,Not successful,,,0.21,0.22,0.61
Georgia,41,7,1,2,,,pass,Successful,1st down,,0.29,0.32,0.44
Georgia,42,7,2,2,,,pass,Not successful,,,0.29,0.30,0.43
Georgia,43,7,3,2,,,pass,Not successful,,,0.29,0.29,0.41
Georgia,44,7,4,2,,,run,Successful,1st down,,0.33,0.29,0.43
Georgia,45,7,5,2,,,no play,Successful,,,0.33,0.29,0.43
Georgia,46,7,6,2,,,run,Successful,1st down,,0.37,0.29,0.44
Georgia,47,7,7,2,,,run,Successful,1st down,,0.40,0.29,0.45
Georgia,48,7,8,2,,,pass,Explosive,1st down,,0.40,0.32,0.44
Georgia,49,7,9,2,,,run,Not successful,,,0.38,0.32,0.46
Georgia,50,7,10,2,,,no play,Not successful,,,0.38,0.32,0.46
Georgia,51,7,11,2,,,run,Successful,,6,0.41,0.32,0.47
Alabama,25,7,2,3,3,3,run,Not successful,,,0.20,0.22,0.63
Alabama,26,7,3,3,,,pass,Not successful,,,0.20,0.20,0.60
Alabama,27,7,4,3,,,pass,Not successful,,,0.20,0.18,0.58
Alabama,28,7,5,3,,,no play,Not successful,,,0.20,0.18,0.58
Georgia,52,8,1,3,,3,run,Not successful,,,0.39,0.32,0.48
Georgia,53,8,2,3,,,pass,Not successful,,,0.39,0.31,0.47
Georgia,54,8,3,3,,,run,Not successful,,,0.38,0.31,0.48
Alabama,29,8,1,3,,,pass,Not successful,,,0.20,0.17,0.56
Alabama,30,8,2,3,,,run,Not successful,,,0.19,0.17,0.57
Alabama,31,8,3,3,,,run,Successful,1st down,,0.24,0.17,0.59
Alabama,32,8,4,3,,,pass,Explosive,1st down,,0.24,0.23,0.57
Alabama,33,8,5,3,,,pass,Successful,,,0.24,0.29,0.55
Alabama,34,8,6,3,,,pass,Successful,1st down,,0.24,0.33,0.53
Alabama,35,8,7,3,,,pass,Successful,,6,0.24,0.38,0.52
Georgia,55,9,2,3,,,pass,Successful,1st down,,0.38,0.33,0.47
Georgia,56,9,3,3,,,run,Not successful,,,0.36,0.33,0.48
Georgia,57,9,4,3,,,run,Not successful,,,0.35,0.33,0.49
Georgia,58,9,5,3,,,pass,Explosive,,6,0.35,0.36,0.48
Alabama,36,9,2,3,,,pass,Not successful,,,0.24,0.35,0.50
Alabama,37,9,3,3,,,pass,Not successful,,,0.24,0.33,0.49
Georgia,59,10,1,3,,,pass,Not successful,,,0.35,0.34,0.47
Alabama,38,10,1,3,,,run,Successful,,,0.28,0.33,0.50
Alabama,39,10,2,3,,,run,Successful,1st down,,0.32,0.33,0.51
Alabama,40,10,3,3,,,pass,Not successful,,,0.32,0.32,0.50
Alabama,41,10,4,3,,,pass,Not successful,,,0.32,0.30,0.49
Alabama,42,10,5,3,,,pass,Not successful,,,0.32,0.29,0.48
Georgia,60,11,2,3,,,no play,Successful,1st down,,0.35,0.34,0.47
Georgia,61,11,3,3,,,run,Successful,,,0.37,0.34,0.48
Georgia,62,11,4,3,,,run,Not successful,,,0.36,0.34,0.49
Georgia,63,11,5,3,,,pass,Successful,1st down,,0.36,0.37,0.48
Georgia,64,11,6,3,,,run,Successful,,,0.38,0.37,0.49
Georgia,65,11,7,3,,,run,Not successful,,,0.37,0.37,0.50
Georgia,66,11,8,3,,,pass,Not successful,,,0.37,0.35,0.49
Alabama,43,11,1,3,,,run,Explosive,1st down,,0.35,0.29,0.49
Alabama,44,11,2,3,,,pass,Successful,,,0.35,0.32,0.48
Alabama,45,11,3,3,,,run,Not successful,,,0.33,0.32,0.49
Alabama,46,11,4,3,,,pass,Not successful,,,0.33,0.30,0.48
Georgia,67,12,1,3,,,run,Not successful,,,0.35,0.35,0.50
Georgia,68,13,1,4,4,4,run,Successful,1st down,,0.38,0.35,0.51
Georgia,69,13,2,4,,,run,Successful,,,0.39,0.35,0.52
Georgia,70,13,3,4,,,run,Successful,1st down,,0.41,0.35,0.52
Georgia,71,13,4,4,,,run,Successful,,,0.43,0.35,0.53
Georgia,72,13,5,4,,,run,Not successful,,,0.42,0.35,0.54
Georgia,73,13,6,4,,,pass,Not successful,,,0.42,0.34,0.53
Alabama,47,12,1,4,,4,run,Explosive,1st down,,0.36,0.30,0.49
Alabama,48,12,2,4,,,pass,Successful,1st down,,0.36,0.33,0.48
Alabama,49,12,3,4,,,pass,Successful,,,0.36,0.36,0.47
Alabama,50,12,4,4,,,run,Explosive,1st down,,0.39,0.36,0.48
Alabama,51,12,5,4,,,run,Not successful,,,0.38,0.36,0.49
Alabama,52,12,6,4,,,pass,Not successful,,,0.38,0.35,0.48
Alabama,53,12,7,4,,,pass,Not successful,,,0.38,0.33,0.47
Georgia,74,14,2,4,,,run,Not successful,,,0.41,0.34,0.54
Georgia,75,14,3,4,,,run,Successful,,,0.42,0.34,0.54
Georgia,76,14,4,4,,,run,Not successful,,,0.41,0.34,0.55
Alabama,54,13,1,4,,,pass,Explosive,1st down,,0.38,0.36,0.46
Alabama,55,13,2,4,,,run,Not successful,,,0.36,0.36,0.47
Alabama,56,13,3,4,,,pass,Not successful,,,0.36,0.34,0.46
Alabama,57,13,4,4,,,pass,Successful,1st down,,0.36,0.37,0.45
Alabama,58,13,5,4,,,pass,Explosive,1st down,,0.36,0.39,0.45
Alabama,59,13,6,4,,,pass,Not successful,,,0.36,0.38,0.44
Alabama,60,13,7,4,,,run,Successful,,,0.38,0.38,0.45
Alabama,61,13,8,4,,,run,Not successful,,,0.37,0.38,0.46
Alabama,62,13,9,4,,,pass,Successful,,6,0.37,0.39,0.45
Georgia,77,15,2,4,,,pass,Not successful,,,0.41,0.33,0.54
Georgia,78,15,3,4,,,pass,Successful,,,0.41,0.35,0.53
Georgia,79,15,4,4,,,pass,Not successful,,,0.41,0.34,0.53
Alabama,63,14,1,4,,,run,Not successful,,,0.36,0.39,0.46
Alabama,64,14,2,4,,,run,Successful,1st down,,0.38,0.39,0.47
Alabama,65,14,3,4,,,pass,Successful,1st down,,0.38,0.41,0.46
Alabama,66,14,4,4,,,run,Successful,,,0.40,0.41,0.47
Alabama,67,14,5,4,,,run,Not successful,,,0.39,0.41,0.48
Alabama,68,14,6,4,,,run,Successful,1st down,,0.41,0.41,0.48
