team,quarter,drive_team,play_count,play_count_team,play type,play_result,run sr,pass sr,run rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Clemson,1,1,2,1,pass,not successful,,0.00,0.00,,T.Lawrence,T.Etienne,,,,,16-T.Lawrence incomplete. Intended for 9-T.Etienne.
Clemson,1,1,3,2,run,not successful,0.00,,0.50,T.Etienne,,,X.McKinney,M.Wilson,0.5,0.5,"9-T.Etienne pushed ob at CLE 28 for 3 yards (15-X.McKinney,30-M.Wilson)."
Clemson,1,1,4,3,pass,not successful,,0.00,0.33,,T.Lawrence,H.Renfrow,,,,,16-T.Lawrence incomplete. Intended for 13-H.Renfrow.
Alabama,1,1,6,1,pass,successful,,1.00,0.00,,T.Tagovailoa,I.Smith,T.Mullen,,1,,13-T.Tagovailoa complete to 82-I.Smith. 82-I.Smith pushed ob at BAMA 29 for 8 yards (1-T.Mullen).
Alabama,1,1,7,2,pass,successful,,1.00,0.00,,T.Tagovailoa,D.Smith,T.Mullen,,1,,13-T.Tagovailoa complete to 6-D.Smith. 6-D.Smith pushed ob at BAMA 41 for 12 yards (1-T.Mullen).
Alabama,1,1,8,3,pass,not successful,,0.67,0.00,,T.Tagovailoa,J.Jeudy,,,,," 13-T.Tagovailoa incomplete. Intended for 4-J.Jeudy, INTERCEPTED by 8-A.Terrell at BAMA 44. 8-A.Terrell runs 44 yards for a touchdown."
Alabama,1,2,11,4,run,not successful,0.00,,0.25,D.Harris,,,T.Lamar,K.Joseph,0.5,0.5,"34-D.Harris to BAMA 28 for 3 yards (57-T.Lamar,34-K.Joseph)."
Alabama,1,2,12,5,run,successful,0.50,,0.40,D.Harris,,,K.Joseph,,1,,34-D.Harris to BAMA 38 for 10 yards (34-K.Joseph).
Alabama,1,2,13,6,pass,explosive,,0.75,0.33,,T.Tagovailoa,J.Jeudy,,,,, 13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy runs 62 yards for a touchdown.
Clemson,1,3,16,5,pass,not successful,,0.00,0.25,,T.Lawrence,J.Ross,,,,,16-T.Lawrence incomplete. Intended for 8-J.Ross.
Clemson,1,3,18,7,pass,not successful,,0.00,0.20,,T.Lawrence,T.Thompson,X.McKinney,,1,,16-T.Lawrence complete to 1-T.Thompson. 1-T.Thompson to CLE 21 for 8 yards (15-X.McKinney).
Clemson,1,3,19,8,pass,explosive,,0.20,0.17,,T.Lawrence,T.Higgins,S.Smith,,1,,16-T.Lawrence complete to 5-T.Higgins. 5-T.Higgins to BAMA 17 for 62 yards (4-S.Smith).
Clemson,1,3,20,9,run,explosive,0.50,,0.29,T.Etienne,,,,,,, 9-T.Etienne runs 17 yards for a touchdown.
Alabama,1,3,23,7,run,successful,0.67,,0.43,J.Jacobs,,,J.Skalski,,1,,8-J.Jacobs to BAMA 32 for 7 yards (47-J.Skalski).
Alabama,1,3,24,8,pass,not successful,,0.60,0.38,,T.Tagovailoa,I.Smith,K.Wallace,,1,,13-T.Tagovailoa complete to 82-I.Smith. 82-I.Smith to BAMA 32 for no gain (12-K.Wallace).
Alabama,1,3,25,9,pass,explosive,,0.67,0.33,,T.Tagovailoa,D.Smith,A.Terrell,N.Turner,0.5,0.5,"13-T.Tagovailoa complete to 6-D.Smith. 6-D.Smith to BAMA 47 for 15 yards (8-A.Terrell,24-N.Turner)."
Alabama,1,3,26,10,pass,successful,,0.71,0.30,,T.Tagovailoa,D.Smith,K.Wallace,,1,,13-T.Tagovailoa complete to 6-D.Smith. 6-D.Smith to CLE 42 for 11 yards (12-K.Wallace).
Alabama,1,3,27,11,pass,explosive,,0.75,0.27,,T.Tagovailoa,I.Smith,K.Wallace,,1,,13-T.Tagovailoa complete to 82-I.Smith. 82-I.Smith to CLE 21 for 21 yards (12-K.Wallace).
Alabama,1,3,28,12,pass,not successful,,0.67,0.25,,T.Tagovailoa,J.Jacobs,,,,,13-T.Tagovailoa incomplete. Intended for 8-J.Jacobs.
Alabama,1,3,29,13,run,successful,0.75,,0.31,N.Harris,,,,,,,22-N.Harris to CLE 12 for 9 yards.
Alabama,1,3,30,14,run,successful,0.80,,0.36,N.Harris,,,I.Simmons,T.Lamar,0.5,0.5,"22-N.Harris to CLE 9 for 3 yards (11-I.Simmons,57-T.Lamar)."
Alabama,1,3,31,15,run,successful,0.83,,0.40,N.Harris,,,T.Mullen,,1,,22-N.Harris to CLE 1 for 8 yards (1-T.Mullen).
Alabama,1,3,32,16,pass,successful,,0.70,0.38,,T.Tagovailoa,H.Hentges,,,,, 13-T.Tagovailoa complete to 84-H.Hentges. 84-H.Hentges runs 1 yard for a touchdown.
Clemson,1,4,35,10,pass,not successful,,0.17,0.25,,T.Lawrence,H.Renfrow,,,,,16-T.Lawrence incomplete. Intended for 13-H.Renfrow.
Clemson,1,4,36,11,run,not successful,0.33,,0.33,T.Etienne,,,L.Ray,M.Wilson,0.5,0.5,"9-T.Etienne to CLE 21 for -4 yards (89-L.Ray,30-M.Wilson)."
Clemson,1,4,37,12,pass,not successful,,0.14,0.30,,T.Lawrence,H.Renfrow,,,,,16-T.Lawrence incomplete. Intended for 13-H.Renfrow.
Alabama,1,4,39,17,pass,successful,,0.73,0.35,,T.Tagovailoa,J.Jeudy,T.Mullen,,1,,13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy pushed ob at CLE 40 for 12 yards (1-T.Mullen).
Alabama,1,4,40,18,run,successful,0.86,,0.39,N.Harris,,,I.Simmons,,1,,22-N.Harris to CLE 27 for 13 yards (11-I.Simmons).
Alabama,1,4,41,19,pass,successful,,0.75,0.37,,T.Tagovailoa,J.Jeudy,I.Simmons,,1,,13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy to CLE 15 for 12 yards (11-I.Simmons).
Alabama,1,4,42,20,run,successful,0.88,,0.40,D.Harris,,,A.Terrell,,1,,34-D.Harris to CLE 9 for 6 yards (8-A.Terrell).
Alabama,1,4,43,21,run,not successful,0.78,,0.43,D.Harris,,,A.Huggins,A.Bryant,0.5,0.5,"34-D.Harris to CLE 8 for 1 yard (67-A.Huggins,7-A.Bryant)."
Alabama,1,4,44,22,run,not successful,0.70,,0.45,D.Harris,,,A.Huggins,,1,,34-D.Harris to CLE 6 for 2 yards (67-A.Huggins).
Alabama,1,4,45,23,run,successful,0.73,,0.48,J.Jacobs,,,T.Lamar,A.Huggins,0.5,0.5,"8-J.Jacobs to CLE 2 for 4 yards (57-T.Lamar,67-A.Huggins)."
Alabama,1,4,46,24,run,successful,0.75,,0.50,D.Harris,,,A.Bryant,,1,,34-D.Harris to CLE 1 for 1 yard (7-A.Bryant).
Alabama,1,4,48,26,pass,not successful,,0.69,0.48,,T.Tagovailoa,H.Ruggs,I.Simmons,,1,,13-T.Tagovailoa complete to 11-H.Ruggs. 11-H.Ruggs to CLE 3 for 3 yards (11-I.Simmons).
Alabama,2,5,49,27,pass,not successful,,0.64,0.46,,T.Tagovailoa,D.Harris,A.Bryant,,1,,13-T.Tagovailoa complete to 34-D.Harris. 34-D.Harris to CLE 7 for -4 yards (7-A.Bryant).
Clemson,2,5,52,14,pass,successful,,0.25,0.27,,T.Lawrence,T.Higgins,,,,,"16-T.Lawrence incomplete. Intended for 5-T.Higgins. Penalty on BAMA 4-S.Smith, Pass interference, 15 yards, enforced at CLE 35. No Play."
Clemson,2,5,53,15,pass,explosive,,0.33,0.25,,T.Lawrence,T.Feaster,R.Davis,,1,,16-T.Lawrence complete to 28-T.Feaster. 28-T.Feaster to BAMA 24 for 26 yards (99-R.Davis).
Clemson,2,5,54,16,run,not successful,0.25,,0.31,T.Lawrence,,,D.Moses,M.Wilson,0.5,0.5,"16-T.Lawrence scrambles to BAMA 23 for 1 yard (32-D.Moses,30-M.Wilson)."
Clemson,2,5,55,17,run,not successful,0.20,,0.36,T.Feaster,,,R.Davis,I.Buggs,0.5,0.5,"28-T.Feaster to BAMA 19 for 4 yards (99-R.Davis,49-I.Buggs)."
Clemson,2,5,56,18,pass,successful,,0.40,0.33,,T.Lawrence,T.Higgins,X.McKinney,,1,,16-T.Lawrence complete to 5-T.Higgins. 5-T.Higgins pushed ob at BAMA 5 for 14 yards (15-X.McKinney).
Clemson,2,5,57,19,run,successful,0.33,,0.38,T.Etienne,,,M.Wilson,,1,,9-T.Etienne to BAMA 1 for 4 yards (30-M.Wilson).
Clemson,2,5,58,20,run,successful,0.43,,0.41,T.Etienne,,,,,,, 9-T.Etienne runs 1 yard for a touchdown.
Alabama,2,6,61,29,run,successful,0.77,,0.48,J.Jacobs,,,A.Huggins,,1,,8-J.Jacobs to BAMA 32 for 7 yards (67-A.Huggins).
Alabama,2,6,62,30,run,not successful,0.71,,0.50,J.Jacobs,,,N.Turner,,1,,8-J.Jacobs to BAMA 34 for 2 yards (24-N.Turner).
Alabama,2,6,63,31,run,not successful,0.67,,0.52,J.Jacobs,,,X.Thomas,,1,,8-J.Jacobs to BAMA 34 for no gain (3-X.Thomas).
Alabama,2,6,64,32,run,successful,0.69,,0.53,J.Jacobs,,,J.Davis,N.Turner,0.5,0.5,"8-J.Jacobs to BAMA 37 for 3 yards (36-J.Davis,24-N.Turner)."
Alabama,2,6,65,33,run,successful,0.71,,0.55,J.Jacobs,,,N.Turner,,1,,8-J.Jacobs to BAMA 45 for 8 yards (24-N.Turner).
Alabama,2,6,66,34,run,successful,0.72,,0.56,J.Jacobs,,,K.Wallace,,1,,8-J.Jacobs to CLE 44 for 11 yards (12-K.Wallace).
Alabama,2,6,67,35,pass,not successful,,0.60,0.55,,T.Tagovailoa,J.Jeudy,,,,,"13-T.Tagovailoa incomplete. Intended for 4-J.Jeudy, INTERCEPTED by 1-T.Mullen at CLE 7. 1-T.Mullen runs ob at BAMA 47 for 46 yards."
Clemson,2,6,68,21,run,not successful,0.38,,0.44,T.Etienne,,,Q.Williams,,1,,9-T.Etienne to BAMA 44 for 3 yards (92-Q.Williams).
Clemson,2,6,69,22,pass,successful,,0.45,0.42,,T.Lawrence,H.Renfrow,,,,,16-T.Lawrence complete to 13-H.Renfrow. 13-H.Renfrow to BAMA 39 for 5 yards.
Clemson,2,6,70,23,pass,successful,,0.50,0.40,,T.Lawrence,H.Renfrow,P.Surtain,,1,,16-T.Lawrence complete to 13-H.Renfrow. 13-H.Renfrow to BAMA 34 for 5 yards (2-P.Surtain).
Clemson,2,6,71,24,pass,not successful,,0.46,0.38,,T.Lawrence,J.Ross,,,,,16-T.Lawrence incomplete. Intended for 8-J.Ross.
Clemson,2,6,72,25,pass,not successful,,0.43,0.36,,T.Lawrence,T.Feaster,I.Buggs,,1,,16-T.Lawrence complete to 28-T.Feaster. 28-T.Feaster to BAMA 31 for 3 yards (49-I.Buggs).
Clemson,2,6,73,26,pass,explosive,,0.47,0.35,,T.Lawrence,A.Rodgers,S.Smith,,1,,16-T.Lawrence complete to 3-A.Rodgers. 3-A.Rodgers to BAMA 5 for 26 yards (4-S.Smith).
Clemson,2,6,74,27,run,not successful,0.33,,0.38,T.Etienne,,,D.Thompson,,1,,9-T.Etienne to BAMA 5 for no gain (14-D.Thompson).
Clemson,2,6,75,28,pass,successful,,0.50,0.36,,T.Lawrence,T.Etienne,,,,, 16-T.Lawrence complete to 9-T.Etienne. 9-T.Etienne runs 5 yards for a touchdown.
Alabama,2,7,78,36,pass,successful,,0.63,0.53,,T.Tagovailoa,J.Jeudy,A.Terrell,,1,,13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy to BAMA 30 for 5 yards (8-A.Terrell).
