team,quarter,drive_team,play_count,play_count_team,down,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Clemson,1Q,1,2,1,1,pass,,not successful,,0.00,0.00,0.00,,T.Lawrence,T.Etienne,,,,,16-T.Lawrence incomplete. Intended for 9-T.Etienne.
Clemson,1Q,1,3,2,2,run,3,not successful,0.00,,0.00,0.50,T.Etienne,,,X.McKinney,M.Wilson,0.5,0.5,"9-T.Etienne pushed ob at CLE 28 for 3 yards (15-X.McKinney,30-M.Wilson)."
Clemson,1Q,1,4,3,3,pass,,not successful,,0.00,0.00,0.33,,T.Lawrence,H.Renfrow,,,,,16-T.Lawrence incomplete. Intended for 13-H.Renfrow.
Alabama,1Q,1,6,1,1,pass,8,successful,,1.00,1.00,0.00,,T.Tagovailoa,I.Smith,T.Mullen,,1,,13-T.Tagovailoa complete to 82-I.Smith. 82-I.Smith pushed ob at BAMA 29 for 8 yards (1-T.Mullen).
Alabama,1Q,1,7,2,2,pass,12,successful,,1.00,1.00,0.00,,T.Tagovailoa,D.Smith,T.Mullen,,1,,13-T.Tagovailoa complete to 6-D.Smith. 6-D.Smith pushed ob at BAMA 41 for 12 yards (1-T.Mullen).
Alabama,1Q,1,8,3,1,pass,,not successful,,0.67,0.67,0.00,,T.Tagovailoa,J.Jeudy,,,,," 13-T.Tagovailoa incomplete. Intended for 4-J.Jeudy, INTERCEPTED by 8-A.Terrell at BAMA 44. 8-A.Terrell runs 44 yards for a touchdown."
Alabama,1Q,2,11,4,1,run,3,not successful,0.00,,0.50,0.25,D.Harris,,,T.Lamar,K.Joseph,0.5,0.5,"34-D.Harris to BAMA 28 for 3 yards (57-T.Lamar,34-K.Joseph)."
Alabama,1Q,2,12,5,2,run,10,successful,0.50,,0.60,0.40,D.Harris,,,K.Joseph,,1,,34-D.Harris to BAMA 38 for 10 yards (34-K.Joseph).
Alabama,1Q,2,13,6,1,pass,62,explosive,,0.75,0.67,0.33,,T.Tagovailoa,J.Jeudy,,,,, 13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy runs 62 yards for a touchdown.
Clemson,1Q,3,16,5,1,pass,,not successful,,0.00,0.00,0.25,,T.Lawrence,J.Ross,,,,,16-T.Lawrence incomplete. Intended for 8-J.Ross.
Clemson,1Q,3,18,7,2,pass,8,not successful,,0.00,0.00,0.20,,T.Lawrence,T.Thompson,X.McKinney,,1,,16-T.Lawrence complete to 1-T.Thompson. 1-T.Thompson to CLE 21 for 8 yards (15-X.McKinney).
Clemson,1Q,3,19,8,3,pass,62,explosive,,0.20,0.17,0.17,,T.Lawrence,T.Higgins,S.Smith,,1,,16-T.Lawrence complete to 5-T.Higgins. 5-T.Higgins to BAMA 17 for 62 yards (4-S.Smith).
Clemson,1Q,3,20,9,1,run,17,explosive,0.50,,0.29,0.29,T.Etienne,,,,,,, 9-T.Etienne runs 17 yards for a touchdown.
Alabama,1Q,3,23,7,1,run,7,successful,0.67,,0.71,0.43,J.Jacobs,,,J.Skalski,,1,,8-J.Jacobs to BAMA 32 for 7 yards (47-J.Skalski).
Alabama,1Q,3,24,8,2,pass,0,not successful,,0.60,0.63,0.38,,T.Tagovailoa,I.Smith,K.Wallace,,1,,13-T.Tagovailoa complete to 82-I.Smith. 82-I.Smith to BAMA 32 for no gain (12-K.Wallace).
Alabama,1Q,3,25,9,3,pass,15,explosive,,0.67,0.67,0.33,,T.Tagovailoa,D.Smith,A.Terrell,N.Turner,0.5,0.5,"13-T.Tagovailoa complete to 6-D.Smith. 6-D.Smith to BAMA 47 for 15 yards (8-A.Terrell,24-N.Turner)."
Alabama,1Q,3,26,10,1,pass,11,successful,,0.71,0.70,0.30,,T.Tagovailoa,D.Smith,K.Wallace,,1,,13-T.Tagovailoa complete to 6-D.Smith. 6-D.Smith to CLE 42 for 11 yards (12-K.Wallace).
Alabama,1Q,3,27,11,1,pass,21,explosive,,0.75,0.73,0.27,,T.Tagovailoa,I.Smith,K.Wallace,,1,,13-T.Tagovailoa complete to 82-I.Smith. 82-I.Smith to CLE 21 for 21 yards (12-K.Wallace).
Alabama,1Q,3,28,12,1,pass,,not successful,,0.67,0.67,0.25,,T.Tagovailoa,J.Jacobs,,,,,13-T.Tagovailoa incomplete. Intended for 8-J.Jacobs.
Alabama,1Q,3,29,13,2,run,9,successful,0.75,,0.69,0.31,N.Harris,,,,,,,22-N.Harris to CLE 12 for 9 yards.
