team,quarter,drive_team,play_count,play_count_team,down,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Alabama,1Q,1,2,1,1,run,1,not successful,0.00,,0.00,1.00,J.Ford,,,K.Quansah,S.Heyward,0.5,0.5,"27-J.Ford to BAMA 23 for 1 yard (49-K.Quansah,42-S.Heyward)."
Alabama,1Q,1,3,2,2,pass,2,not successful,,0.00,0.00,0.50,,T.Tagovailoa,J.Ford,L.Johnson,V.Dimukeje,0.5,0.5,"13-T.Tagovailoa complete to 27-J.Ford. 27-J.Ford to BAMA 25 for 2 yards (33-L.Johnson,51-V.Dimukeje)."
Alabama,1Q,1,4,3,3,pass,-6,not successful,,0.00,0.00,0.33,,T.Tagovailoa,,K.Quansah,,1,,13-T.Tagovailoa sacked at BAMA 19 for -6 yards (49-K.Quansah).
Duke,1Q,1,6,1,1,run,-1,not successful,0.00,,0.00,1.00,D.Jackson,,,L.Ray,D.Dale,0.5,0.5,"25-D.Jackson to DUK 44 for -1 yard (89-L.Ray,94-D.Dale)."
Duke,1Q,1,7,2,2,run,4,not successful,0.00,,0.00,1.00,D.Jackson,,,A.Jennings,,1,,25-D.Jackson to DUK 48 for 4 yards (33-A.Jennings).
Duke,1Q,1,8,3,3,pass,,not successful,,0.00,0.00,0.67,,Q.Harris,D.Jackson,,,,,18-Q.Harris incomplete. Intended for 25-D.Jackson.
Alabama,1Q,2,10,5,1,run,6,successful,0.50,,0.25,0.50,J.Ford,,,M.Carter,,1,,27-J.Ford to BAMA 23 for 6 yards (26-M.Carter).
Alabama,1Q,2,11,6,2,run,,not successful,0.33,,0.20,0.60,J.Ford,,,D.Singleton,,,,"27-J.Ford to BAMA 26, FUMBLES (16-D.Singleton). 59-T.Hornbuckle to BAMA 26 for no gain."
Duke,1Q,2,12,5,1,run,5,successful,0.33,,0.25,0.75,M.Durant,,,X.McKinney,,1,,21-M.Durant to BAMA 21 for 5 yards (15-X.McKinney).
Duke,1Q,2,13,6,2,run,0,not successful,0.25,,0.20,0.80,Q.Harris,,,L.Ray,,1,,18-Q.Harris to BAMA 21 for no gain (89-L.Ray).
