team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Alabama,1Q,1,2,1,1,Normal,pass,9,successful,,1.00,1.00,0.00,,T.Tagovailoa,D.Smith,J.Ibe,,1,,13-T.Tagovailoa complete to 6-D.Smith. 6-D.Smith to BAMA 44 for 9 yards (29-J.Ibe).
Alabama,1Q,1,3,2,2,Normal,run,12,successful,1.00,,1.00,0.50,N.Harris,,,J.Ibe,,1,,22-N.Harris to SC 44 for 12 yards (29-J.Ibe).
Alabama,1Q,1,4,3,1,Normal,pass,20,explosive,,1.00,1.00,0.33,,T.Tagovailoa,D.Smith,J.Williams,,1,,13-T.Tagovailoa complete to 6-D.Smith. 6-D.Smith to SC 24 for 20 yards (21-J.Williams).
Alabama,1Q,1,5,4,1,Normal,pass,,not successful,,0.67,0.75,0.25,,T.Tagovailoa,D.Smith,,,,,13-T.Tagovailoa incomplete. Intended for 6-D.Smith.
Alabama,1Q,1,6,5,2,Normal,pass,24,explosive,,0.75,0.80,0.20,,T.Tagovailoa,N.Harris,,,,, 13-T.Tagovailoa complete to 22-N.Harris. 22-N.Harris runs 24 yards for a touchdown.
South Carolina,1Q,1,9,1,1,Normal,pass,13,successful,,1.00,1.00,0.00,,R.Hilinski,B.Edwards,E.Smith,,1,,3-R.Hilinski complete to 89-B.Edwards. 89-B.Edwards to SC 27 for 13 yards (25-E.Smith).
South Carolina,1Q,1,10,2,1,Normal,pass,,not successful,,0.50,0.50,0.00,,R.Hilinski,B.Edwards,,,,,3-R.Hilinski incomplete. Intended for 89-B.Edwards.
South Carolina,1Q,1,11,3,2,Normal,pass,5,not successful,,0.33,0.33,0.00,,R.Hilinski,K.Markway,P.Surtain,,1,,3-R.Hilinski complete to 84-K.Markway. 84-K.Markway to SC 32 for 5 yards (2-P.Surtain).
South Carolina,1Q,1,12,4,3,Normal,pass,5,successful,,0.50,0.50,0.00,,R.Hilinski,B.Edwards,P.Surtain,,1,,3-R.Hilinski complete to 89-B.Edwards. 89-B.Edwards to SC 37 for 5 yards (2-P.Surtain).
South Carolina,1Q,1,13,5,3,Normal,pass,4,not successful,,0.40,0.40,0.00,,R.Hilinski,B.Edwards,P.Surtain,,1,,3-R.Hilinski complete to 89-B.Edwards. 89-B.Edwards to SC 36 for 4 yards (2-P.Surtain).
South Carolina,1Q,1,14,6,4,Normal,run,4,successful,1.00,,0.50,0.17,R.Dowdle,,,A.Jennings,,1,,5-R.Dowdle to SC 40 for 4 yards (33-A.Jennings).
South Carolina,1Q,1,15,7,1,Normal,run,4,not successful,0.50,,0.43,0.29,R.Dowdle,,,S.Lee,,1,,5-R.Dowdle pushed ob at SC 44 for 4 yards (35-S.Lee).
South Carolina,1Q,1,16,8,2,Normal,pass,3,not successful,,0.33,0.38,0.25,,R.Hilinski,S.Smith,X.McKinney,,1,,3-R.Hilinski complete to 13-S.Smith. 13-S.Smith to SC 47 for 3 yards (15-X.McKinney).
South Carolina,1Q,1,17,9,3,Normal,no play,5,successful,,,0.44,,,,,,,,,"3-R.Hilinski incomplete. INTERCEPTED by 2-P.Surtain at BAMA 47. 2-P.Surtain to BAMA 47 for no gain. Team penalty on BAMA, 12 men in the huddle, 5 yards, enforced at SC 47. No Play."
South Carolina,1Q,1,18,10,1,Normal,run,7,successful,0.67,,0.50,0.33,T.Feaster,,,R.Davis,S.Carter,0.5,0.5,"4-T.Feaster to BAMA 41 for 7 yards (99-R.Davis,11-S.Carter)."
South Carolina,1Q,1,19,11,2,Normal,pass,6,successful,,0.43,0.55,0.30,,R.Hilinski,N.Muse,C.Harris,,1,,3-R.Hilinski complete to 9-N.Muse. 9-N.Muse to BAMA 35 for 6 yards (8-C.Harris).
South Carolina,1Q,1,20,12,1,Normal,pass,11,successful,,0.50,0.58,0.27,,R.Hilinski,B.Edwards,X.McKinney,S.Lee,0.5,0.5,"3-R.Hilinski complete to 89-B.Edwards. 89-B.Edwards to BAMA 24 for 11 yards (15-X.McKinney,35-S.Lee)."
South Carolina,1Q,1,21,13,1,Normal,pass,,not successful,,0.44,0.54,0.25,,R.Hilinski,J.Vann,,,,,3-R.Hilinski incomplete. Intended for 6-J.Vann.
South Carolina,1Q,1,22,14,2,Normal,run,2,not successful,0.50,,0.50,0.31,T.Feaster,,,R.Davis,,1,,4-T.Feaster to BAMA 22 for 2 yards (99-R.Davis).
South Carolina,1Q,1,23,15,3,Normal,pass,-4,not successful,,0.40,0.47,0.29,,R.Hilinski,,J.Battle,,1,,3-R.Hilinski sacked at BAMA 26 for -4 yards (9-J.Battle).
Alabama,1Q,2,26,6,1,Normal,pass,-4,not successful,,0.60,0.67,0.17,,T.Tagovailoa,,J.Kinlaw,,1,,13-T.Tagovailoa sacked at BAMA 21 for -4 yards (3-J.Kinlaw).
Alabama,1Q,2,27,7,2,Normal,pass,3,not successful,,0.50,0.57,0.14,,T.Tagovailoa,B.Robinson,A.Sterling,,1,,13-T.Tagovailoa complete to 24-B.Robinson. 24-B.Robinson to BAMA 24 for 3 yards (15-A.Sterling).
Alabama,1Q,2,28,8,3,Normal,pass,-8,not successful,,0.43,0.50,0.13,,T.Tagovailoa,,R.Roderick,,1,,13-T.Tagovailoa sacked at BAMA 16 for -8 yards (10-R.Roderick).
South Carolina,1Q,2,30,17,1,Normal,run,3,not successful,0.40,,0.44,0.33,T.Feaster,,,L.Ray,,1,,4-T.Feaster to BAMA 27 for 3 yards (89-L.Ray).
South Carolina,1Q,2,31,18,2,Normal,pass,-6,not successful,,0.36,0.41,0.31,,R.Hilinski,,D.Dale,,1,,3-R.Hilinski sacked at BAMA 33 for -6 yards (94-D.Dale).
South Carolina,1Q,2,32,19,3,Normal,pass,,not successful,,0.33,0.39,0.29,,R.Hilinski,N.Muse,,,,,3-R.Hilinski incomplete. Intended for 9-N.Muse.
South Carolina,1Q,2,33,20,4,Normal,run,-10,successful,0.50,,0.42,0.33,P.White,,,,,,,"43-P.White runs 33 yards for a touchdown. Penalty on SC 84-K.Markway, Holding, 10 yards, enforced at BAMA 30."
Alabama,1Q,3,35,10,1,Normal,pass,8,successful,,0.50,0.56,0.11,,T.Tagovailoa,J.Jeudy,J.Ibe,I.Mukuamu,0.5,0.5,"13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy to BAMA 12 for 8 yards (29-J.Ibe,24-I.Mukuamu)."
Alabama,1Q,3,36,11,2,Normal,run,7,successful,1.00,,0.60,0.20,N.Harris,,,I.Mukuamu,,1,,22-N.Harris to BAMA 19 for 7 yards (24-I.Mukuamu).
Alabama,1Q,3,37,12,1,Normal,pass,0,not successful,,0.44,0.55,0.18,,T.Tagovailoa,N.Harris,K.Enagbare,,1,,13-T.Tagovailoa complete to 22-N.Harris. 22-N.Harris to BAMA 19 for no gain (52-K.Enagbare).
Alabama,1Q,3,38,13,2,Normal,pass,81,explosive,,0.50,0.58,0.17,,T.Tagovailoa,H.Ruggs,,,,, 13-T.Tagovailoa complete to 11-H.Ruggs. 11-H.Ruggs runs 81 yards for a touchdown.
South Carolina,1Q,3,41,22,1,Normal,run,2,not successful,0.43,,0.40,0.37,R.Dowdle,,,L.Ray,D.Dale,0.5,0.5,"5-R.Dowdle to SC 27 for 2 yards (89-L.Ray,94-D.Dale)."
South Carolina,1Q,3,42,23,2,Normal,pass,10,successful,,0.38,0.43,0.35,,R.Hilinski,N.Muse,P.Mathis,,1,,3-R.Hilinski complete to 9-N.Muse. 9-N.Muse to SC 37 for 10 yards (48-P.Mathis).
South Carolina,1Q,3,43,24,1,Normal,pass,27,explosive,,0.43,0.45,0.33,,R.Hilinski,B.Edwards,X.McKinney,,1,,3-R.Hilinski complete to 89-B.Edwards. 89-B.Edwards to BAMA 36 for 27 yards (15-X.McKinney).
South Carolina,1Q,3,44,25,1,Normal,pass,,not successful,,0.40,0.43,0.32,,R.Hilinski,K.Markway,,,,,3-R.Hilinski incomplete. Intended for 84-K.Markway.
South Carolina,1Q,3,45,26,2,Normal,pass,,not successful,,0.38,0.42,0.30,,R.Hilinski,J.Vann,,,,,3-R.Hilinski incomplete. Intended for 6-J.Vann.
South Carolina,1Q,3,47,28,3,Normal,pass,31,explosive,,0.41,0.44,0.29,,R.Hilinski,S.Smith,,,,, 3-R.Hilinski complete to 13-S.Smith. 13-S.Smith runs 31 yards for a touchdown.
Alabama,1Q,4,50,14,1,Normal,pass,,not successful,,0.45,0.54,0.15,,T.Tagovailoa,J.Jeudy,,,,,13-T.Tagovailoa incomplete. Intended for 4-J.Jeudy.
Alabama,1Q,4,51,15,2,Normal,pass,18,explosive,,0.50,0.57,0.14,,T.Tagovailoa,D.Smith,J.Robinson,,1,,13-T.Tagovailoa complete to 6-D.Smith. 6-D.Smith to BAMA 43 for 18 yards (7-J.Robinson).
Alabama,1Q,4,52,16,1,Normal,run,6,successful,1.00,,0.60,0.20,B.Robinson,,,D.Fennell,T.Brunson,0.5,0.5,"24-B.Robinson to BAMA 49 for 6 yards (35-D.Fennell,6-T.Brunson)."
Alabama,2Q,5,54,18,2,Normal,pass,34,explosive,,0.54,0.63,0.19,,T.Tagovailoa,B.Robinson,E.Jones,,1,,13-T.Tagovailoa complete to 24-B.Robinson. 24-B.Robinson pushed ob at SC 22 for 34 yards (53-E.Jones).
Alabama,2Q,5,56,20,1,Normal,pass,,not successful,,0.50,0.59,0.18,,T.Tagovailoa,D.Smith,,,,,13-T.Tagovailoa incomplete. Intended for 6-D.Smith.
Alabama,2Q,5,57,21,2,Normal,pass,18,explosive,,0.53,0.61,0.17,,T.Tagovailoa,D.Smith,D.Wonnum,,1,,13-T.Tagovailoa complete to 6-D.Smith. 6-D.Smith pushed ob at SC 9 for 18 yards (8-D.Wonnum).
Alabama,2Q,5,58,22,1,Red Zone,pass,4,not successful,,0.50,0.58,0.16,,T.Tagovailoa,H.Ruggs,J.Ibe,,1,,13-T.Tagovailoa complete to 11-H.Ruggs. 11-H.Ruggs pushed ob at SC 5 for 4 yards (29-J.Ibe).
Alabama,2Q,5,59,23,2,Red Zone,pass,,not successful,,0.47,0.55,0.15,,T.Tagovailoa,J.Jeudy,,,,,13-T.Tagovailoa incomplete. Intended for 4-J.Jeudy.
Alabama,2Q,5,60,24,3,Red Zone,pass,,not successful,,0.44,0.52,0.14,,T.Tagovailoa,D.Smith,,,,,13-T.Tagovailoa incomplete. Intended for 6-D.Smith.
South Carolina,2Q,4,63,29,1,Normal,pass,,not successful,,0.39,0.42,0.28,,R.Hilinski,B.Edwards,,,,,3-R.Hilinski incomplete. Intended for 89-B.Edwards.
South Carolina,2Q,4,64,30,2,Normal,pass,,not successful,,0.37,0.41,0.27,,R.Hilinski,S.Smith,,,,,3-R.Hilinski incomplete. Intended for 13-S.Smith.
South Carolina,2Q,4,65,31,3,Normal,pass,8,not successful,,0.35,0.39,0.26,,R.Hilinski,K.Markway,X.McKinney,,1,,3-R.Hilinski complete to 84-K.Markway. 84-K.Markway to SC 33 for 8 yards (15-X.McKinney).
Alabama,2Q,6,68,26,1,Normal,pass,-3,not successful,,0.42,0.50,0.14,,T.Tagovailoa,H.Ruggs,S.Greene,,1,,13-T.Tagovailoa complete to 11-H.Ruggs. 11-H.Ruggs to BAMA 32 for -3 yards (44-S.Greene).
Alabama,2Q,6,69,27,2,Normal,pass,5,not successful,,0.40,0.48,0.13,,T.Tagovailoa,H.Ruggs,J.Robinson,,1,,13-T.Tagovailoa complete to 11-H.Ruggs. 11-H.Ruggs to BAMA 37 for 5 yards (7-J.Robinson).
Alabama,2Q,6,70,28,3,Normal,pass,13,successful,,0.43,0.50,0.13,,T.Tagovailoa,D.Smith,I.Mukuamu,,1,,13-T.Tagovailoa complete to 6-D.Smith. 6-D.Smith to BAMA 50 for 13 yards (24-I.Mukuamu).
Alabama,2Q,6,71,29,1,Normal,run,4,not successful,0.75,,0.48,0.16,N.Harris,,,D.Wonnum,A.Sterling,0.5,0.5,"22-N.Harris to SC 46 for 4 yards (8-D.Wonnum,15-A.Sterling)."
Alabama,2Q,6,72,30,2,Normal,run,3,not successful,0.60,,0.46,0.19,N.Harris,,,J.Horn,K.Smith,0.5,0.5,"22-N.Harris to SC 43 for 3 yards (1-J.Horn,95-K.Smith)."
Alabama,2Q,6,73,31,3,Normal,run,1,not successful,0.50,,0.44,0.22,N.Harris,,,R.Roderick,,1,,22-N.Harris to SC 42 for 1 yard (10-R.Roderick).
Alabama,2Q,6,74,32,4,Normal,pass,42,explosive,,0.45,0.46,0.21,,T.Tagovailoa,N.Harris,,,,, 13-T.Tagovailoa complete to 22-N.Harris. 22-N.Harris runs 42 yards for a touchdown.
South Carolina,2Q,5,77,34,1,Normal,pass,6,successful,,0.38,0.41,0.25,,R.Hilinski,N.Muse,J.Mayden,,1,,3-R.Hilinski complete to 9-N.Muse. 9-N.Muse to SC 31 for 6 yards (21-J.Mayden).
South Carolina,2Q,5,78,35,2,Normal,run,0,not successful,0.38,,0.40,0.28,R.Dowdle,,,R.Davis,,1,,5-R.Dowdle to SC 31 for no gain (99-R.Davis).
South Carolina,2Q,5,79,36,3,Normal,pass,-1,not successful,,0.36,0.39,0.27,,R.Hilinski,N.Muse,X.McKinney,,1,,3-R.Hilinski complete to 9-N.Muse. 9-N.Muse to SC 30 for -1 yard (15-X.McKinney).
South Carolina,2Q,5,80,37,4,Normal,run,2,not successful,0.33,,0.38,0.29,S.Smith,,,S.Bolden,,1,,13-S.Smith to SC 32 for 2 yards (18-S.Bolden).
Alabama,2Q,7,81,33,1,Normal,pass,12,successful,,0.48,0.48,0.21,,T.Tagovailoa,J.Jeudy,,,,,"13-T.Tagovailoa incomplete. Intended for 4-J.Jeudy. Penalty on SC 1-J.Horn, Pass interference, 12 yards, enforced at SC 32. No Play."
Alabama,2Q,7,83,35,1,Normal,run,5,not successful,0.43,,0.47,0.23,J.Waddle,,,J.Robinson,,1,,17-J.Waddle to SC 30 for 5 yards (7-J.Robinson).
Alabama,2Q,7,84,36,2,Normal,pass,,not successful,,0.46,0.45,0.23,,T.Tagovailoa,M.Tennison,,,,,13-T.Tagovailoa incomplete. Intended for 88-M.Tennison.
Alabama,2Q,7,85,37,3,Normal,pass,10,not successful,,0.44,0.44,0.22,,T.Tagovailoa,N.Harris,J.Kinlaw,E.Jones,0.5,0.5,"13-T.Tagovailoa complete to 22-N.Harris. 22-N.Harris to SC 20 for 10 yards (3-J.Kinlaw,53-E.Jones)."
South Carolina,2Q,6,87,38,1,Normal,no play,15,successful,,,0.39,,,,,,,,,"3-R.Hilinski incomplete. Intended for 89-B.Edwards. Team penalty on BAMA, Offside, declined. Penalty on BAMA 89-L.Ray, Roughing the passer, 15 yards, enforced at SC 20. No Play."
South Carolina,2Q,6,89,40,1,Normal,pass,3,not successful,,0.35,0.38,0.28,,R.Hilinski,J.Vann,S.Carter,,1,,3-R.Hilinski complete to 6-J.Vann. 6-J.Vann to SC 33 for 3 yards (5-S.Carter).
South Carolina,2Q,6,91,42,2,Normal,run,3,not successful,0.30,,0.37,0.30,T.Feaster,,,R.Davis,C.Harris,0.5,0.5,"4-T.Feaster to SC 41 for 3 yards (99-R.Davis,8-C.Harris)."
South Carolina,2Q,6,92,43,3,Normal,pass,5,successful,,0.38,0.39,0.29,,R.Hilinski,B.Edwards,T.Diggs,,1,,3-R.Hilinski complete to 89-B.Edwards. 89-B.Edwards to SC 46 for 5 yards (7-T.Diggs).
South Carolina,2Q,6,93,44,1,Normal,pass,10,successful,,0.40,0.41,0.29,,R.Hilinski,B.Edwards,X.McKinney,,1,,3-R.Hilinski complete to 89-B.Edwards. 89-B.Edwards to BAMA 44 for 10 yards (15-X.McKinney).
South Carolina,2Q,6,94,45,1,Normal,run,6,successful,0.36,,0.42,0.31,T.Feaster,,,D.Dale,S.Lee,0.5,0.5,"4-T.Feaster to BAMA 38 for 6 yards (94-D.Dale,35-S.Lee)."
South Carolina,2Q,6,95,46,2,Normal,pass,,not successful,,0.38,0.41,0.30,,R.Hilinski,S.Smith,,,,,3-R.Hilinski incomplete. Intended for 13-S.Smith.
South Carolina,2Q,6,96,47,3,Normal,pass,10,successful,,0.41,0.43,0.29,,R.Hilinski,O.Smith,P.Surtain,,1,,3-R.Hilinski complete to 18-O.Smith. 18-O.Smith to BAMA 28 for 10 yards (2-P.Surtain).
South Carolina,2Q,6,97,48,1,Normal,pass,11,successful,,0.43,0.44,0.28,,R.Hilinski,R.Dowdle,P.Surtain,,1,,3-R.Hilinski complete to 5-R.Dowdle. 5-R.Dowdle to BAMA 17 for 11 yards (2-P.Surtain).
South Carolina,2Q,6,98,49,1,Red Zone,pass,13,successful,,0.45,0.45,0.28,,R.Hilinski,K.Markway,C.Harris,,1,,3-R.Hilinski complete to 84-K.Markway. 84-K.Markway to BAMA 4 for 13 yards (8-C.Harris).
South Carolina,2Q,6,99,50,1,Red Zone,run,3,successful,0.42,,0.47,0.29,R.Dowdle,,,C.Harris,,1,,5-R.Dowdle to BAMA 1 for 3 yards (8-C.Harris).
South Carolina,2Q,6,100,51,2,Red Zone,pass,,not successful,,0.43,0.45,0.29,,R.Hilinski,K.Markway,,,,,3-R.Hilinski incomplete. Intended for 84-K.Markway.
South Carolina,2Q,6,101,52,3,Red Zone,run,0,not successful,0.38,,0.44,0.30,R.Hilinski,,,,,,,"3-R.Hilinski to BAMA 3, FUMBLES. 3-R.Hilinski to BAMA 3 for no gain."
South Carolina,2Q,6,102,53,4,Red Zone,pass,,not successful,,0.42,0.43,0.30,,R.Hilinski,J.Vann,,,,,3-R.Hilinski incomplete. Intended for 6-J.Vann.
South Carolina,3Q,7,104,54,1,Normal,run,22,explosive,0.43,,0.45,0.31,R.Dowdle,,,A.Jennings,,1,,5-R.Dowdle to SC 41 for 22 yards (33-A.Jennings).
South Carolina,3Q,7,105,55,1,Normal,pass,9,successful,,0.44,0.46,0.30,,R.Hilinski,K.Markway,T.Diggs,M.Jones,0.5,0.5,"3-R.Hilinski complete to 84-K.Markway. 84-K.Markway to BAMA 50 for 9 yards (7-T.Diggs,10-M.Jones). Team penalty on BAMA, 12 players, declined."
South Carolina,3Q,7,106,56,2,Normal,pass,10,successful,,0.45,0.47,0.30,,R.Hilinski,B.Edwards,S.Carter,,1,,3-R.Hilinski complete to 89-B.Edwards. 89-B.Edwards to BAMA 40 for 10 yards (5-S.Carter).
South Carolina,3Q,7,107,57,1,Normal,run,9,successful,0.47,,0.48,0.31,R.Dowdle,,,T.Diggs,A.Kaho,0.5,0.5,"5-R.Dowdle to BAMA 31 for 9 yards (7-T.Diggs,10-A.Kaho)."
South Carolina,3Q,7,108,58,2,Normal,pass,0,not successful,,0.44,0.47,0.31,,R.Hilinski,R.Dowdle,P.Surtain,,1,,3-R.Hilinski complete to 5-R.Dowdle. 5-R.Dowdle to BAMA 31 for no gain (2-P.Surtain).
South Carolina,3Q,7,109,59,3,Normal,run,2,successful,0.50,,0.48,0.32,R.Hilinski,,,P.Mathis,,1,,3-R.Hilinski to BAMA 29 for 2 yards (48-P.Mathis).
South Carolina,3Q,7,110,60,1,Normal,pass,20,explosive,,0.46,0.49,0.31,,R.Hilinski,S.Smith,X.McKinney,,1,,3-R.Hilinski complete to 13-S.Smith. 13-S.Smith to BAMA 9 for 20 yards (15-X.McKinney).
South Carolina,3Q,7,111,61,1,Red Zone,pass,4,not successful,,0.44,0.48,0.31,,R.Hilinski,O.Smith,S.Lee,P.Surtain,0.5,0.5,"3-R.Hilinski complete to 18-O.Smith. 18-O.Smith to BAMA 5 for 4 yards (35-S.Lee,2-P.Surtain)."
South Carolina,3Q,7,112,62,2,Red Zone,pass,-5,not successful,,0.43,0.47,0.30,,R.Hilinski,B.Edwards,T.Lewis,,1,,3-R.Hilinski complete to 89-B.Edwards. 89-B.Edwards to BAMA 10 for -5 yards (24-T.Lewis).
South Carolina,3Q,7,113,63,3,Red Zone,pass,,not successful,,0.42,0.46,0.30,,R.Hilinski,T.Feaster,,,,,3-R.Hilinski incomplete. Intended for 4-T.Feaster.
Alabama,3Q,8,116,39,1,Normal,pass,,not successful,,0.42,0.42,0.21,,T.Tagovailoa,D.Smith,,,,,13-T.Tagovailoa incomplete. Intended for 6-D.Smith.
Alabama,3Q,8,117,40,2,Normal,pass,5,not successful,,0.41,0.41,0.21,,T.Tagovailoa,D.Smith,J.Robinson,,1,,13-T.Tagovailoa complete to 6-D.Smith. 6-D.Smith to BAMA 30 for 5 yards (7-J.Robinson).
Alabama,3Q,8,118,41,3,Normal,pass,17,explosive,,0.43,0.43,0.20,,T.Tagovailoa,H.Ruggs,T.Brunson,,1,,13-T.Tagovailoa complete to 11-H.Ruggs. 11-H.Ruggs to BAMA 47 for 17 yards (6-T.Brunson).
Alabama,3Q,8,119,42,1,Normal,run,11,successful,0.50,,0.44,0.22,N.Harris,,,J.Williams,E.Jones,0.5,0.5,"22-N.Harris to SC 42 for 11 yards (21-J.Williams,53-E.Jones)."
Alabama,3Q,8,120,43,1,Normal,pass,42,explosive,,0.45,0.46,0.22,,T.Tagovailoa,D.Smith,,,,, 13-T.Tagovailoa complete to 6-D.Smith. 6-D.Smith runs 42 yards for a touchdown.
South Carolina,3Q,8,123,65,1,Normal,pass,,not successful,,0.41,0.46,0.29,,R.Hilinski,J.Vann,,,,,3-R.Hilinski incomplete. Intended for 6-J.Vann.
South Carolina,3Q,8,124,66,2,Normal,run,5,not successful,0.47,,0.45,0.30,T.Feaster,,,S.Lee,A.Jennings,0.5,0.5,"4-T.Feaster to SC 19 for 5 yards (35-S.Lee,33-A.Jennings)."
South Carolina,3Q,8,125,67,3,Normal,pass,18,explosive,,0.43,0.46,0.30,,R.Hilinski,S.Smith,S.Carter,,1,,3-R.Hilinski complete to 13-S.Smith. 13-S.Smith to SC 37 for 18 yards (5-S.Carter).
South Carolina,3Q,8,126,68,1,Normal,pass,,not successful,,0.41,0.45,0.29,,R.Hilinski,D.Joyner,,,,,3-R.Hilinski incomplete. Intended for 7-D.Joyner.
South Carolina,3Q,8,127,69,2,Normal,run,7,successful,0.50,,0.46,0.31,R.Dowdle,,,P.Mathis,,1,,5-R.Dowdle to SC 44 for 7 yards (48-P.Mathis).
