team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
,1Q,,,,,,,,3,,,,,,,,,,,,
Alabama,1Q,1,2,1,1,Normal,pass,8,successful,,1.00,1.00,0.00,,T.Tagovailoa,J.Jeudy,J.Julius,,1,,13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy to BAMA 18 for 8 yards (26-J.Julius).
Alabama,1Q,1,3,2,2,Normal,run,8,successful,1.00,,1.00,0.50,N.Harris,,,A.Linton,,1,,22-N.Harris to BAMA 26 for 8 yards (29-A.Linton).
Alabama,1Q,1,4,3,1,Normal,pass,,not successful,,0.50,0.67,0.33,,T.Tagovailoa,M.Forristall,,,,,13-T.Tagovailoa incomplete. Intended for 87-M.Forristall.
Alabama,1Q,1,5,4,2,Normal,pass,74,explosive,,0.67,0.75,0.25,,T.Tagovailoa,D.Smith,,,,, 13-T.Tagovailoa complete to 6-D.Smith. 6-D.Smith runs 74 yards for a touchdown.
Mississippi,1Q,1,8,1,1,Normal,run,2,not successful,0.00,,0.00,1.00,S.Phillips,,,C.Harris,A.Jennings,0.5,0.5,"22-S.Phillips to MIS 17 for 2 yards (8-C.Harris,33-A.Jennings)."
Mississippi,1Q,1,9,2,2,Normal,run,5,not successful,0.00,,0.00,1.00,J.Plumlee,,,X.McKinney,,1,,10-J.Plumlee to MIS 22 for 5 yards (15-X.McKinney).
Mississippi,1Q,1,10,3,3,Normal,pass,,not successful,,0.00,0.00,0.67,,J.Plumlee,D.Drummond,,,,,10-J.Plumlee incomplete. Intended for 11-D.Drummond.
Mississippi,1Q,1,12,5,4,Normal,punt,,successful,,,0.25,,,,,,,,,"96-M.Brown punts 42 yards from MIS 22. 17-J.Waddle to BAMA 35, FUMBLES. 21-A.Finley to BAMA 30 for no gain."
Mississippi,1Q,1,13,6,1,Normal,run,13,successful,0.33,,0.40,0.75,J.Plumlee,,,,,,,10-J.Plumlee runs ob at BAMA 17 for 13 yards.
Mississippi,1Q,1,14,7,1,Red Zone,run,6,successful,0.50,,0.50,0.80,J.Plumlee,,,T.Lewis,,1,,10-J.Plumlee to BAMA 11 for 6 yards (24-T.Lewis).
Mississippi,1Q,1,15,8,2,Red Zone,run,2,not successful,0.40,,0.43,0.83,S.Phillips,,,B.Young,J.Battle,0.5,0.5,"22-S.Phillips to BAMA 9 for 2 yards (47-B.Young,9-J.Battle)."
Mississippi,1Q,1,16,9,3,Red Zone,run,4,successful,0.50,,0.50,0.86,J.Plumlee,,,R.Davis,B.Young,0.5,0.5,"10-J.Plumlee to BAMA 5 for 4 yards (99-R.Davis,47-B.Young)."
Mississippi,1Q,1,17,10,1,Red Zone,run,3,successful,0.57,,0.56,0.88,S.Phillips,,,R.Davis,S.Lee,0.5,0.5,"22-S.Phillips to BAMA 2 for 3 yards (99-R.Davis,35-S.Lee)."
Mississippi,1Q,1,18,11,2,Red Zone,run,1,not successful,0.50,,0.50,0.89,S.Phillips,,,R.Davis,A.Jennings,0.5,0.5,"22-S.Phillips to BAMA 1 for 1 yard (99-R.Davis,33-A.Jennings)."
Mississippi,1Q,1,19,12,3,Red Zone,run,1,successful,0.56,,0.55,0.90,J.Plumlee,,,,,,, 10-J.Plumlee runs 1 yard for a touchdown.
Alabama,1Q,2,22,5,1,Normal,pass,15,successful,,0.75,0.80,0.20,,T.Tagovailoa,J.Jeudy,,,,,"13-T.Tagovailoa incomplete. Intended for 4-J.Jeudy. Penalty on MIS 26-J.Julius, Pass interference, 15 yards, enforced at BAMA 30. No Play."
Alabama,1Q,2,23,6,1,Normal,run,5,successful,1.00,,0.83,0.33,N.Harris,,,J.Haynes,,1,,22-N.Harris to MIS 50 for 5 yards (5-J.Haynes).
Alabama,1Q,2,24,7,2,Normal,run,2,not successful,0.67,,0.71,0.43,N.Harris,,,Q.Sheppard,A.Robinson,0.5,0.5,"22-N.Harris to MIS 48 for 2 yards (97-Q.Sheppard,38-A.Robinson)."
Alabama,1Q,2,25,8,3,Normal,pass,11,successful,,0.80,0.75,0.38,,T.Tagovailoa,H.Ruggs,D.Prince,,1,,13-T.Tagovailoa complete to 11-H.Ruggs. 11-H.Ruggs to MIS 37 for 11 yards (24-D.Prince).
Alabama,1Q,2,26,9,1,Normal,pass,-6,not successful,,0.67,0.67,0.33,,T.Tagovailoa,,B.Jones,,1,,13-T.Tagovailoa sacked at MIS 43 for -6 yards (95-B.Jones).
