team,quarter,drive_team,play_count,play_count_team,down,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
North Carolina,1Q,1,2,1,1,run,8,successful,1.00,,1.00,1.00,M.Carter,,,J.Skalski,T.Muse,0.5,0.5,"8-M.Carter to NC 33 for 8 yards (47-J.Skalski,19-T.Muse)."
North Carolina,1Q,1,3,2,2,run,1,not successful,0.50,,0.50,1.00,M.Carter,,,L.Rudolph,,1,,8-M.Carter to NC 34 for 1 yard (34-L.Rudolph).
North Carolina,1Q,1,4,3,3,pass,26,explosive,,1.00,0.67,0.67,,S.Howell,J.Williams,T.Muse,,1,,7-S.Howell complete to 25-J.Williams. 25-J.Williams to CLE 40 for 26 yards (19-T.Muse).
North Carolina,1Q,1,5,4,1,pass,40,explosive,,1.00,0.75,0.50,,S.Howell,D.Brown,,,,, 7-S.Howell complete to 2-D.Brown. 2-D.Brown runs 40 yards for a touchdown.
Clemson,1Q,1,8,1,1,pass,2,not successful,,0.00,0.00,0.00,,T.Lawrence,A.Rodgers,S.Duck,,1,,16-T.Lawrence complete to 3-A.Rodgers. 3-A.Rodgers to CLE 40 for 2 yards (29-S.Duck).
Clemson,1Q,1,9,2,2,run,6,successful,1.00,,0.50,0.50,T.Etienne,,,C.Surratt,,1,,9-T.Etienne to CLE 46 for 6 yards (21-C.Surratt).
Clemson,1Q,1,10,3,3,run,10,successful,1.00,,0.67,0.67,T.Lawrence,,,C.Kelly,,1,,16-T.Lawrence to NC 44 for 10 yards (9-C.Kelly).
Clemson,1Q,1,11,4,1,pass,14,successful,,0.50,0.75,0.50,,T.Lawrence,J.Ross,,,,,16-T.Lawrence complete to 8-J.Ross. 8-J.Ross to NC 30 for 14 yards.
Clemson,1Q,1,12,5,1,pass,2,not successful,,0.33,0.60,0.40,,T.Lawrence,J.Ross,T.Morrison,,1,,16-T.Lawrence complete to 8-J.Ross. 8-J.Ross to NC 28 for 2 yards (4-T.Morrison).
Clemson,1Q,1,13,6,2,run,6,successful,1.00,,0.67,0.50,T.Lawrence,,,C.Kelly,,1,,16-T.Lawrence to NC 22 for 6 yards (9-C.Kelly).
Clemson,1Q,1,14,7,3,pass,0,not successful,,0.25,0.57,0.43,,T.Lawrence,A.Rodgers,D.Ross,,1,,16-T.Lawrence complete to 3-A.Rodgers. 3-A.Rodgers to NC 22 for no gain (3-D.Ross).
North Carolina,1Q,2,16,5,1,run,4,not successful,0.33,,0.60,0.60,S.Howell,,,J.Skalski,,1,,7-S.Howell to NC 27 for 4 yards (47-J.Skalski).
North Carolina,1Q,2,17,6,2,pass,,not successful,,0.67,0.50,0.50,,S.Howell,B.Corrales,,,,,7-S.Howell incomplete. Intended for 15-B.Corrales.
North Carolina,1Q,2,18,7,3,pass,-3,not successful,,0.50,0.43,0.43,,S.Howell,M.Carter,J.Skalski,,1,,7-S.Howell complete to 8-M.Carter. 8-M.Carter to NC 24 for -3 yards (47-J.Skalski).
Clemson,1Q,2,20,9,1,run,2,not successful,0.75,,0.50,0.50,T.Etienne,,,J.Strowbridge,C.Surratt,0.5,0.5,"9-T.Etienne to CLE 35 for 2 yards (55-J.Strowbridge,21-C.Surratt)."
Clemson,1Q,2,21,10,2,pass,,not successful,,0.20,0.44,0.44,,T.Lawrence,J.Ross,,,,,16-T.Lawrence incomplete. Intended for 8-J.Ross.
Clemson,1Q,2,22,11,3,pass,,not successful,,0.17,0.40,0.40,,T.Lawrence,J.Chalk,,,,,16-T.Lawrence incomplete. Intended for 25-J.Chalk.
North Carolina,1Q,3,24,9,1,run,4,not successful,0.25,,0.38,0.50,J.Williams,,,J.Williams,,1,,25-J.Williams to NC 28 for 4 yards (59-J.Williams).
North Carolina,1Q,3,25,10,2,pass,,not successful,,0.40,0.33,0.44,,S.Howell,B.Corrales,,,,,7-S.Howell incomplete. Intended for 15-B.Corrales.
North Carolina,1Q,3,26,11,3,pass,9,successful,,0.50,0.40,0.40,,S.Howell,J.Williams,J.Phillips,,1,,7-S.Howell complete to 25-J.Williams. 25-J.Williams to NC 37 for 9 yards (25-J.Phillips).
North Carolina,1Q,3,27,12,1,pass,11,successful,,0.57,0.45,0.36,,S.Howell,D.Brown,C.Smith,,1,,7-S.Howell complete to 2-D.Brown. 2-D.Brown to NC 48 for 11 yards (43-C.Smith).
North Carolina,1Q,3,28,13,1,run,3,not successful,0.20,,0.42,0.42,J.Williams,,,K.Wallace,X.Thomas,0.5,0.5,"25-J.Williams to CLE 49 for 3 yards (12-K.Wallace,3-X.Thomas)."
North Carolina,1Q,3,29,14,2,pass,6,successful,,0.63,0.46,0.38,,S.Howell,D.Newsome,I.Simmons,,1,,7-S.Howell complete to 5-D.Newsome. 5-D.Newsome to CLE 43 for 6 yards (11-I.Simmons).
North Carolina,1Q,3,30,15,3,run,1,successful,0.33,,0.50,0.43,A.Williams,,,I.Simmons,T.Davis,0.5,0.5,"24-A.Williams to CLE 42 for 1 yard (11-I.Simmons,13-T.Davis)."
North Carolina,1Q,3,31,16,1,pass,,not successful,,0.56,0.47,0.40,,S.Howell,D.Newsome,,,,,7-S.Howell incomplete. Intended for 5-D.Newsome.
North Carolina,1Q,3,32,17,2,pass,-4,not successful,,0.50,0.44,0.38,,S.Howell,M.Carter,I.Simmons,,1,,7-S.Howell complete to 8-M.Carter. 8-M.Carter to CLE 46 for -4 yards (11-I.Simmons).
North Carolina,1Q,3,33,18,3,pass,,not successful,,0.45,0.41,0.35,,S.Howell,C.Tucker,,,,,7-S.Howell incomplete. Intended for 86-C.Tucker.
Clemson,1Q,3,36,14,1,run,0,not successful,0.60,,0.36,0.45,T.Etienne,,,J.Gemmel,,1,,9-T.Etienne to CLE 6 for no gain (44-J.Gemmel).
Clemson,1Q,3,37,15,2,pass,16,explosive,,0.29,0.42,0.42,,T.Lawrence,T.Higgins,,,,,16-T.Lawrence complete to 5-T.Higgins. 5-T.Higgins to CLE 22 for 16 yards.
Clemson,1Q,3,38,16,1,run,4,not successful,0.50,,0.38,0.46,L.Dixon,,,D.Ross,T.Hopper,0.5,0.5,"23-L.Dixon to CLE 26 for 4 yards (3-D.Ross,42-T.Hopper)."
Clemson,1Q,3,39,17,2,run,2,not successful,0.43,,0.36,0.50,L.Dixon,,,J.Strowbridge,T.Hopper,0.5,0.5,"23-L.Dixon to CLE 28 for 2 yards (55-J.Strowbridge,42-T.Hopper)."
