team,quarter,drive_team,play_count,play_count_team,down,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Auburn,1Q,1,2,1,1,pass,,not successful,,0.00,0.00,0.00,,B.Nix,J.Whitlow,,,,,10-B.Nix incomplete. Intended for 28-J.Whitlow.
Auburn,1Q,1,3,2,2,run,1,not successful,0.00,,0.00,0.50,J.Whitlow,,,A.Burney,J.Greenard,0.5,0.5,"28-J.Whitlow to AUB 26 for 1 yard (30-A.Burney,58-J.Greenard)."
Auburn,1Q,1,4,3,3,pass,,not successful,,0.00,0.00,0.33,,B.Nix,S.Williams,,,,,10-B.Nix incomplete. Intended for 18-S.Williams.
Florida,1Q,1,6,1,1,run,0,not successful,0.00,,0.00,1.00,L.Perine,,,D.Brown,,1,,2-L.Perine to FLA 36 for no gain (5-D.Brown).
Florida,1Q,1,7,2,2,pass,64,explosive,,1.00,0.50,0.50,,K.Trask,F.Swain,,,,, 11-K.Trask complete to 16-F.Swain. 16-F.Swain runs 64 yards for a touchdown.
Auburn,1Q,2,10,5,1,pass,,not successful,,0.00,0.00,0.25,,B.Nix,E.Stove,,,,,10-B.Nix incomplete. Intended for 12-E.Stove.
Auburn,1Q,2,11,6,2,run,9,successful,0.50,,0.20,0.40,B.Nix,,,L.Perine,,1,,10-B.Nix scrambles to AUB 35 for 9 yards (2-L.Perine).
Auburn,1Q,2,12,7,3,run,0,not successful,0.33,,0.17,0.50,J.Whitlow,,,A.Shuler,D.Reese II,0.5,0.5,"28-J.Whitlow to AUB 35 for no gain (88-A.Shuler,33-D.Reese II)."
Florida,1Q,2,14,3,1,pass,4,not successful,,0.50,0.33,0.33,,K.Trask,K.Pitts,J.Dinson,,1,,11-K.Trask complete to 84-K.Pitts. 84-K.Pitts to FLA 27 for 4 yards (20-J.Dinson).
Florida,1Q,2,15,4,2,pass,,not successful,,0.33,0.25,0.25,,K.Trask,J.Copeland,,,,,11-K.Trask incomplete. Intended for 15-J.Copeland.
Florida,1Q,2,16,5,3,pass,10,successful,,0.50,0.40,0.20,,K.Trask,L.Perine,O.Pappoe,,1,,11-K.Trask complete to 2-L.Perine. 2-L.Perine pushed ob at FLA 37 for 10 yards (10-O.Pappoe).
Florida,1Q,2,17,6,1,pass,-1,not successful,,0.40,0.33,0.17,,K.Trask,L.Perine,Z.McClain,,1,,11-K.Trask complete to 2-L.Perine. 2-L.Perine to FLA 36 for -1 yard (35-Z.McClain).
Florida,1Q,2,18,7,2,pass,26,explosive,,0.50,0.43,0.14,,K.Trask,F.Swain,C.Tutt,,1,,11-K.Trask complete to 16-F.Swain. 16-F.Swain to AUB 38 for 26 yards (6-C.Tutt).
Florida,1Q,2,20,9,1,pass,,not successful,,0.43,0.38,0.13,,K.Trask,,C.Tutt,,,,"11-K.Trask sacked at FLA 39 for -13 yards, FUMBLES (6-C.Tutt). 31-C.Wooten to FLA 39 for no gain."
Auburn,1Q,3,21,9,1,pass,,not successful,,0.00,0.14,0.43,,B.Nix,J.Whitlow,,,,,10-B.Nix incomplete. Intended for 28-J.Whitlow.
Auburn,1Q,3,22,10,2,run,-1,not successful,0.25,,0.13,0.50,B.Nix,,,D.Stiner,,1,,10-B.Nix to FLA 40 for -1 yard (13-D.Stiner).
Auburn,1Q,3,23,11,3,pass,10,not successful,,0.00,0.11,0.44,,B.Nix,E.Stove,D.Stiner,Z.Carter,0.5,0.5,"10-B.Nix complete to 12-E.Stove. 12-E.Stove to FLA 30 for 10 yards (13-D.Stiner,17-Z.Carter)."
Florida,1Q,3,26,10,1,pass,1,not successful,,0.38,0.33,0.11,,K.Trask,T.Cleveland,R.McCreary,,1,,11-K.Trask complete to 89-T.Cleveland. 89-T.Cleveland to FLA 26 for 1 yard (23-R.McCreary).
Florida,1Q,3,27,11,2,pass,,not successful,,0.33,0.30,0.10,,K.Trask,J.Hammond,,,,,11-K.Trask incomplete. Intended for 10-J.Hammond.
Florida,1Q,3,28,12,3,pass,15,successful,,0.40,0.36,0.09,,K.Trask,K.Pitts,,,,,"11-K.Trask incomplete. Intended for 84-K.Pitts. Penalty on AUB 21-S.Monday, Pass interference, 15 yards, enforced at FLA 26. No Play."
Florida,1Q,3,29,13,1,run,,not successful,0.00,,0.33,0.17,D.Pierce,,,K.Britt,,,,"27-D.Pierce to FLA 44, FUMBLES (33-K.Britt). 94-T.Truesdell to FLA 44 for no gain."
Auburn,1Q,4,30,13,1,run,3,not successful,0.20,,0.10,0.50,K.Martin,,,T.Slaton,,1,,9-K.Martin to FLA 41 for 3 yards (56-T.Slaton).
Auburn,1Q,4,31,14,2,pass,,not successful,,0.00,0.09,0.45,,B.Nix,A.Schwartz,,,,,10-B.Nix incomplete. Intended for 5-A.Schwartz.
Auburn,1Q,4,32,15,3,pass,13,successful,,0.14,0.17,0.42,,B.Nix,W.Hastings,D.Reese,,1,,10-B.Nix complete to 33-W.Hastings. 33-W.Hastings to FLA 28 for 13 yards (4-D.Reese).
Auburn,1Q,4,33,16,1,run,6,successful,0.33,,0.23,0.46,K.Martin,,,D.Reese,J.Greenard,0.5,0.5,"9-K.Martin to FLA 22 for 6 yards (4-D.Reese,58-J.Greenard)."
Auburn,1Q,4,34,17,2,run,1,not successful,0.29,,0.21,0.50,K.Martin,,,K.Campbell,J.Moon,0.5,0.5,"9-K.Martin to FLA 21 for 1 yard (55-K.Campbell,7-J.Moon)."
Auburn,1Q,4,35,18,3,run,0,not successful,0.25,,0.20,0.53,J.Whitlow,,,J.Taylor,D.Reese II,0.5,0.5,"28-J.Whitlow to FLA 21 for no gain (29-J.Taylor,33-D.Reese II)."
Florida,1Q,4,38,14,1,pass,,not successful,,0.36,0.31,0.15,,K.Trask,V.Jefferson,,,,,11-K.Trask incomplete. Intended for 12-V.Jefferson.
Florida,1Q,4,39,15,2,pass,3,not successful,,0.33,0.29,0.14,,K.Trask,L.Perine,R.McCreary,,1,,11-K.Trask complete to 2-L.Perine. 2-L.Perine to FLA 28 for 3 yards (23-R.McCreary).
Florida,1Q,4,40,16,3,pass,3,not successful,,0.31,0.27,0.13,,K.Trask,L.Perine,O.Pappoe,J.Davis,0.5,0.5,"11-K.Trask complete to 2-L.Perine. 2-L.Perine to FLA 31 for 3 yards (10-O.Pappoe,13-J.Davis)."
Florida,1Q,4,42,18,1,run,3,not successful,0.00,,0.25,0.19,E.Jones,,,J.Dinson,M.McClain,0.5,0.5,"5-E.Jones to AUB 14 for 3 yards (20-J.Dinson,17-M.McClain)."
Florida,1Q,4,43,19,2,pass,0,not successful,,0.29,0.24,0.18,,E.Jones,K.Pitts,J.Dinson,,1,,5-E.Jones complete to 84-K.Pitts. 84-K.Pitts to AUB 14 for no gain (20-J.Dinson).
Florida,1Q,4,44,20,3,pass,-9,not successful,,0.27,0.22,0.17,,K.Trask,,K.Britt,,1,,"11-K.Trask sacked at AUB 23 for -9 yards, FUMBLES (33-K.Britt). 5-D.Brown to FLA 35 for 42 yards."
Auburn,2Q,5,45,20,1,run,-4,not successful,0.22,,0.19,0.56,A.Schwartz,,,J.Houston,,1,,5-A.Schwartz to FLA 39 for -4 yards (41-J.Houston).
Auburn,2Q,5,46,21,2,pass,-15,not successful,,0.13,0.18,0.53,,B.Nix,,E.Stove,,,,"10-B.Nix incomplete. INTERCEPTED by 31-S.Davis at FLA 26. 31-S.Davis to AUB 33 for 41 yards (12-E.Stove). Penalty on AUB 71-J.Driscoll, Personal Foul, 15 yards, enforced at AUB 33."
Florida,2Q,5,48,22,1,run,10,successful,0.25,,0.26,0.21,L.Perine,,,C.Wooten,,1,,2-L.Perine to AUB 13 for 10 yards (31-C.Wooten).
Florida,2Q,5,49,23,2,pass,13,successful,,0.31,0.30,0.20,,K.Trask,J.Hammond,,,,, 11-K.Trask complete to 10-J.Hammond. 10-J.Hammond runs 13 yards for a touchdown.
Auburn,2Q,6,52,22,1,pass,4,not successful,,0.11,0.17,0.50,,B.Nix,E.Stove,M.Wilson,,1,,10-B.Nix complete to 12-E.Stove. 12-E.Stove to AUB 29 for 4 yards (3-M.Wilson).
Auburn,2Q,6,53,23,2,run,4,not successful,0.20,,0.16,0.53,J.Whitlow,,,A.Burney,D.Reese,0.5,0.5,"28-J.Whitlow to AUB 33 for 4 yards (30-A.Burney,4-D.Reese)."
Auburn,2Q,6,54,24,3,run,1,not successful,0.18,,0.15,0.55,J.Whitlow,,,M.Diabate,L.Ancrum,0.5,0.5,"28-J.Whitlow to AUB 34 for 1 yard (11-M.Diabate,98-L.Ancrum)."
Florida,2Q,6,56,24,1,pass,,not successful,,0.29,0.29,0.19,,K.Trask,F.Swain,,,,,11-K.Trask incomplete. Intended for 16-F.Swain.
Florida,2Q,6,57,25,2,pass,7,successful,,0.33,0.32,0.18,,K.Trask,K.Pitts,S.Monday,K.Britt,0.5,0.5,"11-K.Trask complete to 84-K.Pitts. 84-K.Pitts to FLA 34 for 7 yards (21-S.Monday,33-K.Britt)."
Florida,2Q,6,58,26,3,pass,9,successful,,0.37,0.35,0.17,,K.Trask,K.Pitts,J.Davis,,1,,11-K.Trask complete to 84-K.Pitts. 84-K.Pitts to FLA 43 for 9 yards (13-J.Davis).
Florida,2Q,6,59,27,3,pass,,not successful,,0.35,0.33,0.17,,K.Trask,K.Pitts,,,,,11-K.Trask incomplete. Intended for 84-K.Pitts.
Florida,2Q,6,60,28,4,run,-1,not successful,0.20,,0.32,0.20,T.Townsend,,,C.Wooten,,1,,43-T.Townsend to FLA 33 for -1 yard (31-C.Wooten).
Auburn,2Q,7,61,26,1,pass,32,explosive,,0.20,0.19,0.52,,B.Nix,S.Williams,,,,, 10-B.Nix complete to 18-S.Williams. 18-S.Williams runs 32 yards for a touchdown.
Florida,2Q,7,64,29,1,pass,,not successful,,0.33,0.31,0.19,,K.Trask,J.Hammond,,,,,11-K.Trask incomplete. Intended for 10-J.Hammond.
Florida,2Q,7,65,30,2,run,8,successful,0.33,,0.33,0.22,L.Perine,,,N.Igbinoghene,O.Pappoe,0.5,0.5,"2-L.Perine to FLA 33 for 8 yards (4-N.Igbinoghene,10-O.Pappoe)."
Florida,2Q,7,66,31,3,run,6,successful,0.43,,0.36,0.25,E.Jones,,,J.Dinson,,1,,5-E.Jones to FLA 39 for 6 yards (20-J.Dinson).
Florida,2Q,7,67,32,1,pass,,not successful,,0.32,0.34,0.24,,E.Jones,F.Swain,,,,,5-E.Jones incomplete. Intended for 16-F.Swain.
Florida,2Q,7,68,33,2,pass,14,successful,,0.35,0.37,0.23,,E.Jones,F.Swain,,,,,5-E.Jones complete to 16-F.Swain. 16-F.Swain to AUB 47 for 14 yards.
Florida,2Q,7,69,34,1,pass,20,explosive,,0.38,0.39,0.23,,E.Jones,F.Swain,Z.McClain,,1,,5-E.Jones complete to 16-F.Swain. 16-F.Swain to AUB 27 for 20 yards (35-Z.McClain).
Florida,2Q,7,70,35,1,run,3,not successful,0.38,,0.38,0.25,L.Perine,,,N.Coe,C.Wooten,0.5,0.5,"2-L.Perine to AUB 24 for 3 yards (91-N.Coe,31-C.Wooten)."
Florida,2Q,7,71,36,2,pass,-2,not successful,,0.36,0.36,0.24,,E.Jones,T.Cleveland,J.Davis,,1,,5-E.Jones complete to 89-T.Cleveland. 89-T.Cleveland to AUB 26 for -2 yards (13-J.Davis).
Florida,2Q,7,72,37,3,run,2,not successful,0.33,,0.35,0.26,L.Perine,,,J.Davis,,1,,2-L.Perine to AUB 24 for 2 yards (13-J.Davis).
Auburn,2Q,8,76,28,1,pass,-2,not successful,,0.18,0.18,0.50,,B.Nix,S.Williams,B.Stewart,,1,,10-B.Nix complete to 18-S.Williams. 18-S.Williams to AUB 18 for -2 yards (2-B.Stewart).
Auburn,2Q,8,77,29,2,run,9,not successful,0.17,,0.17,0.52,B.Nix,,,D.Reese II,J.Greenard,0.5,0.5,"10-B.Nix scrambles to AUB 27 for 9 yards (33-D.Reese II,58-J.Greenard)."
Auburn,2Q,8,78,30,3,run,6,not successful,0.15,,0.17,0.54,B.Nix,,,M.Wilson,,1,,10-B.Nix scrambles to AUB 33 for 6 yards (3-M.Wilson).
Florida,2Q,8,80,39,1,run,2,not successful,0.30,,0.34,0.29,M.Davis,,,M.Davidson,,1,,20-M.Davis to FLA 22 for 2 yards (3-M.Davidson).
Florida,2Q,8,81,40,2,run,8,successful,0.36,,0.36,0.31,M.Davis,,,Z.McClain,,1,,20-M.Davis to FLA 30 for 8 yards (35-Z.McClain).
Florida,2Q,8,82,41,1,run,4,not successful,0.33,,0.35,0.32,E.Jones,,,M.Davidson,Z.McClain,0.5,0.5,"5-E.Jones to FLA 34 for 4 yards (3-M.Davidson,35-Z.McClain)."
Florida,2Q,8,83,42,2,pass,,not successful,,0.35,0.34,0.32,,E.Jones,K.Pitts,,,,,5-E.Jones incomplete. Intended for 84-K.Pitts.
Florida,2Q,8,84,43,3,pass,-4,not successful,,0.33,0.33,0.31,,E.Jones,K.Pitts,J.Dinson,D.Thomas,0.5,0.5,"5-E.Jones complete to 84-K.Pitts. 84-K.Pitts to FLA 30 for -4 yards (20-J.Dinson,24-D.Thomas)."
Auburn,2Q,9,86,32,1,pass,,not successful,,0.17,0.16,0.52,,B.Nix,S.Williams,,,,,10-B.Nix incomplete. Intended for 18-S.Williams.
Auburn,2Q,9,87,33,2,pass,,not successful,,0.15,0.15,0.50,,B.Nix,S.Williams,,,,,10-B.Nix incomplete. Intended for 18-S.Williams.
Auburn,2Q,9,88,34,3,pass,,not successful,,0.14,0.15,0.48,,B.Nix,A.Schwartz,,,,,10-B.Nix incomplete. Intended for 5-A.Schwartz.
Florida,2Q,9,90,45,1,pass,,not successful,,0.32,0.33,0.30,,K.Trask,K.Pitts,,,,,11-K.Trask incomplete. Intended for 84-K.Pitts.
Florida,2Q,9,93,48,2,run,6,not successful,0.31,,0.32,0.32,L.Perine,,,J.Dinson,,1,,2-L.Perine to FLA 23 for 6 yards (20-J.Dinson).
Florida,2Q,9,94,49,3,pass,10,not successful,,0.31,0.31,0.31,,K.Trask,V.Jefferson,J.Davis,,1,,11-K.Trask complete to 12-V.Jefferson. 12-V.Jefferson to FLA 33 for 10 yards (13-J.Davis).
