team,quarter,drive_team,play_count,play_count_team,down,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Tennessee,1Q,1,2,1,1,run,16,explosive,1.00,,1.00,1.00,T.Chandler,,,J.Reed,,1,,8-T.Chandler to TEN 41 for 16 yards (20-J.Reed).
Tennessee,1Q,1,3,2,1,pass,,not successful,,0.00,0.50,0.50,,B.Maurer,D.Wood-Anderson,,,,,18-B.Maurer incomplete. Intended for 4-D.Wood-Anderson.
Tennessee,1Q,1,4,3,2,run,-1,not successful,0.50,,0.33,0.67,T.Chandler,,,R.LeCounte,,1,,8-T.Chandler to TEN 40 for -1 yard (2-R.LeCounte).
Tennessee,1Q,1,5,4,3,pass,,not successful,,0.00,0.25,0.50,,B.Maurer,J.Jennings,,,,,18-B.Maurer incomplete. Intended for 15-J.Jennings.
Georgia,1Q,1,7,1,1,run,0,not successful,0.00,,0.00,1.00,D.Swift,,,K.George,,1,,7-D.Swift pushed ob at UGA 16 for no gain (41-K.George).
Georgia,1Q,1,8,2,2,pass,9,successful,,1.00,0.50,0.50,,J.Fromm,L.Cager,N.Warrior,,1,,11-J.Fromm complete to 15-L.Cager. 15-L.Cager to UGA 25 for 9 yards (18-N.Warrior).
Georgia,1Q,1,9,3,3,run,4,successful,0.50,,0.67,0.67,D.Swift,,,L.Bumphus,,1,,7-D.Swift to UGA 29 for 4 yards (88-L.Bumphus).
Georgia,1Q,1,10,4,1,pass,13,successful,,1.00,0.75,0.50,,J.Fromm,L.Cager,B.Thompson,,1,,11-J.Fromm complete to 15-L.Cager. 15-L.Cager to UGA 42 for 13 yards (20-B.Thompson).
Georgia,1Q,1,12,6,1,pass,28,explosive,,1.00,0.80,0.40,,J.Fromm,D.Robertson,S.Shamburger,,1,,11-J.Fromm complete to 16-D.Robertson. 16-D.Robertson to TEN 40 for 28 yards (12-S.Shamburger).
Georgia,1Q,1,13,7,1,run,4,not successful,0.33,,0.67,0.50,B.Herrien,,,Q.Crouch,D.Middleton,0.5,0.5,"35-B.Herrien to TEN 36 for 4 yards (27-Q.Crouch,97-D.Middleton)."
Georgia,1Q,1,14,8,2,run,11,successful,0.50,,0.71,0.57,D.Swift,,,N.Warrior,T.Jackson,0.5,0.5,"7-D.Swift to TEN 25 for 11 yards (18-N.Warrior,26-T.Jackson)."
Georgia,1Q,1,15,9,1,run,2,not successful,0.40,,0.63,0.63,D.Swift,,,M.Butler,H.To'o To'o,0.5,0.5,"7-D.Swift to TEN 23 for 2 yards (94-M.Butler,11-H.To'o To'o)."
Georgia,1Q,1,16,10,2,run,11,successful,0.50,,0.67,0.67,Z.White,,,D.Taylor,,1,,3-Z.White to TEN 12 for 11 yards (19-D.Taylor).
Georgia,1Q,1,17,11,1,pass,9,successful,,1.00,0.70,0.60,,J.Fromm,D.Swift,K.George,,1,,11-J.Fromm complete to 7-D.Swift. 7-D.Swift to TEN 3 for 9 yards (41-K.George).
Georgia,1Q,1,18,12,2,run,2,successful,0.57,,0.73,0.64,D.Swift,,,M.Butler,,1,,7-D.Swift to TEN 1 for 2 yards (94-M.Butler).
Georgia,1Q,1,19,13,1,run,1,successful,0.63,,0.75,0.67,D.Swift,,,,,,, 7-D.Swift runs 1 yard for a touchdown.
Tennessee,1Q,2,22,6,1,run,2,not successful,0.33,,0.20,0.60,T.Jordan,,,M.Barnett,,1,,9-T.Jordan to TEN 27 for 2 yards (94-M.Barnett).
Tennessee,1Q,2,23,7,2,pass,73,explosive,,0.33,0.33,0.50,,B.Maurer,M.Callaway,,,,, 18-B.Maurer complete to 1-M.Callaway. 1-M.Callaway runs 73 yards for a touchdown.
Georgia,1Q,2,26,14,1,pass,8,successful,,1.00,0.77,0.62,,J.Fromm,G.Pickens,A.Taylor,,1,,11-J.Fromm complete to 1-G.Pickens. 1-G.Pickens to UGA 33 for 8 yards (2-A.Taylor).
Georgia,1Q,2,27,15,2,run,-2,not successful,0.56,,0.71,0.64,T.Simmons,,,S.Shamburger,,1,,87-T.Simmons pushed ob at UGA 31 for -2 yards (12-S.Shamburger).
Georgia,1Q,2,28,16,3,pass,44,explosive,,1.00,0.73,0.60,,J.Fromm,D.Swift,T.Flowers,,1,,11-J.Fromm complete to 7-D.Swift. 7-D.Swift pushed ob at TEN 25 for 44 yards (25-T.Flowers).
Georgia,1Q,2,30,18,1,pass,6,not successful,,0.86,0.69,0.56,,J.Fromm,M.Landers,K.George,,1,,11-J.Fromm complete to 5-M.Landers. 5-M.Landers to TEN 34 for 6 yards (41-K.George).
