team,quarter,drive_team,play_count,play_count_team,down,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Michigan,1Q,1,2,1,1,run,7,successful,1.00,,1.00,1.00,Z.Charbonnet,,,C.Golston,J.Koerner,0.5,0.5,"24-Z.Charbonnet to MICH 32 for 7 yards (57-C.Golston,28-J.Koerner)."
Michigan,1Q,1,3,2,2,run,7,successful,1.00,,1.00,1.00,Z.Charbonnet,,,C.Lattimore,,1,,24-Z.Charbonnet to MICH 39 for 7 yards (95-C.Lattimore).
Michigan,1Q,1,4,3,1,pass,,not successful,,0.00,0.67,0.67,,S.Patterson,R.Bell,,,,,2-S.Patterson incomplete. Intended for 8-R.Bell.
Michigan,1Q,1,5,4,2,pass,,not successful,,0.00,0.50,0.50,,S.Patterson,C.Turner,,,,,2-S.Patterson incomplete. Intended for 3-C.Turner.
Michigan,1Q,1,6,5,3,pass,,not successful,,0.00,0.40,0.40,,S.Patterson,T.Black,,,,,2-S.Patterson incomplete. Intended for 7-T.Black.
Iowa,1Q,1,8,1,1,run,,not successful,0.00,,0.00,1.00,M.Sargent,,,A.Hutchinson,,,,"10-M.Sargent to IOW 18, FUMBLES (97-A.Hutchinson). 1-A.Thomas to IOW 18 for no gain."
Michigan,1Q,2,9,7,1,pass,,not successful,,0.00,0.33,0.33,,S.Patterson,T.Black,,,,,2-S.Patterson incomplete. Intended for 7-T.Black.
Michigan,1Q,2,10,8,2,run,6,not successful,0.67,,0.29,0.43,Z.Charbonnet,,,D.Colbert,N.Niemann,0.5,0.5,"24-Z.Charbonnet to IOW 12 for 6 yards (32-D.Colbert,49-N.Niemann)."
Michigan,1Q,2,11,9,3,pass,2,not successful,,0.00,0.25,0.38,,S.Patterson,N.Collins,K.Welch,,1,,2-S.Patterson complete to 4-N.Collins. 4-N.Collins to IOW 10 for 2 yards (34-K.Welch).
Iowa,1Q,2,14,2,1,pass,11,successful,,1.00,0.50,0.50,,N.Stanley,B.Smith,L.Hill,,1,,4-N.Stanley complete to 12-B.Smith. 12-B.Smith to IOW 36 for 11 yards (24-L.Hill).
Iowa,1Q,2,15,3,1,run,5,successful,0.50,,0.67,0.67,M.Sargent,,,K.Hudson,,1,,10-M.Sargent to IOW 41 for 5 yards (7-K.Hudson).
Iowa,1Q,2,16,4,2,run,1,not successful,0.33,,0.50,0.75,M.Sargent,,,K.Paye,,1,,10-M.Sargent to IOW 42 for 1 yard (19-K.Paye).
Iowa,1Q,2,17,5,3,pass,,not successful,,0.50,0.40,0.60,,N.Stanley,N.Ragaini,,,,,4-N.Stanley incomplete. Intended for 89-N.Ragaini.
Michigan,1Q,3,19,11,1,pass,51,explosive,,0.17,0.33,0.33,,S.Patterson,N.Collins,D.Johnson,,1,,2-S.Patterson complete to 4-N.Collins. 4-N.Collins to IOW 19 for 51 yards (12-D.Johnson).
Michigan,1Q,3,20,12,1,run,4,not successful,0.50,,0.30,0.40,H.Haskins,,,K.Welch,,1,,25-H.Haskins to IOW 15 for 4 yards (34-K.Welch).
Michigan,1Q,3,21,13,2,pass,,not successful,,0.14,0.27,0.36,,S.Patterson,N.Collins,,,,,2-S.Patterson incomplete. Intended for 4-N.Collins.
Michigan,1Q,3,22,14,3,pass,8,successful,,0.25,0.33,0.33,,S.Patterson,M.Sainristil,M.Ojemudia,,1,,2-S.Patterson complete to 19-M.Sainristil. 19-M.Sainristil pushed ob at IOW 7 for 8 yards (11-M.Ojemudia).
Michigan,1Q,3,23,15,1,run,5,successful,0.60,,0.38,0.38,Z.Charbonnet,,,K.Welch,,1,,24-Z.Charbonnet to IOW 2 for 5 yards (34-K.Welch).
Michigan,1Q,3,24,16,2,run,2,successful,0.67,,0.43,0.43,Z.Charbonnet,,,,,,, 24-Z.Charbonnet runs 2 yards for a touchdown.
Iowa,1Q,3,27,7,1,pass,,not successful,,0.33,0.33,0.50,,N.Stanley,T.Tracy,,,,,4-N.Stanley incomplete. Intended for 3-T.Tracy.
Iowa,1Q,3,28,8,2,pass,-6,not successful,,0.25,0.29,0.43,,N.Stanley,,K.Paye,,1,,4-N.Stanley sacked at IOW 44 for -6 yards (19-K.Paye).
Iowa,1Q,3,29,9,3,run,4,not successful,0.25,,0.25,0.50,M.Sargent,,,M.Danna,K.Hudson,0.5,0.5,"10-M.Sargent to IOW 48 for 4 yards (4-M.Danna,7-K.Hudson)."
Iowa,1Q,3,30,10,4,punt,,not successful,,,0.22,,,,,D.Doyle,,,,"22-M.Sleep-Dalton punts 48 yards from IOW 48. 9-D.Peoples-Jones to MICH 40, FUMBLES (43-D.Doyle). 22-G.Green to MICH 40 for no gain."
Michigan,1Q,4,31,17,1,run,0,not successful,0.57,,0.40,0.47,C.Turner,,,J.Koerner,,1,,"3-C.Turner to MICH 45, FUMBLES (28-J.Koerner). 74-B.Bredeson to MICH 45 for no gain."
Michigan,1Q,4,32,18,2,pass,,not successful,,0.22,0.38,0.44,,S.Patterson,T.Black,,,,,"2-S.Patterson incomplete. Intended for 7-T.Black, INTERCEPTED by 9-G.Stone at IOW 39. 9-G.Stone to IOW 39 for no gain."
