team,quarter,drive_team,play_count,play_count_team,down,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Kansas,1Q,1,2,1,1,run,-1,not successful,0.00,,0.00,1.00,P.Williams,,,J.Terry,,1,,1-P.Williams to KAN 24 for -1 yard (40-J.Terry).
Kansas,1Q,1,3,2,2,run,0,not successful,0.00,,0.00,1.00,P.Williams,,,D.White,,1,,1-P.Williams to KAN 24 for no gain (23-D.White).
Kansas,1Q,1,4,3,3,pass,14,successful,,1.00,0.33,0.67,,C.Stanley,D.Charlot,,,,,"9-C.Stanley incomplete. Intended for 2-D.Charlot. Penalty on OKL 11-P.Motley, Pass interference, 14 yards, enforced at KAN 24. No Play."
Kansas,1Q,1,5,4,1,pass,2,not successful,,0.50,0.25,0.50,,C.Stanley,P.Williams,K.Murray,,1,,9-C.Stanley complete to 1-P.Williams. 1-P.Williams to KAN 40 for 2 yards (9-K.Murray).
Kansas,1Q,1,6,5,2,run,-1,not successful,0.00,,0.20,0.60,P.Williams,,,R.Perkins,,1,,1-P.Williams to KAN 39 for -1 yard (7-R.Perkins).
Kansas,1Q,1,7,6,3,pass,,not successful,,0.33,0.17,0.50,,C.Stanley,A.Parchment,,,,,9-C.Stanley incomplete. Intended for 4-A.Parchment.
Oklahoma,1Q,1,9,1,1,run,0,not successful,0.00,,0.00,1.00,T.Sermon,,,A.Kamara,,1,,4-T.Sermon to OKL 25 for no gain (5-A.Kamara).
Oklahoma,1Q,1,10,2,2,pass,,not successful,,0.00,0.00,0.50,,J.Hurts,C.Lamb,,,,,"1-J.Hurts incomplete. Intended for 2-C.Lamb. Penalty on OKL 2-C.Lamb, Pass interference, declined."
Oklahoma,1Q,1,11,3,3,pass,15,explosive,,0.50,0.33,0.33,,J.Hurts,J.Haselwood,C.Harris,,1,,1-J.Hurts complete to 11-J.Haselwood. 11-J.Haselwood to OKL 40 for 15 yards (2-C.Harris).
Oklahoma,1Q,1,12,4,1,run,1,not successful,0.00,,0.25,0.50,J.Hurts,,,K.Johnson,,1,,1-J.Hurts scrambles to OKL 41 for 1 yard (15-K.Johnson).
Oklahoma,1Q,1,13,5,2,run,-1,not successful,0.00,,0.20,0.60,J.Hurts,,,B.Torneden,,1,,1-J.Hurts to OKL 40 for -1 yard (1-B.Torneden).
Oklahoma,1Q,1,14,6,3,pass,,not successful,,0.33,0.17,0.50,,J.Hurts,C.Rambo,,,,,1-J.Hurts incomplete. Intended for 14-C.Rambo.
Kansas,1Q,2,18,10,1,run,7,successful,0.25,,0.29,0.57,P.Williams,,,T.Brown,,1,,1-P.Williams to KAN 8 for 7 yards (6-T.Brown).
Kansas,1Q,2,19,11,2,run,24,explosive,0.40,,0.38,0.63,P.Williams,,,P.Motley,,1,,1-P.Williams to KAN 32 for 24 yards (11-P.Motley).
Kansas,1Q,2,20,12,1,pass,12,successful,,0.50,0.44,0.56,,C.Stanley,S.Robinson,D.Turner-Yell,,1,,9-C.Stanley complete to 5-S.Robinson. 5-S.Robinson to KAN 44 for 12 yards (32-D.Turner-Yell).
Kansas,1Q,2,21,13,1,run,1,not successful,0.33,,0.40,0.60,P.Williams,,,D.Turner-Yell,,1,,1-P.Williams to KAN 45 for 1 yard (32-D.Turner-Yell).
Kansas,1Q,2,22,14,2,run,4,not successful,0.29,,0.36,0.64,V.Gardner,,,N.Gallimore,,1,,18-V.Gardner to KAN 49 for 4 yards (90-N.Gallimore).
Kansas,1Q,2,23,15,3,pass,6,successful,,0.60,0.42,0.58,,C.Stanley,J.Sosinski,B.Radley-Hiles,,1,,9-C.Stanley complete to 82-J.Sosinski. 82-J.Sosinski pushed ob at OKL 45 for 6 yards (44-B.Radley-Hiles).
Kansas,1Q,2,24,16,1,pass,19,explosive,,0.67,0.46,0.54,,C.Stanley,S.Robinson,T.Brown,,1,,9-C.Stanley complete to 5-S.Robinson. 5-S.Robinson to OKL 26 for 19 yards (6-T.Brown).
Kansas,1Q,2,25,17,1,pass,4,not successful,,0.57,0.43,0.50,,C.Stanley,P.Williams,D.Ugwoegbu,,1,,9-C.Stanley complete to 1-P.Williams. 1-P.Williams to OKL 22 for 4 yards (34-D.Ugwoegbu).
Kansas,1Q,2,26,18,2,pass,22,explosive,,0.63,0.47,0.47,,C.Stanley,D.Charlot,,,,, 9-C.Stanley complete to 2-D.Charlot. 2-D.Charlot runs 22 yards for a touchdown.
Oklahoma,1Q,2,29,8,1,run,5,successful,0.25,,0.29,0.57,T.Sermon,,,K.Mayberry,,1,,4-T.Sermon to OKL 28 for 5 yards (8-K.Mayberry).
Oklahoma,1Q,2,30,9,2,pass,11,successful,,0.50,0.38,0.50,,J.Hurts,R.Stevenson,,,,,1-J.Hurts complete to 29-R.Stevenson. 29-R.Stevenson to OKL 39 for 11 yards.
Oklahoma,1Q,2,31,10,1,run,24,explosive,0.40,,0.44,0.56,T.Sermon,,,B.Torneden,,1,,4-T.Sermon to KAN 37 for 24 yards (1-B.Torneden).
Oklahoma,1Q,2,32,11,1,pass,,not successful,,0.40,0.40,0.50,,J.Hurts,N.Basquine,,,,,1-J.Hurts incomplete. Intended for 83-N.Basquine.
Oklahoma,1Q,2,33,12,2,pass,20,explosive,,0.50,0.45,0.45,,J.Hurts,B.Willis,J.McCullough,,1,,1-J.Hurts complete to 81-B.Willis. 81-B.Willis to KAN 17 for 20 yards (12-J.McCullough).
Oklahoma,1Q,2,34,13,1,pass,15,successful,,0.57,0.50,0.42,,J.Hurts,J.Hall,,,,,"1-J.Hurts incomplete. Intended for 27-J.Hall. Penalty on KAN 15-K.Johnson, Pass interference, 15 yards, enforced at KAN 17. No Play."
Oklahoma,1Q,2,35,14,1,run,2,successful,0.50,,0.54,0.46,T.Sermon,,,,,,, 4-T.Sermon runs 2 yards for a touchdown.
Kansas,1Q,3,38,19,1,pass,,not successful,,0.56,0.44,0.44,,C.Stanley,A.Parchment,,,,,9-C.Stanley incomplete. Intended for 4-A.Parchment.
Kansas,1Q,3,39,20,2,run,0,not successful,0.25,,0.41,0.47,V.Gardner,,,P.Motley,,1,,18-V.Gardner to KAN 20 for no gain (11-P.Motley).
Kansas,1Q,3,40,21,3,pass,11,successful,,0.60,0.44,0.44,,C.Stanley,A.Parchment,J.Davis,,1,,9-C.Stanley complete to 4-A.Parchment. 4-A.Parchment to KAN 31 for 11 yards (4-J.Davis).
Kansas,2Q,4,41,22,1,pass,-6,not successful,,0.55,0.42,0.42,,C.Stanley,,R.Perkins,,1,,9-C.Stanley sacked at KAN 25 for -6 yards (7-R.Perkins).
Kansas,2Q,4,42,23,2,run,3,not successful,0.22,,0.40,0.45,P.Williams,,,L.Stokes,,1,,1-P.Williams to KAN 28 for 3 yards (96-L.Stokes).
Kansas,2Q,4,43,24,3,run,23,explosive,0.30,,0.43,0.48,P.Williams,,,J.Davis,,1,,1-P.Williams to OKL 49 for 23 yards (4-J.Davis).
Kansas,2Q,4,44,25,1,run,1,not successful,0.27,,0.41,0.50,P.Williams,,,R.Perkins,,1,,1-P.Williams to OKL 48 for 1 yard (7-R.Perkins).
Kansas,2Q,4,45,26,2,run,0,not successful,0.25,,0.39,0.52,P.Williams,,,K.Murray,,1,,1-P.Williams to OKL 48 for no gain (9-K.Murray).
Kansas,2Q,4,46,27,3,run,7,not successful,0.23,,0.38,0.54,P.Williams,,,J.Davis,N.Bonitto,0.5,0.5,"1-P.Williams to OKL 41 for 7 yards (4-J.Davis,35-N.Bonitto)."
Kansas,2Q,4,47,28,4,pass,,not successful,,0.50,0.36,0.52,,C.Stanley,J.Sosinski,,,,,9-C.Stanley incomplete. Intended for 82-J.Sosinski.
Oklahoma,2Q,3,48,15,1,pass,,not successful,,0.50,0.50,0.43,,J.Hurts,C.Lamb,,,,,1-J.Hurts incomplete. Intended for 2-C.Lamb.
Oklahoma,2Q,3,49,16,2,pass,15,explosive,,0.56,0.53,0.40,,J.Hurts,C.Lamb,H.Defense,,1,,1-J.Hurts complete to 2-C.Lamb. 2-C.Lamb to KAN 43 for 15 yards (13-H.Defense).
Oklahoma,2Q,3,50,17,1,pass,19,explosive,,0.60,0.56,0.38,,J.Hurts,L.Morris,M.Lee,,1,,1-J.Hurts complete to 84-L.Morris. 84-L.Morris pushed ob at KAN 24 for 19 yards (11-M.Lee).
Oklahoma,2Q,3,52,19,1,no play,15,successful,,,0.59,,,,,,,,,"Penalty on KAN 11-M.Lee, Personal Foul, 15 yards, enforced at KAN 34. No Play."
Oklahoma,2Q,3,53,20,1,run,5,successful,0.57,,0.61,0.41,T.Sermon,,,J.McCullough,,1,,4-T.Sermon to KAN 14 for 5 yards (12-J.McCullough).
