team,quarter,drive_team,play_count,play_count_team,down,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Georgia,1Q,1,2,1,1,run,4,not successful,0.00,,0.00,1.00,D.Swift,,,K.Smith,J.Kinlaw,0.5,0.5,"7-D.Swift to UGA 29 for 4 yards (95-K.Smith,3-J.Kinlaw)."
Georgia,1Q,1,3,2,2,pass,8,successful,,1.00,0.50,0.50,,J.Fromm,L.Cager,I.Mukuamu,,1,,11-J.Fromm complete to 15-L.Cager. 15-L.Cager to UGA 37 for 8 yards (24-I.Mukuamu).
Georgia,1Q,1,4,3,1,pass,14,successful,,1.00,0.67,0.33,,J.Fromm,T.Simmons,,,,,11-J.Fromm complete to 87-T.Simmons. 87-T.Simmons runs ob at SC 49 for 14 yards.
Georgia,1Q,1,5,4,1,run,7,successful,0.50,,0.75,0.50,D.Swift,,,S.Greene,I.Mukuamu,0.5,0.5,"7-D.Swift to SC 42 for 7 yards (44-S.Greene,24-I.Mukuamu)."
Georgia,1Q,1,6,5,2,run,5,successful,0.67,,0.80,0.60,D.Swift,,,S.Greene,,1,,7-D.Swift to SC 37 for 5 yards (44-S.Greene).
Georgia,1Q,1,7,6,1,pass,2,not successful,,0.67,0.67,0.50,,J.Fromm,D.Swift,T.Brunson,,1,,11-J.Fromm complete to 7-D.Swift. 7-D.Swift to SC 35 for 2 yards (6-T.Brunson).
Georgia,1Q,1,8,7,2,run,3,not successful,0.50,,0.57,0.57,D.Swift,,,S.Greene,,1,,7-D.Swift to SC 32 for 3 yards (44-S.Greene).
Georgia,1Q,1,9,8,3,pass,-1,not successful,,0.50,0.50,0.50,,J.Fromm,,K.Enagbare,,1,,11-J.Fromm sacked at SC 33 for -1 yard (52-K.Enagbare).
South Carolina,1Q,1,12,1,1,run,1,not successful,0.00,,0.00,1.00,S.Smith,,,T.Crowder,A.Ojulari,0.5,0.5,"13-S.Smith to SC 26 for 1 yard (30-T.Crowder,13-A.Ojulari)."
South Carolina,1Q,1,13,2,2,pass,,not successful,,0.00,0.00,0.50,,R.Hilinski,C.Dawkins,,,,,3-R.Hilinski incomplete. Intended for 83-C.Dawkins.
South Carolina,1Q,1,14,3,3,pass,5,not successful,,0.00,0.00,0.33,,R.Hilinski,B.Edwards,J.Reed,,1,,3-R.Hilinski complete to 89-B.Edwards. 89-B.Edwards to SC 31 for 5 yards (20-J.Reed).
Georgia,1Q,2,16,10,1,pass,4,not successful,,0.40,0.44,0.44,,J.Fromm,D.Robertson,J.Horn,,1,,11-J.Fromm complete to 16-D.Robertson. 16-D.Robertson pushed ob at UGA 15 for 4 yards (1-J.Horn).
Georgia,1Q,2,17,11,2,run,5,successful,0.60,,0.50,0.50,J.Cook,,,R.Roderick,I.Mukuamu,0.5,0.5,"4-J.Cook to UGA 20 for 5 yards (10-R.Roderick,24-I.Mukuamu)."
Georgia,1Q,2,18,12,3,run,2,successful,0.67,,0.55,0.55,D.Swift,,,J.Kinlaw,A.Sterling,0.5,0.5,"7-D.Swift to UGA 22 for 2 yards (3-J.Kinlaw,15-A.Sterling)."
Georgia,1Q,2,19,13,1,run,7,successful,0.71,,0.58,0.58,Z.White,,,I.Mukuamu,,1,,3-Z.White to UGA 29 for 7 yards (24-I.Mukuamu).
Georgia,1Q,2,20,14,2,run,-2,not successful,0.63,,0.54,0.62,Z.White,,,T.Brunson,,1,,3-Z.White to UGA 27 for -2 yards (6-T.Brunson).
Georgia,1Q,2,21,15,3,pass,,not successful,,0.33,0.50,0.57,,J.Fromm,E.Wolf,,,,,11-J.Fromm incomplete. Intended for 17-E.Wolf.
South Carolina,1Q,2,23,5,1,run,6,successful,0.50,,0.25,0.50,R.Dowdle,,,M.Barnett,A.Ojulari,0.5,0.5,"5-R.Dowdle to SC 13 for 6 yards (94-M.Barnett,13-A.Ojulari)."
South Carolina,1Q,2,24,6,2,run,2,not successful,0.33,,0.20,0.60,R.Dowdle,,,M.Rice,,1,,5-R.Dowdle to SC 15 for 2 yards (32-M.Rice).
South Carolina,1Q,2,25,7,3,pass,12,successful,,0.33,0.33,0.50,,R.Hilinski,N.Muse,,,,,"3-R.Hilinski incomplete. Intended for 9-N.Muse. Penalty on UGA 20-J.Reed, Pass interference, 12 yards, enforced at SC 15. No Play."
South Carolina,1Q,2,26,8,1,run,1,not successful,0.25,,0.29,0.57,R.Dowdle,,,M.Rice,,1,,5-R.Dowdle to SC 28 for 1 yard (32-M.Rice).
South Carolina,1Q,2,27,9,2,pass,,not successful,,0.25,0.25,0.50,,R.Hilinski,K.Markway,,,,,3-R.Hilinski incomplete. Intended for 84-K.Markway.
South Carolina,1Q,2,28,10,3,pass,15,explosive,,0.40,0.33,0.44,,R.Hilinski,B.Edwards,,,,,3-R.Hilinski complete to 89-B.Edwards. 89-B.Edwards to SC 43 for 15 yards.
South Carolina,1Q,2,29,11,1,run,2,not successful,0.20,,0.30,0.50,T.Feaster,,,M.Barnett,T.Crowder,0.5,0.5,"4-T.Feaster to SC 45 for 2 yards (94-M.Barnett,30-T.Crowder)."
South Carolina,1Q,2,30,12,2,pass,3,not successful,,0.33,0.27,0.45,,R.Hilinski,J.Vann,J.Reed,,1,,3-R.Hilinski complete to 6-J.Vann. 6-J.Vann to SC 48 for 3 yards (20-J.Reed).
South Carolina,1Q,2,31,13,3,pass,11,successful,,0.43,0.33,0.42,,R.Hilinski,N.Muse,D.Daniel,,1,,3-R.Hilinski complete to 9-N.Muse. 9-N.Muse to UGA 41 for 11 yards (14-D.Daniel).
South Carolina,1Q,2,33,15,1,pass,46,explosive,,0.50,0.38,0.38,,R.Hilinski,B.Edwards,,,,, 3-R.Hilinski complete to 89-B.Edwards. 89-B.Edwards runs 46 yards for a touchdown.
Georgia,1Q,3,36,17,1,run,12,successful,0.67,,0.53,0.60,D.Swift,,,I.Mukuamu,,1,,7-D.Swift to UGA 37 for 12 yards (24-I.Mukuamu).
Georgia,1Q,3,37,18,1,pass,,not successful,,0.29,0.50,0.56,,J.Fromm,L.Cager,,,,,11-J.Fromm incomplete. Intended for 15-L.Cager.
Georgia,1Q,3,38,19,2,run,5,not successful,0.60,,0.47,0.59,D.Swift,,,K.Enagbare,,1,,7-D.Swift to UGA 42 for 5 yards (52-K.Enagbare).
Georgia,1Q,3,39,20,3,pass,10,successful,,0.38,0.50,0.56,,J.Fromm,J.Cook,I.Mukuamu,,1,,11-J.Fromm complete to 4-J.Cook. 4-J.Cook to SC 48 for 10 yards (24-I.Mukuamu).
Georgia,1Q,3,40,21,1,pass,11,successful,,0.44,0.53,0.53,,J.Fromm,G.Pickens,J.Horn,,1,,11-J.Fromm complete to 1-G.Pickens. 1-G.Pickens to SC 37 for 11 yards (1-J.Horn).
