team,quarter,drive_team,play_count,play_count_team,down,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
LSU,1Q,1,2,1,1,pass,9,successful,,1.00,1.00,0.00,,J.Burrow,J.Chase,J.Moon,,1,,9-J.Burrow complete to 1-J.Chase. 1-J.Chase to LSU 34 for 9 yards (7-J.Moon).
LSU,1Q,1,3,2,2,run,10,successful,1.00,,1.00,0.50,C.Edwards-Helaire,,,J.Moon,,1,,22-C.Edwards-Helaire to LSU 44 for 10 yards (7-J.Moon).
LSU,1Q,1,4,3,1,pass,1,not successful,,0.50,0.67,0.33,,J.Burrow,J.Jefferson,D.Reese II,,1,,9-J.Burrow complete to 2-J.Jefferson. 2-J.Jefferson to LSU 45 for 1 yard (33-D.Reese II).
LSU,1Q,1,5,4,2,pass,23,explosive,,0.67,0.75,0.25,,J.Burrow,J.Jefferson,S.Davis,,1,,9-J.Burrow complete to 2-J.Jefferson. 2-J.Jefferson to FLA 32 for 23 yards (31-S.Davis).
LSU,1Q,1,6,5,1,pass,,not successful,,0.50,0.60,0.20,,J.Burrow,J.Chase,,,,,9-J.Burrow incomplete. Intended for 1-J.Chase.
LSU,1Q,1,7,6,2,run,3,not successful,0.50,,0.50,0.33,J.Burrow,,,B.Stewart,,1,,9-J.Burrow to FLA 29 for 3 yards (2-B.Stewart).
LSU,1Q,1,8,7,3,run,3,not successful,0.33,,0.43,0.43,J.Burrow,,,J.Moon,,1,,"9-J.Burrow scrambles, pushed ob at FLA 26 for 3 yards (7-J.Moon)."
Florida,1Q,1,10,1,1,pass,,not successful,,0.00,0.00,0.00,,K.Trask,T.Grimes,,,,,11-K.Trask incomplete. Intended for 8-T.Grimes.
Florida,1Q,1,11,2,2,run,-1,not successful,0.00,,0.00,0.50,L.Perine,,,K.Chaisson,,1,,2-L.Perine to FLA 25 for -1 yard (18-K.Chaisson).
Florida,1Q,1,12,3,3,pass,,not successful,,0.00,0.00,0.33,,K.Trask,K.Pitts,,,,,11-K.Trask incomplete. Intended for 84-K.Pitts.
LSU,1Q,2,14,9,1,run,57,explosive,0.50,,0.50,0.50,C.Edwards-Helaire,,,C.Henderson,M.Wilson,0.5,0.5,"22-C.Edwards-Helaire to FLA 9 for 57 yards (1-C.Henderson,3-M.Wilson)."
LSU,1Q,2,15,10,1,pass,9,successful,,0.60,0.56,0.44,,J.Burrow,J.Chase,,,,, 9-J.Burrow complete to 1-J.Chase. 1-J.Chase runs 9 yards for a touchdown.
Florida,1Q,2,19,6,1,pass,17,explosive,,0.33,0.25,0.25,,K.Trask,T.Cleveland,K.Vincent,,1,,11-K.Trask complete to 89-T.Cleveland. 89-T.Cleveland pushed ob at FLA 37 for 17 yards (5-K.Vincent).
