team,quarter,drive_team,play_count,play_count_team,down,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Oklahoma,1Q,1,2,1,1,run,23,explosive,1.00,,1.00,1.00,K.Brooks,,,J.Mitchell,,1,,26-K.Brooks pushed ob at TEX 43 for 23 yards (6-J.Mitchell).
Oklahoma,1Q,1,3,2,1,run,4,not successful,0.50,,0.50,1.00,K.Brooks,,,M.Roach,,1,,26-K.Brooks to TEX 39 for 4 yards (32-M.Roach).
Oklahoma,1Q,1,5,4,2,run,6,not successful,0.33,,0.33,1.00,J.Hurts,,,,,,,1-J.Hurts to TEX 38 for 6 yards.
Oklahoma,1Q,1,6,5,3,run,11,successful,0.50,,0.50,1.00,J.Hurts,,,B.Foster,A.Adeoye,0.5,0.5,"1-J.Hurts to TEX 27 for 11 yards (25-B.Foster,40-A.Adeoye)."
Oklahoma,1Q,1,7,6,1,run,0,not successful,0.40,,0.40,1.00,J.Hurts,,,T.Graham,B.Jones,0.5,0.5,"1-J.Hurts to TEX 27 for no gain (49-T.Graham,19-B.Jones)."
Oklahoma,1Q,1,8,7,2,pass,17,explosive,,1.00,0.50,0.83,,J.Hurts,N.Basquine,C.Brown,,1,,1-J.Hurts complete to 83-N.Basquine. 83-N.Basquine to TEX 10 for 17 yards (15-C.Brown).
Oklahoma,1Q,1,9,8,1,pass,,not successful,,0.50,0.43,0.71,,J.Hurts,C.Lamb,,,,,1-J.Hurts incomplete. Intended for 2-C.Lamb.
Oklahoma,1Q,1,10,9,2,run,1,not successful,0.33,,0.38,0.75,J.Hurts,,,B.Foster,,1,,1-J.Hurts to TEX 9 for 1 yard (25-B.Foster).
Oklahoma,1Q,1,11,10,3,pass,8,not successful,,0.33,0.33,0.67,,J.Hurts,C.Lamb,C.Brown,,1,,1-J.Hurts complete to 2-C.Lamb. 2-C.Lamb pushed ob at TEX 1 for 8 yards (15-C.Brown).
Oklahoma,1Q,1,12,11,4,pass,1,successful,,0.50,0.40,0.60,,J.Hurts,C.Lamb,,,,, 1-J.Hurts complete to 2-C.Lamb. 2-C.Lamb runs 1 yard for a touchdown.
Texas,1Q,1,15,1,1,run,-2,not successful,0.00,,0.00,1.00,D.Duvernay,,,D.Turner-Yell,,1,,6-D.Duvernay to TEX 30 for -2 yards (32-D.Turner-Yell).
Texas,1Q,1,16,2,2,pass,0,not successful,,0.00,0.00,0.50,,S.Ehlinger,D.Duvernay,K.Murray,,1,,11-S.Ehlinger complete to 6-D.Duvernay. 6-D.Duvernay to TEX 30 for no gain (9-K.Murray).
Texas,1Q,1,17,3,3,pass,-10,not successful,,0.00,0.00,0.33,,S.Ehlinger,,N.Gallimore,,1,,11-S.Ehlinger sacked at TEX 20 for -10 yards (90-N.Gallimore).
Oklahoma,1Q,2,19,12,1,pass,17,explosive,,0.60,0.45,0.55,,J.Hurts,C.Lamb,B.Jones,,1,,1-J.Hurts complete to 2-C.Lamb. 2-C.Lamb to TEX 39 for 17 yards (19-B.Jones).
Oklahoma,1Q,2,20,13,1,pass,-1,not successful,,0.50,0.42,0.50,,J.Hurts,K.Brooks,C.Brown,,1,,1-J.Hurts complete to 26-K.Brooks. 26-K.Brooks to TEX 40 for -1 yard (15-C.Brown).
Oklahoma,1Q,2,21,14,2,pass,6,not successful,,0.43,0.38,0.46,,J.Hurts,C.Rambo,D.Jamison,,1,,1-J.Hurts complete to 14-C.Rambo. 14-C.Rambo pushed ob at TEX 34 for 6 yards (5-D.Jamison).
Oklahoma,1Q,2,22,15,3,run,21,explosive,0.43,,0.43,0.50,J.Hurts,,,A.Cook,,1,,1-J.Hurts to TEX 13 for 21 yards (4-A.Cook).
Oklahoma,1Q,2,23,16,3,run,,not successful,0.38,,0.40,0.53,J.Hurts,,,A.Cook,,,,"1-J.Hurts to TEX 7, FUMBLES (4-A.Cook). 5-D.Jamison to TEX 7 for no gain."
Texas,1Q,2,24,5,1,run,2,not successful,0.00,,0.00,0.50,K.Ingram,,,T.Brown,L.Stokes,0.5,0.5,"26-K.Ingram to TEX 9 for 2 yards (6-T.Brown,96-L.Stokes)."
Texas,1Q,2,25,6,2,pass,9,successful,,0.33,0.20,0.40,,S.Ehlinger,D.Duvernay,D.Turner-Yell,,1,,11-S.Ehlinger complete to 6-D.Duvernay. 6-D.Duvernay to TEX 18 for 9 yards (32-D.Turner-Yell).
Texas,1Q,2,26,7,1,pass,,not successful,,0.25,0.17,0.33,,S.Ehlinger,K.Ingram,,,,,11-S.Ehlinger incomplete. Intended for 26-K.Ingram.
Texas,1Q,2,27,8,2,run,6,not successful,0.00,,0.14,0.43,S.Ehlinger,,,J.Terry,,1,,11-S.Ehlinger to TEX 24 for 6 yards (40-J.Terry).
Texas,1Q,2,28,9,3,pass,6,successful,,0.40,0.25,0.38,,S.Ehlinger,B.Eagles,T.Brown,,1,,11-S.Ehlinger complete to 13-B.Eagles. 13-B.Eagles to TEX 30 for 6 yards (6-T.Brown).
Texas,1Q,2,29,10,1,pass,22,explosive,,0.50,0.33,0.33,,S.Ehlinger,C.Johnson,K.Murray,,1,,11-S.Ehlinger complete to 9-C.Johnson. 9-C.Johnson to OKL 48 for 22 yards (9-K.Murray).
Texas,1Q,2,30,11,1,pass,1,not successful,,0.43,0.30,0.30,,S.Ehlinger,D.Duvernay,D.Turner-Yell,,1,,11-S.Ehlinger complete to 6-D.Duvernay. 6-D.Duvernay to OKL 47 for 1 yard (32-D.Turner-Yell).
Texas,1Q,2,31,12,2,run,3,not successful,0.00,,0.27,0.36,R.Johnson,,,D.Turner-Yell,P.Fields,0.5,0.5,"2-R.Johnson to OKL 44 for 3 yards (32-D.Turner-Yell,10-P.Fields)."
Texas,1Q,2,32,13,3,run,-2,not successful,0.00,,0.25,0.42,S.Ehlinger,,,D.Faamatau,D.White,0.5,0.5,"11-S.Ehlinger to OKL 46 for -2 yards (91-D.Faamatau,23-D.White)."
Oklahoma,1Q,3,34,17,1,run,3,not successful,0.33,,0.38,0.56,J.Hurts,,,J.Chisholm,,1,,1-J.Hurts to OKL 8 for 3 yards (91-J.Chisholm).
Oklahoma,1Q,3,35,18,2,run,14,successful,0.40,,0.41,0.59,K.Brooks,,,A.Adeoye,,1,,26-K.Brooks pushed ob at OKL 22 for 14 yards (40-A.Adeoye).
Oklahoma,1Q,3,36,19,1,pass,-1,not successful,,0.38,0.39,0.56,,J.Hurts,C.Lamb,J.Ossai,,1,,1-J.Hurts complete to 2-C.Lamb. 2-C.Lamb to OKL 21 for -1 yard (46-J.Ossai).
Oklahoma,2Q,4,37,20,2,run,7,not successful,0.36,,0.37,0.58,J.Hurts,,,B.Jones,,1,,1-J.Hurts to OKL 28 for 7 yards (19-B.Jones).
Oklahoma,2Q,4,38,21,3,run,22,explosive,0.42,,0.40,0.60,J.Hurts,,,K.Coburn,,1,,1-J.Hurts to OKL 50 for 22 yards (99-K.Coburn).
Oklahoma,2Q,4,39,22,1,run,5,successful,0.46,,0.43,0.62,T.Pledger,,,A.Adeoye,K.Coburn,0.5,0.5,"22-T.Pledger to TEX 45 for 5 yards (40-A.Adeoye,99-K.Coburn)."
Oklahoma,2Q,4,40,23,2,run,6,successful,0.50,,0.45,0.64,J.Hurts,,,,,,,1-J.Hurts to TEX 39 for 6 yards.
Oklahoma,2Q,4,41,24,1,pass,26,explosive,,0.44,0.48,0.61,,J.Hurts,C.Lamb,D.Jamison,,1,,1-J.Hurts complete to 2-C.Lamb. 2-C.Lamb to TEX 13 for 26 yards (5-D.Jamison).
Oklahoma,2Q,4,42,25,1,run,2,not successful,0.47,,0.46,0.63,K.Brooks,,,J.Ossai,A.Adeoye,0.5,0.5,"26-K.Brooks to TEX 11 for 2 yards (46-J.Ossai,40-A.Adeoye)."
Oklahoma,2Q,4,43,26,2,pass,,not successful,,0.40,0.44,0.60,,J.Hurts,C.Lamb,,,,,1-J.Hurts incomplete. Intended for 2-C.Lamb.
Oklahoma,2Q,4,44,27,3,pass,,not successful,,0.36,0.42,0.58,,J.Hurts,C.Lamb,C.Rambo,,,,"1-J.Hurts incomplete. Intended for 2-C.Lamb, INTERCEPTED by 19-B.Jones at TEX End Zone. 19-B.Jones to TEX 10 for 10 yards (14-C.Rambo)."
Texas,2Q,3,45,15,1,run,2,not successful,0.00,,0.23,0.46,R.Johnson,,,N.Bonitto,,1,,2-R.Johnson to TEX 12 for 2 yards (35-N.Bonitto).
Texas,2Q,3,46,16,2,pass,-2,not successful,,0.38,0.21,0.43,,S.Ehlinger,R.Johnson,K.Murray,,1,,11-S.Ehlinger complete to 2-R.Johnson. 2-R.Johnson to TEX 10 for -2 yards (9-K.Murray).
Texas,2Q,3,47,17,3,pass,14,successful,,0.44,0.27,0.40,,S.Ehlinger,C.Johnson,P.Motley,,1,,11-S.Ehlinger complete to 9-C.Johnson. 9-C.Johnson to TEX 24 for 14 yards (11-P.Motley).
Texas,2Q,3,48,18,1,pass,,not successful,,0.40,0.25,0.38,,S.Ehlinger,J.Smith,,,,,11-S.Ehlinger incomplete. Intended for 16-J.Smith.
Texas,2Q,3,49,19,2,run,-1,not successful,0.00,,0.24,0.41,S.Ehlinger,,,P.Motley,N.Bonitto,0.5,0.5,"11-S.Ehlinger to TEX 23 for -1 yard (11-P.Motley,35-N.Bonitto)."
