team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Tennessee,1Q,1,2,1,1,Normal,run,-1,not successful,0.00,,0.00,1.00,T.Chandler,,,R.Davis,A.Jennings,0.5,0.5,"8-T.Chandler to TEN 14 for -1 yard (99-R.Davis,33-A.Jennings)."
Tennessee,1Q,1,3,2,2,Normal,pass,3,not successful,,0.00,0.00,0.50,,B.Maurer,D.Wood-Anderson,,,,,18-B.Maurer complete to 4-D.Wood-Anderson. 4-D.Wood-Anderson to TEN 17 for 3 yards.
Tennessee,1Q,1,4,3,3,Normal,pass,,not successful,,0.00,0.00,0.33,,B.Maurer,J.Jennings,,,,,18-B.Maurer incomplete. Intended for 15-J.Jennings.
Alabama,1Q,1,7,1,1,Normal,pass,19,explosive,,1.00,1.00,0.00,,T.Tagovailoa,J.Jeudy,K.George,,1,,13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy to TEN 16 for 19 yards (41-K.George).
Alabama,1Q,1,8,2,1,Red Zone,run,6,successful,1.00,,1.00,0.50,N.Harris,,,D.Johnson,T.Jackson,0.5,0.5,"22-N.Harris to TEN 10 for 6 yards (13-D.Johnson,26-T.Jackson)."
Alabama,1Q,1,10,4,2,Red Zone,pass,13,successful,,1.00,1.00,0.33,,T.Tagovailoa,H.Ruggs,,,,,"13-T.Tagovailoa incomplete. Intended for 11-H.Ruggs. Penalty on TEN 20-B.Thompson, Pass interference, 13 yards, enforced at TEN 15. No Play."
Alabama,1Q,1,11,5,1,Red Zone,run,1,successful,1.00,,1.00,0.50,N.Harris,,,S.Shamburger,D.Middleton,0.5,0.5,"22-N.Harris to TEN 1 for 1 yard (12-S.Shamburger,97-D.Middleton)."
Alabama,1Q,1,12,6,2,Red Zone,no play,0,successful,,,1.00,,,,,,,,,"13-T.Tagovailoa incomplete. Intended for 87-M.Forristall. Penalty on TEN 18-N.Warrior, Holding, 0 yards, enforced at TEN 1. No Play."
Alabama,1Q,1,13,7,1,Red Zone,run,1,successful,1.00,,1.00,0.60,N.Harris,,,,,,, 22-N.Harris runs 1 yard for a touchdown.
Tennessee,1Q,2,16,6,1,Normal,pass,5,successful,,0.33,0.25,0.25,,B.Maurer,J.Jennings,J.Mayden,,1,,18-B.Maurer complete to 15-J.Jennings. 15-J.Jennings to TEN 25 for 5 yards (21-J.Mayden).
Tennessee,1Q,2,17,7,2,Normal,run,8,successful,0.50,,0.40,0.40,T.Jordan,,,C.Harris,,1,,9-T.Jordan to TEN 33 for 8 yards (8-C.Harris).
Tennessee,1Q,2,18,8,1,Normal,pass,,not successful,,0.25,0.33,0.33,,B.Maurer,J.Jennings,J.Jennings,,,,"18-B.Maurer incomplete. Intended for 15-J.Jennings, INTERCEPTED by 21-J.Mayden at TEN 42. 21-J.Mayden to TEN 38 for 4 yards (15-J.Jennings)."
Alabama,1Q,2,19,8,1,Normal,pass,14,successful,,1.00,1.00,0.50,,T.Tagovailoa,N.Harris,D.Taylor,,1,,13-T.Tagovailoa complete to 22-N.Harris. 22-N.Harris to TEN 24 for 14 yards (19-D.Taylor).
Alabama,1Q,2,20,9,1,Normal,pass,-2,not successful,,0.75,0.88,0.43,,T.Tagovailoa,H.Ruggs,B.Thompson,,1,,13-T.Tagovailoa complete to 11-H.Ruggs. 11-H.Ruggs to TEN 26 for -2 yards (20-B.Thompson).
Alabama,1Q,2,21,10,2,Normal,pass,9,successful,,0.80,0.89,0.38,,T.Tagovailoa,N.Harris,D.Bituli,,1,,13-T.Tagovailoa complete to 22-N.Harris. 22-N.Harris pushed ob at TEN 17 for 9 yards (35-D.Bituli).
Alabama,1Q,2,22,11,3,Red Zone,pass,15,explosive,,0.83,0.90,0.33,,T.Tagovailoa,J.Jeudy,B.Thompson,,1,,13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy to TEN 2 for 15 yards (20-B.Thompson).
Alabama,1Q,2,23,12,1,Red Zone,pass,,not successful,,0.71,0.82,0.30,,T.Tagovailoa,,H.Ruggs,,,,13-T.Tagovailoa incomplete. INTERCEPTED by 18-N.Warrior at TEN End Zone. 18-N.Warrior to BAMA 41 for 59 yards (11-H.Ruggs).
Tennessee,1Q,3,24,9,1,Normal,run,1,not successful,0.33,,0.29,0.43,T.Jordan,,,T.Lewis,,1,,9-T.Jordan to BAMA 40 for 1 yard (24-T.Lewis).
Tennessee,1Q,3,25,10,2,Normal,run,-1,not successful,0.25,,0.25,0.50,B.Maurer,,,T.Lewis,,1,,18-B.Maurer to BAMA 41 for -1 yard (24-T.Lewis).
Tennessee,1Q,3,26,11,3,Normal,pass,20,explosive,,0.40,0.33,0.44,,B.Maurer,J.Palmer,,,,,"18-B.Maurer complete to 5-J.Palmer. 5-J.Palmer to BAMA 21 for 20 yards. Penalty on BAMA 99-R.Davis, Offside, declined."
Tennessee,1Q,3,27,12,1,Normal,no play,10,successful,,,0.40,,,,,,,,,"18-B.Maurer incomplete. Intended for 4-D.Wood-Anderson. Penalty on BAMA 24-T.Lewis, Holding, 10 yards, enforced at BAMA 21. No Play."
Tennessee,1Q,3,29,14,1,Normal,pass,18,explosive,,0.50,0.45,0.40,,B.Maurer,J.Jennings,C.Harris,X.McKinney,0.5,0.5,"18-B.Maurer complete to 15-J.Jennings. 15-J.Jennings to BAMA 3 for 18 yards (8-C.Harris,15-X.McKinney)."
Tennessee,1Q,3,30,15,2,Red Zone,run,1,not successful,0.20,,0.42,0.45,E.Gray,,,T.Lewis,,1,,3-E.Gray to BAMA 2 for 1 yard (24-T.Lewis).
Tennessee,1Q,3,31,16,3,Red Zone,run,2,successful,0.33,,0.46,0.50,B.Maurer,,,,,,, 18-B.Maurer runs 2 yards for a touchdown.
Alabama,1Q,3,34,13,1,Normal,run,13,successful,1.00,,0.83,0.36,N.Harris,,,T.Jackson,,1,,22-N.Harris to BAMA 48 for 13 yards (26-T.Jackson).
Alabama,1Q,3,35,14,1,Normal,run,5,successful,1.00,,0.85,0.42,N.Harris,,,M.Butler,D.Bituli,0.5,0.5,"22-N.Harris to TEN 47 for 5 yards (94-M.Butler,35-D.Bituli)."
Alabama,1Q,3,36,15,2,Normal,run,5,successful,1.00,,0.86,0.46,N.Harris,,,G.Emerson,,1,,22-N.Harris to TEN 42 for 5 yards (90-G.Emerson).
Alabama,1Q,3,37,16,1,Normal,pass,18,explosive,,0.75,0.87,0.43,,T.Tagovailoa,H.Ruggs,T.Jackson,,1,,13-T.Tagovailoa complete to 11-H.Ruggs. 11-H.Ruggs pushed ob at TEN 24 for 18 yards (26-T.Jackson).
Alabama,1Q,3,38,17,1,Normal,penalty,10,successful,,,0.88,,,,,K.Bennett,A.Taylor,0.5,0.5,"22-N.Harris to TEN 19 for 5 yards (95-K.Bennett,2-A.Taylor). Penalty on TEN 35-D.Bituli, Personal Foul, 10 yards, enforced at TEN 19."
Alabama,1Q,3,39,18,1,Red Zone,run,9,successful,1.00,,0.88,0.47,B.Robinson,,,,,,, 24-B.Robinson runs 9 yards for a touchdown.
Tennessee,1Q,4,43,18,1,Normal,pass,16,explosive,,0.57,0.50,0.46,,B.Maurer,J.Jennings,J.Mayden,X.McKinney,0.5,0.5,"18-B.Maurer complete to 15-J.Jennings. 15-J.Jennings to TEN 36 for 16 yards (21-J.Mayden,15-X.McKinney)."
Tennessee,1Q,4,44,19,1,Normal,run,1,not successful,0.29,,0.47,0.50,T.Jordan,,,T.Lewis,R.Davis,0.5,0.5,"9-T.Jordan to TEN 37 for 1 yard (24-T.Lewis,99-R.Davis)."
Tennessee,1Q,4,45,20,2,Normal,pass,8,successful,,0.63,0.50,0.47,,J.Guarantano,J.Jennings,J.Mayden,,1,,2-J.Guarantano complete to 15-J.Jennings. 15-J.Jennings to TEN 45 for 8 yards (21-J.Mayden).
Tennessee,2Q,5,46,21,3,Normal,run,2,successful,0.38,,0.53,0.50,T.Jordan,,,A.Jennings,,1,,9-T.Jordan to TEN 47 for 2 yards (33-A.Jennings).
Tennessee,2Q,5,47,22,1,Normal,pass,,not successful,,0.56,0.50,0.47,,J.Guarantano,J.Jennings,,,,,2-J.Guarantano incomplete. Intended for 15-J.Jennings.
Tennessee,2Q,5,48,23,2,Normal,run,33,explosive,0.44,,0.53,0.50,T.Jordan,,,P.Surtain,,1,,9-T.Jordan to BAMA 20 for 33 yards (2-P.Surtain).
Tennessee,2Q,5,49,24,1,Normal,run,2,not successful,0.40,,0.50,0.53,J.Guarantano,,,S.Lee,,1,,2-J.Guarantano to BAMA 18 for 2 yards (35-S.Lee).
Tennessee,2Q,5,50,25,2,Red Zone,pass,13,successful,,0.60,0.52,0.50,,J.Guarantano,M.Callaway,,,,,"2-J.Guarantano incomplete. Intended for 1-M.Callaway. Penalty on BAMA 2-P.Surtain, Pass interference, 13 yards, enforced at BAMA 18. No Play."
Tennessee,2Q,5,52,27,1,Red Zone,run,0,not successful,0.36,,0.50,0.52,T.Jordan,,,C.Harris,,1,,9-T.Jordan to BAMA 10 for no gain (8-C.Harris).
Tennessee,2Q,5,53,28,2,Red Zone,pass,-10,not successful,,0.55,0.48,0.50,,J.Guarantano,A.Pope,,,,,"2-J.Guarantano incomplete. Intended for 81-A.Pope. Team penalty on TEN, Ineligible player downfield during passing down, declined. Penalty on TEN 75-J.Carvin, Holding, 10 yards, enforced at BAMA 10. Team penalty on TEN, Holding, declined."
Tennessee,2Q,5,54,29,2,Normal,pass,,not successful,,0.50,0.46,0.48,,J.Guarantano,M.Callaway,,,,,2-J.Guarantano incomplete. Intended for 1-M.Callaway.
Tennessee,2Q,5,55,30,3,Normal,pass,,not successful,,0.46,0.44,0.46,,J.Guarantano,J.Jennings,,,,,2-J.Guarantano incomplete. Intended for 15-J.Jennings.
Alabama,2Q,4,58,19,1,Normal,pass,14,successful,,0.78,0.89,0.44,,T.Tagovailoa,M.Forristall,T.Jackson,,1,,13-T.Tagovailoa complete to 87-M.Forristall. 87-M.Forristall to BAMA 39 for 14 yards (26-T.Jackson).
Alabama,2Q,4,59,20,1,Normal,pass,48,explosive,,0.80,0.89,0.41,,T.Tagovailoa,H.Ruggs,T.Jackson,,1,,13-T.Tagovailoa complete to 11-H.Ruggs. 11-H.Ruggs to TEN 13 for 48 yards (26-T.Jackson).
Alabama,2Q,4,60,21,1,Red Zone,run,-3,not successful,0.88,,0.85,0.44,N.Harris,,,K.Bennett,,1,,22-N.Harris to TEN 16 for -3 yards (95-K.Bennett).
Alabama,2Q,4,61,22,2,Red Zone,pass,8,not successful,,0.73,0.81,0.42,,T.Tagovailoa,B.Robinson,D.Bituli,,1,,13-T.Tagovailoa complete to 24-B.Robinson. 24-B.Robinson to TEN 8 for 8 yards (35-D.Bituli).
Alabama,2Q,4,62,23,3,Red Zone,pass,7,successful,,0.75,0.82,0.40,,T.Tagovailoa,J.Jeudy,D.Bituli,N.Warrior,0.5,0.5,"13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy to TEN 1 for 7 yards (35-D.Bituli,18-N.Warrior)."
Alabama,2Q,4,63,24,3,Red Zone,pass,7,successful,,0.77,0.83,0.38,,T.Tagovailoa,J.Jeudy,D.Bituli,N.Warrior,0.5,0.5,"13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy to TEN 1 for 7 yards (35-D.Bituli,18-N.Warrior)."
Alabama,2Q,4,64,25,1,Red Zone,no play,0,successful,,,0.83,,,,,,,,,"Penalty on TEN 35-D.Bituli, Personal Foul, 0 yards, enforced at TEN 1. No Play."
Alabama,2Q,4,65,26,1,Red Zone,run,1,successful,0.89,,0.84,0.41,N.Harris,,,,,,, 22-N.Harris runs 1 yard for a touchdown.
Tennessee,2Q,6,68,32,1,Normal,pass,,not successful,,0.43,0.42,0.44,,J.Guarantano,,,,,,2-J.Guarantano incomplete.
Tennessee,2Q,6,69,33,2,Normal,run,11,successful,0.42,,0.44,0.46,T.Jordan,,,C.Harris,S.Carter,0.5,0.5,"9-T.Jordan to TEN 35 for 11 yards (8-C.Harris,5-S.Carter)."
Tennessee,2Q,6,70,34,1,Normal,pass,15,successful,,0.47,0.46,0.44,,J.Guarantano,J.Palmer,,,,,"2-J.Guarantano incomplete. Intended for 5-J.Palmer. Penalty on BAMA 7-T.Diggs, Pass interference, 15 yards, enforced at TEN 35. No Play."
Tennessee,2Q,6,71,35,1,Normal,pass,,not successful,,0.44,0.45,0.43,,J.Guarantano,A.Pope,,,,,2-J.Guarantano incomplete. Intended for 81-A.Pope.
Tennessee,2Q,6,72,36,2,Normal,pass,0,not successful,,0.41,0.43,0.41,,J.Guarantano,J.Jennings,J.Mayden,,1,,"2-J.Guarantano complete to 15-J.Jennings. 15-J.Jennings to BAMA 45, FUMBLES (21-J.Mayden). 4-D.Wood-Anderson to BAMA 45 for no gain."
Tennessee,2Q,6,73,37,2,Normal,pass,,not successful,,0.39,0.42,0.40,,J.Guarantano,J.Jennings,,,,,2-J.Guarantano incomplete. Intended for 15-J.Jennings.
Tennessee,2Q,6,74,38,3,Normal,run,1,not successful,0.38,,0.41,0.42,J.Guarantano,,,C.Barmore,,1,,"2-J.Guarantano scrambles, pushed ob at BAMA 49 for 1 yard (58-C.Barmore)."
Alabama,2Q,5,76,27,1,Normal,pass,-5,not successful,,0.71,0.81,0.39,,T.Tagovailoa,,G.Emerson,,1,,13-T.Tagovailoa sacked at BAMA 16 for -5 yards (90-G.Emerson).
Alabama,2Q,5,77,28,2,Normal,pass,5,not successful,,0.67,0.78,0.38,,T.Tagovailoa,B.Robinson,Q.Crouch,,1,,13-T.Tagovailoa complete to 24-B.Robinson. 24-B.Robinson to BAMA 21 for 5 yards (27-Q.Crouch).
Alabama,2Q,5,78,29,3,Normal,pass,13,successful,,0.69,0.79,0.36,,M.Jones,J.Waddle,K.Bennett,J.McCollough,0.5,0.5,"10-M.Jones complete to 17-J.Waddle. 17-J.Waddle to BAMA 34 for 13 yards (95-K.Bennett,22-J.McCollough)."
Alabama,2Q,5,79,30,1,Normal,run,3,not successful,0.80,,0.76,0.38,N.Harris,,,J.Mincey,K.Bennett,0.5,0.5,"22-N.Harris to BAMA 37 for 3 yards (99-J.Mincey,95-K.Bennett)."
Alabama,2Q,5,80,31,2,Normal,pass,,not successful,,0.65,0.73,0.37,,M.Jones,M.Tennison,,,,,10-M.Jones incomplete. Intended for 88-M.Tennison.
Alabama,2Q,5,81,32,3,Normal,pass,-10,not successful,,0.61,0.71,0.36,,M.Jones,,J.McCollough,,1,,10-M.Jones sacked at BAMA 27 for -10 yards (22-J.McCollough).
Tennessee,2Q,7,83,40,1,Normal,pass,1,not successful,,0.37,0.39,0.41,,J.Guarantano,T.Chandler,J.Mayden,,1,,2-J.Guarantano complete to 8-T.Chandler. 8-T.Chandler to TEN 41 for 1 yard (21-J.Mayden).
Tennessee,2Q,7,84,41,2,Normal,run,7,successful,0.43,,0.41,0.42,T.Jordan,,,T.Lewis,T.Diggs,0.5,0.5,"9-T.Jordan to TEN 48 for 7 yards (24-T.Lewis,7-T.Diggs)."
Tennessee,2Q,7,85,42,3,Normal,pass,-3,not successful,,0.35,0.40,0.41,,J.Guarantano,,S.Lee,,1,,2-J.Guarantano sacked at TEN 45 for -3 yards (35-S.Lee).
