team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Arkansas,1Q,1,2,1,1,Normal,run,1,not successful,0.00,,0.00,1.00,R.Boyd,,,D.Dale,,1,,5-R.Boyd to ARK 26 for 1 yard (94-D.Dale).
Arkansas,1Q,1,3,2,2,Normal,run,2,not successful,0.00,,0.00,1.00,R.Boyd,,,C.Harris,S.Lee,0.5,0.5,"5-R.Boyd to ARK 28 for 2 yards (8-C.Harris,35-S.Lee)."
Arkansas,1Q,1,4,3,3,Normal,pass,22,explosive,,1.00,0.33,0.67,,N.Starkel,R.Boyd,D.Wright,T.Diggs,0.5,0.5,"17-N.Starkel complete to 5-R.Boyd. 5-R.Boyd to BAMA 50 for 22 yards (3-D.Wright,7-T.Diggs)."
Arkansas,1Q,1,5,4,1,Normal,pass,,not successful,,0.50,0.25,0.50,,N.Starkel,D.Whaley,,,,,17-N.Starkel incomplete. Intended for 21-D.Whaley.
Arkansas,1Q,1,6,5,2,Normal,run,2,not successful,0.00,,0.20,0.60,D.Whaley,,,C.Harris,,1,,21-D.Whaley to BAMA 48 for 2 yards (8-C.Harris).
Arkansas,1Q,1,7,6,3,Normal,pass,,not successful,,0.33,0.17,0.50,,N.Starkel,D.Whaley,,,,,17-N.Starkel incomplete. Intended for 21-D.Whaley.
Alabama,1Q,1,9,1,1,Normal,run,3,not successful,0.00,,0.00,1.00,N.Harris,,,T.Smith,M.Soli,0.5,0.5,"22-N.Harris to BAMA 21 for 3 yards (52-T.Smith,11-M.Soli)."
Alabama,1Q,1,10,2,2,Normal,pass,14,successful,,1.00,0.50,0.50,,M.Jones,J.Jeudy,D.Harris,,1,,10-M.Jones complete to 4-J.Jeudy. 4-J.Jeudy to BAMA 35 for 14 yards (8-D.Harris).
Alabama,1Q,1,11,3,1,Normal,run,3,not successful,0.00,,0.33,0.67,N.Harris,,,G.Richardson,,1,,22-N.Harris to BAMA 38 for 3 yards (6-G.Richardson).
Alabama,1Q,1,12,4,2,Normal,pass,6,successful,,1.00,0.50,0.50,,M.Jones,D.Smith,H.Henry,D.Harris,0.5,0.5,"10-M.Jones complete to 6-D.Smith. 6-D.Smith to BAMA 44 for 6 yards (27-H.Henry,8-D.Harris)."
Alabama,1Q,1,13,5,3,Normal,run,5,successful,0.33,,0.60,0.60,N.Harris,,,K.Curl,J.McClellion,0.5,0.5,"22-N.Harris to BAMA 49 for 5 yards (2-K.Curl,4-J.McClellion)."
Alabama,1Q,1,14,6,1,Normal,run,13,successful,0.50,,0.67,0.67,N.Harris,,,J.Bell,,1,,22-N.Harris to ARK 38 for 13 yards (86-J.Bell).
Alabama,1Q,1,15,7,1,Normal,run,4,not successful,0.40,,0.57,0.71,N.Harris,,,J.Foucha,,1,,22-N.Harris pushed ob at ARK 34 for 4 yards (7-J.Foucha).
Alabama,1Q,1,16,8,2,Normal,pass,0,not successful,,0.67,0.50,0.63,,M.Jones,M.Forristall,K.Curl,G.Brooks,0.5,0.5,"10-M.Jones complete to 87-M.Forristall. 87-M.Forristall to ARK 34 for no gain (2-K.Curl,9-G.Brooks)."
Alabama,1Q,1,17,9,3,Normal,pass,8,successful,,0.75,0.56,0.56,,M.Jones,J.Jeudy,J.Foucha,,1,,10-M.Jones complete to 4-J.Jeudy. 4-J.Jeudy pushed ob at ARK 26 for 8 yards (7-J.Foucha).
Alabama,1Q,1,18,10,1,Normal,pass,11,successful,,0.80,0.60,0.50,,M.Jones,M.Forristall,D.Harris,,1,,10-M.Jones complete to 87-M.Forristall. 87-M.Forristall pushed ob at ARK 15 for 11 yards (8-D.Harris).
Alabama,1Q,1,19,11,1,Red Zone,run,1,not successful,0.33,,0.55,0.55,B.Robinson,,,J.Foucha,,1,,24-B.Robinson to ARK 14 for 1 yard (7-J.Foucha).
