team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Alabama,1Q,1,2,1,1,Normal,pass,4,not successful,,0.00,0.00,0.00,,T.Tagovailoa,H.Ruggs,E.Thompson,B.Cole,0.5,0.5,"13-T.Tagovailoa complete to 11-H.Ruggs. 11-H.Ruggs to BAMA 49 for 4 yards (40-E.Thompson,32-B.Cole)."
Alabama,1Q,1,4,3,2,Normal,run,1,not successful,0.00,,0.00,0.50,N.Harris,,,C.Rivers,J.Crumedy,0.5,0.5,"22-N.Harris to BAMA 45 for 1 yard (5-C.Rivers,84-J.Crumedy)."
Alabama,1Q,1,5,4,3,Normal,pass,37,explosive,,0.50,0.33,0.33,,T.Tagovailoa,J.Jeudy,B.Cole,,1,,13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy to MSST 18 for 37 yards (32-B.Cole).
Alabama,1Q,1,6,5,1,Normal,run,8,successful,0.50,,0.50,0.50,N.Harris,,,T.Williams,,1,,22-N.Harris to MSST 10 for 8 yards (13-T.Williams).
Alabama,1Q,1,7,6,2,Normal,run,10,successful,0.67,,0.60,0.60,N.Harris,,,,,,, 22-N.Harris runs 10 yards for a touchdown.
Mississippi State,1Q,1,10,1,1,Normal,pass,,not successful,,0.00,0.00,0.00,,T.Stevens,F.Green,T.Stevens,K.Hill,,,"7-T.Stevens incomplete. Intended for 82-F.Green, INTERCEPTED by 35-S.Lee at MSST 29. 35-S.Lee to MSST 19 for 10 yards (7-T.Stevens,8-K.Hill)."
Alabama,1Q,2,11,7,1,Normal,pass,19,explosive,,0.67,0.67,0.50,,T.Tagovailoa,N.Harris,,,,, 13-T.Tagovailoa complete to 22-N.Harris. 22-N.Harris runs 19 yards for a touchdown.
Mississippi State,1Q,2,14,2,1,Normal,run,7,successful,1.00,,0.50,0.50,K.Hill,,,A.Jennings,,1,,8-K.Hill to MSST 32 for 7 yards (33-A.Jennings).
Mississippi State,1Q,2,15,3,2,Normal,run,27,explosive,1.00,,0.67,0.67,T.Stevens,,,X.McKinney,,1,,7-T.Stevens to BAMA 41 for 27 yards (15-X.McKinney).
Mississippi State,1Q,2,16,4,1,Normal,run,3,not successful,0.67,,0.50,0.75,K.Hill,,,S.Lee,X.McKinney,0.5,0.5,"8-K.Hill to BAMA 38 for 3 yards (35-S.Lee,15-X.McKinney)."
Mississippi State,1Q,2,17,5,2,Normal,run,1,not successful,0.50,,0.40,0.80,K.Hill,,,C.Harris,,1,,8-K.Hill to BAMA 37 for 1 yard (8-C.Harris).
Mississippi State,1Q,2,19,7,1,Normal,pass,19,explosive,,0.50,0.50,0.67,,T.Stevens,K.Hill,,,,,7-T.Stevens complete to 8-K.Hill. 8-K.Hill pushed ob at BAMA 3 for 19 yards.
Mississippi State,1Q,2,20,8,1,Normal,run,2,successful,0.60,,0.57,0.71,K.Hill,,,S.Lee,P.Mathis,0.5,0.5,"8-K.Hill to BAMA 1 for 2 yards (35-S.Lee,48-P.Mathis)."
Mississippi State,1Q,2,21,9,2,Normal,run,1,successful,0.67,,0.63,0.75,K.Hill,,,,,,,8-K.Hill runs 1 yard for a touchdown.
Mississippi State,1Q,2,22,10,2,Normal,run,0,not successful,0.57,,0.56,0.78,K.Hill,,,S.Lee,,1,,8-K.Hill to BAMA 1 for no gain (35-S.Lee).
Mississippi State,1Q,2,23,11,3,Normal,run,1,successful,0.63,,0.60,0.80,K.Hill,,,,,,, 8-K.Hill runs 1 yard for a touchdown.
Alabama,1Q,3,26,8,1,Normal,pass,-8,not successful,,0.50,0.57,0.43,,T.Tagovailoa,,N.Pickering,E.Thompson,0.5,0.5,"13-T.Tagovailoa sacked at BAMA 22 for -8 yards (22-N.Pickering,40-E.Thompson)."
Alabama,1Q,3,28,10,1,Normal,run,14,successful,0.75,,0.63,0.50,N.Harris,,,C.Dantzler,,1,,22-N.Harris pushed ob at BAMA 44 for 14 yards (3-C.Dantzler).
Alabama,1Q,3,29,11,1,Normal,run,0,not successful,0.60,,0.56,0.56,N.Harris,,,C.Morgan,,1,,22-N.Harris to BAMA 44 for no gain (29-C.Morgan).
Alabama,1Q,3,30,12,2,Normal,run,1,not successful,0.50,,0.50,0.60,N.Harris,,,C.Rivers,B.Cole,0.5,0.5,"22-N.Harris to BAMA 45 for 1 yard (5-C.Rivers,32-B.Cole)."
Alabama,1Q,3,31,13,3,Normal,pass,15,explosive,,0.60,0.55,0.55,,T.Tagovailoa,J.Jeudy,C.Morgan,,1,,13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy pushed ob at MSST 40 for 15 yards (29-C.Morgan).
Alabama,1Q,3,32,14,1,Normal,pass,15,successful,,0.67,0.58,0.50,,T.Tagovailoa,J.Jeudy,J.Landrews,,1,,"13-T.Tagovailoa complete to 4-J.Jeudy. 4-J.Jeudy to MSST 4 for 36 yards (11-J.Landrews). Penalty on BAMA 4-J.Jeudy, Facemasking, 15 yards, enforced at MSST 4."
Alabama,1Q,3,33,15,1,Normal,run,-2,not successful,0.43,,0.54,0.54,N.Harris,,,M.Spencer,,1,,22-N.Harris to MSST 21 for -2 yards (42-M.Spencer).
Alabama,1Q,3,35,17,2,Normal,pass,23,explosive,,0.71,0.57,0.50,,T.Tagovailoa,N.Harris,C.Morgan,E.Thompson,0.5,0.5,"13-T.Tagovailoa complete to 22-N.Harris. 22-N.Harris pushed ob at MSST 14 for 23 yards (29-C.Morgan,40-E.Thompson)."
Alabama,1Q,3,37,19,1,Normal,pass,0,not successful,,0.63,0.53,0.47,,T.Tagovailoa,D.Smith,T.Williams,,1,,"13-T.Tagovailoa complete to 6-D.Smith. 6-D.Smith to MSST 5, FUMBLES (13-T.Williams). 11-H.Ruggs to MSST 5 for no gain."
Alabama,1Q,3,38,20,2,Normal,run,5,successful,0.50,,0.56,0.50,N.Harris,,,,,,, 22-N.Harris runs 5 yards for a touchdown.
Mississippi State,1Q,3,41,12,1,Normal,pass,10,successful,,0.67,0.64,0.73,,T.Stevens,D.Thomas,S.Carter,X.McKinney,0.5,0.5,"7-T.Stevens complete to 2-D.Thomas. 2-D.Thomas to MSST 26 for 1 yard (5-S.Carter,15-X.McKinney). Penalty on MSST 5-O.Mitchell, Holding, 10 yards, enforced at MSST 26."
Mississippi State,1Q,3,42,13,1,Red Zone,pass,-1,not successful,,0.50,0.58,0.67,,T.Stevens,N.Gibson,S.Carter,,1,,7-T.Stevens complete to 21-N.Gibson. 21-N.Gibson to MSST 15 for -1 yard (5-S.Carter).
Mississippi State,1Q,3,43,14,2,Red Zone,pass,,not successful,,0.40,0.54,0.62,,T.Stevens,O.Mitchell,,,,,7-T.Stevens incomplete. Intended for 5-O.Mitchell.
