team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Alabama,1Q,1,2,1,1,Normal,pass,8,successful,,1.00,1.00,0.00,,M.Jones,D.Smith,R.Jones,,1,,10-M.Jones complete to 6-D.Smith. 6-D.Smith to WC 49 for 8 yards (17-R.Jones).
Alabama,1Q,1,3,2,2,Normal,run,3,successful,1.00,,1.00,0.50,N.Harris,,,C.Gadie,,1,,22-N.Harris to WC 46 for 3 yards (7-C.Gadie).
Alabama,1Q,1,4,3,1,Normal,run,6,successful,1.00,,1.00,0.67,N.Harris,,,R.Jones,,1,,22-N.Harris to WC 40 for 6 yards (17-R.Jones).
Alabama,1Q,1,5,4,2,Normal,pass,16,explosive,,1.00,1.00,0.50,,M.Jones,D.Smith,,,,,"10-M.Jones incomplete. Intended for 6-D.Smith. Penalty on WC 22-J.White, Pass interference, 16 yards, enforced at WC 40. No Play."
Alabama,1Q,1,6,5,1,Normal,pass,10,successful,,1.00,1.00,0.40,,M.Jones,J.Waddle,C.Gadie,J.Pauling,0.5,0.5,"10-M.Jones complete to 17-J.Waddle. 17-J.Waddle to WC 14 for 10 yards (7-C.Gadie,29-J.Pauling)."
Alabama,1Q,1,7,6,1,Red Zone,run,0,not successful,0.67,,0.83,0.50,N.Harris,,,T.Stevenson,,1,,22-N.Harris to WC 14 for no gain (68-T.Stevenson).
Alabama,1Q,1,8,7,2,Red Zone,run,3,not successful,0.50,,0.71,0.57,N.Harris,,,T.Harris,,1,,22-N.Harris to WC 11 for 3 yards (37-T.Harris).
Alabama,1Q,1,9,8,3,Red Zone,pass,,not successful,,0.75,0.63,0.50,,M.Jones,M.Tennison,,,,,10-M.Jones incomplete. Intended for 88-M.Tennison.
Western Carolina,1Q,1,12,1,1,Normal,run,1,not successful,0.00,,0.00,1.00,D.Spencer,,,C.Barmore,S.Lee,0.5,0.5,"20-D.Spencer to WC 26 for 1 yard (58-C.Barmore,35-S.Lee)."
Western Carolina,1Q,1,13,2,2,Normal,pass,28,explosive,,1.00,0.50,0.50,,T.Adams,C.Bardall,J.Mayden,,1,,12-T.Adams complete to 86-C.Bardall. 86-C.Bardall to BAMA 46 for 28 yards (21-J.Mayden).
Western Carolina,1Q,1,14,3,1,Normal,run,2,not successful,0.00,,0.33,0.67,D.Spencer,,,T.Musika,,1,,20-D.Spencer to BAMA 44 for 2 yards (91-T.Musika).
Western Carolina,1Q,1,15,4,2,Normal,pass,,not successful,,0.50,0.25,0.50,,T.Adams,D.Spencer,,,,,"12-T.Adams incomplete. Intended for 20-D.Spencer, INTERCEPTED by 15-X.McKinney at BAMA 24. 15-X.McKinney to BAMA 21 for -3 yards."
Alabama,1Q,2,16,10,1,Normal,pass,,not successful,,0.60,0.56,0.44,,M.Jones,J.Jeudy,,,,,10-M.Jones incomplete. Intended for 4-J.Jeudy.
Alabama,1Q,2,17,11,2,Normal,run,22,explosive,0.60,,0.60,0.50,N.Harris,,,M.Murphy,T.Harris,0.5,0.5,"22-N.Harris to BAMA 43 for 22 yards (30-M.Murphy,37-T.Harris)."
Alabama,1Q,2,18,12,1,Normal,pass,57,explosive,,0.67,0.64,0.45,,M.Jones,D.Smith,,,,, 10-M.Jones complete to 6-D.Smith. 6-D.Smith runs 57 yards for a touchdown.
