team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Ohio State,1Q,1,2,1,1,Normal,pass,9,successful,,1.00,1.00,0.00,,J.Fields,K.Hill,J.Skalski,,1,,1-J.Fields complete to 14-K.Hill. 14-K.Hill to OSU 34 for 9 yards (47-J.Skalski).
Ohio State,1Q,1,3,2,2,Normal,pass,8,successful,,1.00,1.00,0.00,,J.Fields,B.Victor,D.Kendrick,,1,,1-J.Fields complete to 9-B.Victor. 9-B.Victor to OSU 42 for 8 yards (1-D.Kendrick).
Ohio State,1Q,1,4,3,1,Normal,run,4,not successful,0.00,,0.67,0.33,J.Dobbins,,,J.Foster,,1,,2-J.Dobbins to OSU 46 for 4 yards (35-J.Foster).
Ohio State,1Q,1,5,4,2,Normal,pass,11,successful,,1.00,0.75,0.25,,J.Fields,L.Farrell,J.Skalski,,1,,1-J.Fields complete to 89-L.Farrell. 89-L.Farrell to CLE 43 for 11 yards (47-J.Skalski).
Ohio State,1Q,1,6,5,1,Normal,pass,16,explosive,,1.00,0.80,0.20,,J.Fields,C.Olave,C.Smith,,1,,1-J.Fields complete to 17-C.Olave. 17-C.Olave to CLE 27 for 16 yards (43-C.Smith).
Ohio State,1Q,1,7,6,1,Normal,pass,5,successful,,1.00,0.83,0.17,,J.Fields,G.Wilson,,,,,"1-J.Fields incomplete. Intended for 5-G.Wilson. Team penalty on CLE, Offside, 5 yards, enforced at CLE 27."
Ohio State,1Q,1,8,7,1,Normal,pass,22,explosive,,1.00,0.86,0.14,,J.Fields,G.Wilson,D.Kendrick,,1,,"1-J.Fields complete to 5-G.Wilson. 5-G.Wilson to CLE 5 for 22 yards (1-D.Kendrick). Team penalty on CLE, Offside, declined."
Ohio State,1Q,1,9,8,1,Red Zone,pass,-2,not successful,,0.86,0.75,0.13,,J.Fields,J.Dobbins,D.Kendrick,,1,,1-J.Fields complete to 2-J.Dobbins. 2-J.Dobbins to CLE 7 for -2 yards (1-D.Kendrick).
Ohio State,1Q,1,10,9,2,Red Zone,run,3,not successful,0.00,,0.67,0.22,J.Dobbins,,,C.Smith,,1,,2-J.Dobbins to CLE 4 for 3 yards (43-C.Smith).
Ohio State,1Q,1,11,10,3,Red Zone,pass,,not successful,,0.75,0.60,0.20,,J.Fields,C.Olave,,,,,1-J.Fields incomplete. Intended for 17-C.Olave.
Clemson,1Q,1,14,1,1,Normal,run,8,successful,1.00,,1.00,1.00,T.Etienne,,,J.Okudah,,1,,9-T.Etienne to CLE 33 for 8 yards (1-J.Okudah).
Clemson,1Q,1,15,2,2,Normal,pass,21,explosive,,1.00,1.00,0.50,,T.Lawrence,T.Higgins,J.Fuller,,1,,16-T.Lawrence complete to 5-T.Higgins. 5-T.Higgins to OSU 46 for 21 yards (4-J.Fuller).
Clemson,1Q,1,16,3,1,Normal,run,0,not successful,0.50,,0.67,0.67,T.Lawrence,,,M.Harrison,,1,,16-T.Lawrence to OSU 46 for no gain (39-M.Harrison).
Clemson,1Q,1,18,5,2,Normal,pass,3,not successful,,0.50,0.50,0.50,,T.Lawrence,D.Overton,J.Okudah,,1,,16-T.Lawrence complete to 14-D.Overton. 14-D.Overton to OSU 38 for 3 yards (1-J.Okudah).
Clemson,1Q,1,19,6,3,Normal,run,3,successful,0.67,,0.60,0.60,T.Lawrence,,,,,,,16-T.Lawrence to OSU 35 for 3 yards.
Clemson,1Q,1,20,7,1,Normal,pass,3,not successful,,0.33,0.50,0.50,,T.Lawrence,J.Ross,D.Arnette,,1,,16-T.Lawrence complete to 8-J.Ross. 8-J.Ross to OSU 32 for 3 yards (3-D.Arnette).
Clemson,1Q,1,21,8,2,Normal,pass,,not successful,,0.25,0.43,0.43,,T.Lawrence,J.Ross,,,,,16-T.Lawrence incomplete. Intended for 8-J.Ross.
Clemson,1Q,1,22,9,3,Normal,pass,,not successful,,0.20,0.38,0.38,,T.Lawrence,D.Overton,,,,,16-T.Lawrence incomplete. Intended for 14-D.Overton.
Ohio State,1Q,2,24,12,1,Normal,run,68,explosive,0.33,,0.64,0.27,J.Dobbins,,,,,,, 2-J.Dobbins runs 68 yards for a touchdown.
Clemson,1Q,2,27,11,1,Normal,run,0,not successful,0.50,,0.33,0.44,T.Etienne,,,M.Harrison,,1,,9-T.Etienne to CLE 22 for no gain (39-M.Harrison).
Clemson,1Q,2,28,12,2,Normal,pass,,not successful,,0.17,0.30,0.40,,T.Lawrence,T.Etienne,,,,,16-T.Lawrence incomplete. Intended for 9-T.Etienne.
