team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Minnesota,1Q,1,2,1,1,Normal,run,-1,not successful,0.00,,0.00,1.00,R.Smith,,,K.Britt,,1,,1-R.Smith to MIN 24 for -1 yard (33-K.Britt).
Minnesota,1Q,1,3,2,2,Normal,run,9,successful,0.50,,0.50,1.00,R.Smith,,,J.Dinson,,1,,1-R.Smith to MIN 33 for 9 yards (20-J.Dinson).
Minnesota,1Q,1,4,3,3,Normal,pass,,not successful,,0.00,0.33,0.67,,T.Morgan,T.Johnson,T.Johnson,,,,"2-T.Morgan incomplete. Intended for 6-T.Johnson, INTERCEPTED by 13-J.Davis at MIN 36. 13-J.Davis to MIN 12 for 24 yards (6-T.Johnson)."
Auburn,1Q,1,5,1,1,Red Zone,run,3,not successful,0.00,,0.00,1.00,S.Shivers,,,W.DeLattiboudere,,1,,8-S.Shivers to MIN 9 for 3 yards (46-W.DeLattiboudere).
Auburn,1Q,1,6,2,2,Red Zone,run,3,not successful,0.00,,0.00,1.00,D.Williams,,,A.Winfield,,1,,3-D.Williams to MIN 6 for 3 yards (11-A.Winfield).
Auburn,1Q,1,7,3,3,Red Zone,pass,,not successful,,0.00,0.00,0.67,,B.Nix,S.Williams,,,,,10-B.Nix incomplete. Intended for 18-S.Williams.
Minnesota,1Q,2,10,4,1,Normal,pass,13,successful,,0.50,0.50,0.50,,T.Morgan,R.Bateman,J.Dinson,,1,,2-T.Morgan complete to 13-R.Bateman. 13-R.Bateman to MIN 38 for 13 yards (20-J.Dinson).
Minnesota,1Q,2,12,6,1,Normal,pass,17,explosive,,0.67,0.60,0.40,,T.Morgan,T.Johnson,D.Thomas,,1,,2-T.Morgan complete to 6-T.Johnson. 6-T.Johnson to MIN 50 for 17 yards (24-D.Thomas).
Minnesota,1Q,2,13,7,1,Normal,run,1,not successful,0.33,,0.50,0.50,S.Green,,,O.Pappoe,,1,,17-S.Green to AUB 49 for 1 yard (10-O.Pappoe).
Minnesota,1Q,2,14,8,2,Normal,run,14,successful,0.50,,0.57,0.57,M.Ibrahim,,,J.Sherwood,O.Pappoe,0.5,0.5,"24-M.Ibrahim to AUB 35 for 14 yards (9-J.Sherwood,10-O.Pappoe)."
