team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Alabama,1Q,1,2,1,1,Normal,pass,,not successful,,0.00,0.00,0.00,,M.Jones,J.Waddle,,,,, 10-M.Jones incomplete. Intended for 17-J.Waddle. 
Alabama,1Q,1,3,2,2,Normal,run,6,not successful,0.00,,0.00,0.50,N.Harris,,,J.Bledsoe,,1,, 22-N.Harris to BAMA 31 for 6 yards (1-J.Bledsoe). 
Alabama,1Q,1,4,3,3,Normal,pass,,not successful,,0.00,0.00,0.33,,M.Jones,D.Smith,,,,, 10-M.Jones incomplete. Intended for 6-D.Smith. 
Missouri,1Q,1,6,1,1,Normal,run,0,not successful,0.00,,0.00,1.00,D.Hazelton,,,J.Battle,,1,, 7-D.Hazelton to MIZ 36 for no gain (9-J.Battle). 
Missouri,1Q,1,7,2,2,Normal,pass,,not successful,,0.00,0.00,0.50,,S.Robinson,D.Hazelton,,,,, 3-S.Robinson incomplete. Intended for 7-D.Hazelton. 
Missouri,1Q,1,8,3,3,Normal,pass,-10,not successful,,0.00,0.00,0.33,,S.Robinson,,C.Harris,,1,, 3-S.Robinson sacked at MIZ 26 for -10 yards (8-C.Harris). 
Alabama,1Q,2,10,5,1,Normal,pass,3,not successful,,0.00,0.00,0.25,,M.Jones,J.Waddle,T.Gillespie,,1,, 10-M.Jones complete to 17-J.Waddle. 17-J.Waddle to BAMA 37 for 3 yards (9-T.Gillespie). 
Alabama,1Q,2,11,6,2,Normal,pass,20,explosive,,0.25,0.20,0.20,,M.Jones,J.Metchie,E.Rakestraw,,1,, 10-M.Jones complete to 8-J.Metchie. 8-J.Metchie to MIZ 43 for 20 yards (2-E.Rakestraw). 
Alabama,1Q,2,12,7,1,Normal,run,-2,not successful,0.00,,0.17,0.33,N.Harris,,,N.Bolton,,1,, 22-N.Harris to MIZ 45 for -2 yards (32-N.Bolton). 
Alabama,1Q,2,13,8,2,Normal,run,11,successful,0.33,,0.29,0.43,N.Harris,,,T.Gillespie,D.Nicholson,0.5,0.5," 22-N.Harris to MIZ 34 for 11 yards (9-T.Gillespie,11-D.Nicholson). "
Alabama,1Q,2,14,9,3,Normal,run,4,successful,0.50,,0.38,0.50,M.Jones,,,J.Bledsoe,,1,, 10-M.Jones to MIZ 30 for 4 yards (1-J.Bledsoe). 
Alabama,1Q,2,15,10,1,Normal,pass,,not successful,,0.20,0.33,0.44,,M.Jones,D.Smith,,,,, 10-M.Jones incomplete. Intended for 6-D.Smith. 
Alabama,1Q,2,16,11,2,Normal,run,13,successful,0.60,,0.40,0.50,N.Harris,,,T.Gillespie,N.Bolton,0.5,0.5," 22-N.Harris pushed ob at MIZ 17 for 13 yards (9-T.Gillespie,32-N.Bolton). "
Alabama,1Q,2,17,12,1,Red Zone,run,5,successful,0.67,,0.45,0.55,N.Harris,,,D.Robinson,,1,, 22-N.Harris to MIZ 12 for 5 yards (6-D.Robinson). 
Alabama,1Q,2,18,13,2,Red Zone,pass,7,successful,,0.33,0.50,0.50,,M.Jones,D.Smith,T.Gillespie,,1,, 10-M.Jones complete to 6-D.Smith. 6-D.Smith pushed ob at MIZ 5 for 7 yards (9-T.Gillespie). 
Alabama,1Q,2,19,14,1,Red Zone,run,2,not successful,0.57,,0.46,0.54,N.Harris,,,T.Gillespie,,1,, 22-N.Harris to MIZ 3 for 2 yards (9-T.Gillespie). 
Alabama,1Q,2,20,15,2,Red Zone,run,2,not successful,0.50,,0.43,0.57,N.Harris,,,D.Nicholson,,1,, 22-N.Harris to MIZ 1 for 2 yards (11-D.Nicholson). 
Alabama,1Q,2,21,16,3,Red Zone,run,1,successful,0.56,,0.47,0.60,N.Harris,,,,,,, 22-N.Harris runs 1 yard for a touchdown. 
Missouri,1Q,2,24,5,1,Normal,pass,23,explosive,,0.33,0.25,0.25,,S.Robinson,J.Knox,J.Moody,,1,, 3-S.Robinson complete to 9-J.Knox. 9-J.Knox to MIZ 48 for 23 yards (42-J.Moody). 
Missouri,1Q,2,25,6,1,Normal,run,11,successful,0.50,,0.40,0.40,L.Rountree,,,L.Ray,,1,, 34-L.Rountree to BAMA 41 for 11 yards (18-L.Ray). 
Missouri,1Q,2,27,8,1,Normal,pass,11,successful,,0.50,0.50,0.33,,S.Robinson,J.Knox,M.Moore,,1,, 3-S.Robinson complete to 9-J.Knox. 9-J.Knox to BAMA 35 for 11 yards (13-M.Moore). 
Missouri,1Q,2,28,9,2,Normal,pass,,not successful,,0.40,0.43,0.29,,S.Robinson,T.Badie,,,,, 3-S.Robinson incomplete. Intended for 1-T.Badie. 
Missouri,1Q,2,29,10,3,Normal,pass,2,not successful,,0.33,0.38,0.25,,S.Robinson,D.Hazelton,J.Jobe,,1,, 3-S.Robinson complete to 7-D.Hazelton. 7-D.Hazelton to BAMA 33 for 2 yards (28-J.Jobe). 
Missouri,1Q,2,30,11,4,Normal,run,-1,not successful,0.33,,0.33,0.33,L.Rountree,,,D.Moses,,1,, 34-L.Rountree to BAMA 34 for -1 yard (32-D.Moses). 
Alabama,1Q,3,31,17,1,Normal,pass,46,explosive,,0.43,0.50,0.56,,M.Jones,J.Waddle,T.Gillespie,,1,, 10-M.Jones complete to 17-J.Waddle. 17-J.Waddle to MIZ 20 for 46 yards (9-T.Gillespie). 
