team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Texas A&M,1Q,1,2,1,1,Normal,pass,14,successful,,1.00,1.00,0.00,,K.Mond,J.Preston,P.Surtain,D.Wright,0.5,0.5," 11-K.Mond complete to 5-J.Preston. 5-J.Preston to TXAM 39 for 14 yards (2-P.Surtain,3-D.Wright). "
Texas A&M,1Q,1,3,2,1,Normal,pass,9,successful,,1.00,1.00,0.00,,K.Mond,K.Brown,M.Moore,,1,, 11-K.Mond complete to 18-K.Brown. 18-K.Brown to TXAM 48 for 9 yards (13-M.Moore). 
Texas A&M,1Q,1,4,3,2,Normal,run,5,successful,1.00,,1.00,0.33,I.Spiller,,,J.Jobe,,1,, 28-I.Spiller to BAMA 47 for 5 yards (28-J.Jobe). 
Texas A&M,1Q,1,5,4,1,Normal,run,6,successful,1.00,,1.00,0.50,I.Spiller,,,J.Jobe,,1,, 28-I.Spiller to BAMA 41 for 6 yards (28-J.Jobe). 
Texas A&M,1Q,1,6,5,2,Normal,pass,6,successful,,1.00,1.00,0.40,,K.Mond,J.Wydermyer,C.Harris,,1,, 11-K.Mond complete to 85-J.Wydermyer. 85-J.Wydermyer to BAMA 35 for 6 yards (8-C.Harris). 
Texas A&M,1Q,1,7,6,1,Normal,pass,,not successful,,0.75,0.83,0.33,,K.Mond,C.Lane,,,,, 11-K.Mond incomplete. Intended for 2-C.Lane. 
Texas A&M,1Q,1,8,7,2,Normal,run,14,successful,1.00,,0.86,0.43,A.Smith,,,J.Jobe,,1,, 0-A.Smith to BAMA 21 for 14 yards (28-J.Jobe). 
Texas A&M,1Q,1,9,8,1,Normal,pass,1,not successful,,0.60,0.75,0.38,,K.Mond,A.Smith,J.Battle,M.Moore,0.5,0.5," 11-K.Mond complete to 0-A.Smith. 0-A.Smith to BAMA 20 for 1 yard (9-J.Battle,13-M.Moore). "
Texas A&M,1Q,1,10,9,2,Normal,pass,,not successful,,0.50,0.67,0.33,,K.Mond,C.Lane,,,,, 11-K.Mond incomplete. Intended for 2-C.Lane. 
Texas A&M,1Q,1,11,10,3,Normal,pass,,not successful,,0.43,0.60,0.30,,K.Mond,J.Preston,,,,, 11-K.Mond incomplete. Intended for 5-J.Preston. 
Alabama,1Q,1,13,1,1,Normal,run,6,successful,1.00,,1.00,1.00,N.Harris,,,M.Jones,,1,, 22-N.Harris to BAMA 26 for 6 yards (0-M.Jones). 
Alabama,1Q,1,15,3,2,Normal,run,1,not successful,0.50,,0.50,1.00,N.Harris,,,B.Johnson,,1,, 22-N.Harris to BAMA 22 for 1 yard (1-B.Johnson). 
Alabama,1Q,1,16,4,3,Normal,pass,78,explosive,,1.00,0.67,0.67,,M.Jones,J.Metchie,,,,, 10-M.Jones complete to 8-J.Metchie. 8-J.Metchie runs 78 yards for a touchdown. 
