team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Alabama,1Q,1,2,1,1,Normal,pass,,not successful,,0.00,0.00,0.00,,M.Jones,,,,,, 10-M.Jones incomplete. INTERCEPTED by 2-R.LeCounte at BAMA 41. 2-R.LeCounte to BAMA 41 for no gain. 
Georgia,1Q,1,3,1,1,Normal,pass,10,successful,,1.00,1.00,0.00,,S.Bennett,T.McKitty,D.Wright,,1,, 13-S.Bennett complete to 87-T.McKitty. 87-T.McKitty to BAMA 31 for 10 yards (3-D.Wright). 
Georgia,1Q,1,4,2,1,Normal,pass,,not successful,,0.50,0.50,0.00,,S.Bennett,G.Pickens,,,,, 13-S.Bennett incomplete. Intended for 1-G.Pickens. 
Georgia,1Q,1,5,3,2,Normal,pass,,not successful,,0.33,0.33,0.00,,S.Bennett,,W.McClendon,,,, 13-S.Bennett incomplete. INTERCEPTED by 92-J.Eboigbe at BAMA 38. 92-J.Eboigbe to BAMA 42 for 4 yards (70-W.McClendon). 
Alabama,1Q,2,6,2,1,Normal,run,2,not successful,0.00,,0.00,0.50,N.Harris,,,J.Davis,,1,, 22-N.Harris to BAMA 44 for 2 yards (99-J.Davis). 
Alabama,1Q,2,7,3,2,Normal,pass,16,explosive,,0.50,0.33,0.33,,M.Jones,J.Waddle,M.Herring,,1,, 10-M.Jones complete to 17-J.Waddle. 17-J.Waddle to UGA 40 for 16 yards (10-M.Herring). 
Alabama,1Q,2,8,4,1,Normal,pass,40,explosive,,0.67,0.50,0.25,,M.Jones,J.Metchie,,,,, 10-M.Jones complete to 8-J.Metchie. 8-J.Metchie runs 40 yards for a touchdown. 
Georgia,1Q,2,12,5,1,Normal,pass,4,not successful,,0.25,0.25,0.00,,S.Bennett,K.Jackson,J.Jobe,D.Hellams,0.5,0.5," 13-S.Bennett complete to 10-K.Jackson. 10-K.Jackson to UGA 29 for 4 yards (28-J.Jobe,29-D.Hellams). "
Georgia,1Q,2,13,6,2,Normal,pass,5,not successful,,0.20,0.20,0.00,,S.Bennett,J.Cook,P.Surtain,,1,, 13-S.Bennett complete to 4-J.Cook. 4-J.Cook pushed ob at UGA 34 for 5 yards (2-P.Surtain). 
Georgia,1Q,2,14,7,3,Normal,pass,-12,not successful,,0.17,0.17,0.00,,S.Bennett,,D.Moses,,1,, 13-S.Bennett sacked at UGA 22 for -12 yards (32-D.Moses). 
