team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Alabama,1Q,1,2,1,1,Normal,pass,12,successful,,1.00,1.00,0.00,,M.Jones,S.Bolden,J.McCollough,,1,, 10-M.Jones complete to 18-S.Bolden. 18-S.Bolden to BAMA 27 for 12 yards (22-J.McCollough). 
Alabama,1Q,1,3,2,1,Normal,pass,14,successful,,1.00,1.00,0.00,,M.Jones,D.Smith,J.McCollough,K.George,0.5,0.5," 10-M.Jones complete to 6-D.Smith. 6-D.Smith to BAMA 41 for 14 yards (22-J.McCollough,5-K.George). "
Alabama,1Q,1,4,3,1,Normal,pass,8,successful,,1.00,1.00,0.00,,M.Jones,N.Harris,K.George,,1,, 10-M.Jones complete to 22-N.Harris. 22-N.Harris to BAMA 49 for 8 yards (5-K.George). 
Alabama,1Q,1,5,4,2,Normal,pass,-2,not successful,,0.75,0.75,0.00,,M.Jones,J.Metchie,T.Flowers,,1,, 10-M.Jones complete to 8-J.Metchie. 8-J.Metchie to BAMA 47 for -2 yards (1-T.Flowers). 
Alabama,1Q,1,6,5,3,Normal,run,3,not successful,0.00,,0.60,0.20,N.Harris,,,S.Shamburger,,1,, 22-N.Harris to BAMA 50 for 3 yards (12-S.Shamburger). 
Tennessee,1Q,1,8,1,1,Normal,pass,12,successful,,1.00,1.00,0.00,,J.Guarantano,J.Palmer,P.Surtain,,1,, 2-J.Guarantano complete to 5-J.Palmer. 5-J.Palmer pushed ob at TEN 21 for 12 yards (2-P.Surtain). 
Tennessee,1Q,1,9,2,1,Normal,run,1,not successful,0.00,,0.50,0.50,E.Gray,,,C.Harris,,1,, 3-E.Gray to TEN 22 for 1 yard (8-C.Harris). 
Tennessee,1Q,1,10,3,2,Normal,run,4,not successful,0.00,,0.33,0.67,E.Gray,,,M.Moore,,1,, 3-E.Gray to TEN 26 for 4 yards (13-M.Moore). 
Tennessee,1Q,1,11,4,3,Normal,run,-3,not successful,0.00,,0.25,0.75,E.Gray,,,B.Young,,1,, 3-E.Gray to TEN 23 for -3 yards (47-B.Young). 
Alabama,1Q,2,13,7,1,Normal,pass,30,explosive,,0.80,0.67,0.17,,M.Jones,S.Bolden,T.Flowers,,1,, 10-M.Jones complete to 18-S.Bolden. 18-S.Bolden pushed ob at TEN 40 for 30 yards (1-T.Flowers). 
Alabama,1Q,2,14,8,1,Normal,pass,11,successful,,0.83,0.71,0.14,,M.Jones,D.Smith,T.Flowers,,1,, 10-M.Jones complete to 6-D.Smith. 6-D.Smith to TEN 29 for 11 yards (1-T.Flowers). 
Alabama,1Q,2,15,9,1,Normal,pass,13,successful,,0.86,0.75,0.13,,M.Jones,N.Harris,T.Flowers,,1,, 10-M.Jones complete to 22-N.Harris. 22-N.Harris to TEN 16 for 13 yards (1-T.Flowers). 
Alabama,1Q,2,16,10,1,Red Zone,pass,14,successful,,0.88,0.78,0.11,,M.Jones,D.Smith,B.Thompson,,1,, 10-M.Jones complete to 6-D.Smith. 6-D.Smith to TEN 2 for 14 yards (0-B.Thompson). 
Alabama,1Q,2,17,11,1,Red Zone,run,1,successful,0.50,,0.80,0.20,N.Harris,,,L.Bumphus,,1,, 22-N.Harris to TEN 1 for 1 yard (88-L.Bumphus). 
Alabama,1Q,2,18,12,2,Red Zone,run,1,successful,0.67,,0.82,0.27,N.Harris,,,,,,, 22-N.Harris runs 1 yard for a touchdown. 
Tennessee,1Q,2,21,6,1,Normal,run,3,not successful,0.00,,0.20,0.80,T.Chandler,,,D.Moses,,1,, 8-T.Chandler to TEN 30 for 3 yards (32-D.Moses). 
Tennessee,1Q,2,22,7,2,Normal,run,4,not successful,0.00,,0.17,0.83,T.Chandler,,,C.Harris,,1,, 8-T.Chandler to TEN 34 for 4 yards (8-C.Harris). 
Tennessee,1Q,2,23,8,3,Normal,pass,,not successful,,0.50,0.14,0.71,,J.Guarantano,B.Johnson,,,,, 2-J.Guarantano incomplete. Intended for 7-B.Johnson. 
Alabama,1Q,3,25,13,1,Normal,run,7,successful,0.75,,0.83,0.33,N.Harris,,,M.Butler,,1,, 22-N.Harris to BAMA 31 for 7 yards (94-M.Butler). 
Alabama,1Q,3,26,14,2,Normal,pass,45,explosive,,0.89,0.85,0.31,,M.Jones,J.Metchie,T.Flowers,,1,, 10-M.Jones complete to 8-J.Metchie. 8-J.Metchie to TEN 24 for 45 yards (1-T.Flowers). 
Alabama,1Q,3,27,15,1,Normal,run,7,successful,0.80,,0.86,0.36,N.Harris,,,D.Middleton,T.Flowers,0.5,0.5," 22-N.Harris to TEN 17 for 7 yards (97-D.Middleton,1-T.Flowers). "
Alabama,1Q,3,28,16,2,Red Zone,run,1,not successful,0.67,,0.80,0.40,S.Bolden,,,T.Flowers,,1,, 18-S.Bolden pushed ob at TEN 16 for 1 yard (1-T.Flowers). 
Alabama,1Q,3,29,17,3,Red Zone,run,4,successful,0.71,,0.81,0.44,N.Harris,,,Q.Crouch,J.McCollough,0.5,0.5," 22-N.Harris to TEN 12 for 4 yards (27-Q.Crouch,22-J.McCollough). "
Alabama,1Q,3,30,18,1,Red Zone,run,11,successful,0.75,,0.82,0.47,N.Harris,,,T.Flowers,,1,, 22-N.Harris to TEN 1 for 11 yards (1-T.Flowers). 
