team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Arkansas,1Q,1,2,1,1,Normal,pass,16,explosive,,1.00,1.00,0.00,,F.Franks,M.Woods,C.Harris,,1,, 13-F.Franks complete to 8-M.Woods. 8-M.Woods to ARK 41 for 16 yards (8-C.Harris). 
Arkansas,1Q,1,3,2,1,Normal,run,0,not successful,0.00,,0.50,0.50,F.Franks,,,,,,, 13-F.Franks to ARK 41 for no gain. 
Arkansas,1Q,1,4,3,2,Normal,run,-1,not successful,0.00,,0.33,0.67,T.Smith,,,,,,, 22-T.Smith to ARK 40 for -1 yard. 
Arkansas,1Q,1,5,4,3,Normal,pass,-5,not successful,,0.50,0.25,0.50,,F.Franks,,C.Barmore,,1,, 13-F.Franks sacked at ARK 35 for -5 yards (58-C.Barmore). 
Alabama,1Q,1,7,1,1,Normal,run,1,not successful,0.00,,0.00,1.00,N.Harris,,,I.Nichols,,1,, 22-N.Harris to ARK 46 for 1 yard (93-I.Nichols). 
Alabama,1Q,1,8,2,2,Normal,pass,,not successful,,0.00,0.00,0.50,,M.Jones,N.Harris,,,,, 10-M.Jones incomplete. Intended for 22-N.Harris. 
Alabama,1Q,1,9,3,3,Normal,pass,10,successful,,0.50,0.33,0.33,,M.Jones,S.Bolden,A.Spivey,,1,, 10-M.Jones complete to 18-S.Bolden. 18-S.Bolden to ARK 36 for 10 yards (3-A.Spivey). 
Alabama,1Q,1,10,4,1,Normal,run,4,not successful,0.00,,0.25,0.50,N.Harris,,,,,,, 22-N.Harris to ARK 32 for 4 yards. 
Alabama,1Q,1,11,5,2,Normal,run,4,not successful,0.00,,0.20,0.60,N.Harris,,,J.Catalon,,1,, 22-N.Harris to ARK 28 for 4 yards (1-J.Catalon). 
Alabama,1Q,1,12,6,3,Normal,run,0,not successful,0.00,,0.17,0.67,N.Harris,,,J.Catalon,J.Foucha,0.5,0.5," 22-N.Harris to ARK 28 for no gain (1-J.Catalon,7-J.Foucha). "
Arkansas,1Q,2,15,6,1,Normal,run,16,explosive,0.33,,0.40,0.60,T.Smith,,,P.Surtain,,1,, 22-T.Smith to ARK 41 for 16 yards (2-P.Surtain). 
Arkansas,1Q,2,16,7,1,Normal,pass,,not successful,,0.33,0.33,0.50,,F.Franks,M.Woods,,,,, 13-F.Franks incomplete. Intended for 8-M.Woods. 
Arkansas,1Q,2,17,8,2,Normal,pass,11,successful,,0.50,0.43,0.43,,F.Franks,T.Burks,D.Wright,,1,, 13-F.Franks complete to 16-T.Burks. 16-T.Burks to BAMA 48 for 11 yards (3-D.Wright). 
Arkansas,1Q,2,18,9,1,Normal,run,4,not successful,0.25,,0.38,0.50,F.Franks,,,,,,, 13-F.Franks to BAMA 44 for 4 yards. 
Arkansas,1Q,2,19,10,2,Normal,run,1,not successful,0.20,,0.33,0.56,F.Franks,,,M.Moore,,1,, 13-F.Franks to BAMA 43 for 1 yard (13-M.Moore). 
Arkansas,1Q,2,20,11,3,Normal,pass,24,explosive,,0.60,0.40,0.50,,F.Franks,T.Smith,B.Young,,1,, 13-F.Franks complete to 22-T.Smith. 22-T.Smith to BAMA 19 for 24 yards (47-B.Young). 
Arkansas,1Q,2,21,12,1,Red Zone,run,3,not successful,0.17,,0.36,0.55,T.Hammonds,,,B.Young,,1,, 41-T.Hammonds to BAMA 16 for 3 yards (47-B.Young). 
Arkansas,1Q,2,22,13,2,Red Zone,no play,8,successful,,,0.42,,,,,,,,," 13-F.Franks incomplete. Intended for 7-T.Knox. Penalty on BAMA 31-W.Anderson, Holding, 8 yards, enforced at BAMA 16. No Play. "
Arkansas,1Q,2,24,15,1,Red Zone,pass,5,not successful,,0.50,0.38,0.50,,F.Franks,T.Burks,J.Battle,D.Moses,0.5,0.5," 13-F.Franks complete to 16-T.Burks. 16-T.Burks to BAMA 8 for 5 yards (9-J.Battle,32-D.Moses). "
Arkansas,1Q,2,25,16,2,Red Zone,pass,-1,not successful,,0.43,0.36,0.46,,F.Franks,,W.Anderson,,1,, 13-F.Franks sacked at BAMA 9 for -1 yard (31-W.Anderson). 
