team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Notre Dame,1Q,1,2,1,1,Normal,run,4,not successful,0.00,,0.00,1.00,I.Book,,,,,,," 12-I.Book scrambles, runs ob at ND 12 for 4 yards. "
Notre Dame,1Q,1,3,2,2,Normal,run,15,explosive,0.50,,0.50,1.00,K.Williams,,,J.Jobe,,1,, 23-K.Williams to ND 27 for 15 yards (28-J.Jobe). 
Notre Dame,1Q,1,5,4,2,Normal,pass,,not successful,,0.00,0.33,0.67,,I.Book,J.McKinley,,,,, 12-I.Book incomplete. Intended for 88-J.McKinley. 
Notre Dame,1Q,1,6,5,3,Normal,run,7,not successful,0.33,,0.25,0.75,I.Book,,,D.Wright,,1,, 12-I.Book scrambles to ND 29 for 7 yards (3-D.Wright). 
Alabama,1Q,1,8,1,1,Normal,pass,15,explosive,,1.00,1.00,0.00,,M.Jones,M.Forristall,S.Crawford,N.McCloud,0.5,0.5," 10-M.Jones complete to 87-M.Forristall. 87-M.Forristall to BAMA 36 for 15 yards (20-S.Crawford,4-N.McCloud). "
Alabama,1Q,1,9,2,1,Normal,pass,14,successful,,1.00,1.00,0.00,,M.Jones,N.Harris,N.McCloud,M.Liufau,0.5,0.5," 10-M.Jones complete to 22-N.Harris. 22-N.Harris to BAMA 50 for 14 yards (4-N.McCloud,35-M.Liufau). "
Alabama,1Q,1,10,3,1,Normal,pass,8,successful,,1.00,1.00,0.00,,M.Jones,J.Billingsley,J.Owusu-Koramoah,,1,, 10-M.Jones complete to 19-J.Billingsley. 19-J.Billingsley to ND 42 for 8 yards (6-J.Owusu-Koramoah). 
Alabama,1Q,1,11,4,2,Normal,pass,5,successful,,1.00,1.00,0.00,,M.Jones,M.Forristall,M.Liufau,,1,, 10-M.Jones complete to 87-M.Forristall. 87-M.Forristall pushed ob at ND 37 for 5 yards (35-M.Liufau). 
Alabama,1Q,1,12,5,1,Normal,run,11,successful,1.00,,1.00,0.20,N.Harris,,,K.Hamilton,,1,, 22-N.Harris to ND 26 for 11 yards (14-K.Hamilton). 
Alabama,1Q,1,13,6,1,Normal,pass,,not successful,,0.80,0.83,0.17,,M.Jones,S.Bolden,,,,, 10-M.Jones incomplete. Intended for 18-S.Bolden. 
Alabama,1Q,1,14,7,2,Normal,pass,26,explosive,,0.83,0.86,0.14,,M.Jones,D.Smith,,,,, 10-M.Jones complete to 6-D.Smith. 6-D.Smith runs 26 yards for a touchdown. 
Notre Dame,1Q,2,17,7,1,Normal,run,7,successful,0.50,,0.40,0.80,K.Williams,,,D.Hellams,,1,, 23-K.Williams to ND 32 for 7 yards (29-D.Hellams). 
Notre Dame,1Q,2,18,8,2,Normal,run,1,not successful,0.40,,0.33,0.83,K.Williams,,,B.Branch,J.Eboigbe,0.5,0.5," 23-K.Williams to ND 33 for 1 yard (14-B.Branch,92-J.Eboigbe). "
Notre Dame,1Q,2,19,9,3,Normal,pass,6,successful,,0.50,0.43,0.71,,I.Book,M.Mayer,,,,, 12-I.Book complete to 87-M.Mayer. 87-M.Mayer to ND 39 for 6 yards. 
Notre Dame,1Q,2,20,10,1,Normal,run,7,successful,0.50,,0.50,0.75,K.Williams,,,D.Hellams,J.Jobe,0.5,0.5," 23-K.Williams to ND 46 for 7 yards (29-D.Hellams,28-J.Jobe). "
Notre Dame,1Q,2,21,11,2,Normal,run,-4,not successful,0.43,,0.44,0.78,K.Williams,,,J.Battle,P.Surtain,0.5,0.5," 23-K.Williams to ND 42 for -4 yards (9-J.Battle,2-P.Surtain). "
Notre Dame,1Q,2,22,12,3,Normal,run,2,not successful,0.38,,0.40,0.80,I.Book,,,C.Barmore,,1,, 12-I.Book to ND 44 for 2 yards (58-C.Barmore). 
Alabama,1Q,2,24,8,1,Normal,run,15,explosive,1.00,,0.88,0.25,N.Harris,,,K.Hamilton,,1,, 22-N.Harris to BAMA 18 for 15 yards (14-K.Hamilton). 
