team,quarter,drive_team,play_count,play_count_team,down,red_zone,play_type,yards_total,play_result,run_sr,pass_sr,total_sr,run_rate,runner,passer,receiver,tackler_one,tackler_two,tackler_one_credit,tackler_two_credit,play_description
Ohio State,1Q,1,2,1,1,Normal,run,2,not successful,0.00,,0.00,1.00,T.Sermon,,,C.Harris,W.Anderson,0.5,0.5," 8-T.Sermon to OSU 27 for 2 yards (8-C.Harris,31-W.Anderson). "
Ohio State,1Q,1,3,2,2,Normal,pass,,not successful,,0.00,0.00,0.50,,J.Fields,T.Sermon,,,,, 1-J.Fields incomplete. Intended for 8-T.Sermon. 
Ohio State,1Q,1,4,3,3,Normal,run,1,not successful,0.00,,0.00,0.67,J.Fields,,,C.Allen,,1,, 1-J.Fields scrambles to OSU 28 for 1 yard (4-C.Allen). 
Alabama,1Q,1,6,1,1,Normal,pass,,not successful,,0.00,0.00,0.00,,M.Jones,J.Metchie,,,,, 10-M.Jones incomplete. Intended for 8-J.Metchie. 
Alabama,1Q,1,7,2,2,Normal,pass,22,explosive,,0.50,0.50,0.00,,M.Jones,D.Smith,M.Williamson,,1,, 10-M.Jones complete to 6-D.Smith. 6-D.Smith to BAMA 44 for 22 yards (21-M.Williamson). 
Alabama,1Q,1,8,3,1,Normal,pass,12,successful,,0.67,0.67,0.00,,M.Jones,N.Harris,T.Borland,,1,, 10-M.Jones complete to 22-N.Harris. 22-N.Harris to OSU 44 for 12 yards (32-T.Borland). 
Alabama,1Q,1,9,4,1,Normal,run,2,not successful,0.00,,0.50,0.25,N.Harris,,,J.Cooper,,1,, 22-N.Harris to OSU 42 for 2 yards (0-J.Cooper). 
Alabama,1Q,1,10,5,2,Normal,run,13,successful,0.50,,0.60,0.40,N.Harris,,,S.Wade,P.Werner,0.5,0.5," 22-N.Harris to OSU 29 for 13 yards (24-S.Wade,20-P.Werner). "
Alabama,1Q,1,11,6,1,Normal,pass,9,successful,,0.75,0.67,0.33,,M.Jones,D.Smith,S.Banks,T.Borland,0.5,0.5," 10-M.Jones complete to 6-D.Smith. 6-D.Smith to OSU 20 for 9 yards (7-S.Banks,32-T.Borland). "
Alabama,1Q,1,12,7,2,Normal,run,-2,not successful,0.33,,0.57,0.43,N.Harris,,,S.Wade,,1,, 22-N.Harris to OSU 22 for -2 yards (24-S.Wade). 
Alabama,1Q,1,13,8,3,Normal,pass,15,explosive,,0.80,0.63,0.38,,M.Jones,J.Waddle,L.Ransom,,1,, 10-M.Jones complete to 17-J.Waddle. 17-J.Waddle pushed ob at OSU 7 for 15 yards (12-L.Ransom). 
Alabama,1Q,1,14,9,1,Red Zone,pass,,not successful,,0.67,0.56,0.33,,M.Jones,D.Smith,,,,, 10-M.Jones incomplete. Intended for 6-D.Smith. 
Alabama,1Q,1,15,10,2,Red Zone,pass,2,not successful,,0.57,0.50,0.30,,M.Jones,J.Metchie,S.Banks,,1,, 10-M.Jones complete to 8-J.Metchie. 8-J.Metchie to OSU 5 for 2 yards (7-S.Banks). 
Alabama,1Q,1,16,11,3,Red Zone,pass,4,not successful,,0.50,0.45,0.27,,M.Jones,S.Bolden,,,,, 10-M.Jones complete to 18-S.Bolden. 18-S.Bolden runs ob at OSU 1 for 4 yards. 
Alabama,1Q,1,17,12,4,Red Zone,run,1,successful,0.50,,0.50,0.33,N.Harris,,,,,,, 22-N.Harris runs 1 yard for a touchdown. 
Ohio State,1Q,2,20,5,1,Normal,run,6,successful,0.33,,0.25,0.75,M.Teague,,,W.Anderson,,1,, 33-M.Teague to OSU 31 for 6 yards (31-W.Anderson). 
Ohio State,1Q,2,21,6,2,Normal,pass,3,successful,,0.50,0.40,0.60,,J.Fields,C.Olave,D.Moses,,1,, 1-J.Fields complete to 2-C.Olave. 2-C.Olave to OSU 34 for 3 yards (32-D.Moses). 
Ohio State,1Q,2,22,7,3,Normal,run,2,successful,0.50,,0.50,0.67,M.Teague,,,J.Battle,,1,, 33-M.Teague to OSU 36 for 2 yards (9-J.Battle). 
Ohio State,1Q,2,23,8,1,Normal,pass,,not successful,,0.33,0.43,0.57,,J.Fields,G.Wilson,,,,, 1-J.Fields incomplete. Intended for 5-G.Wilson. 
Ohio State,1Q,2,24,9,2,Normal,pass,20,explosive,,0.50,0.50,0.50,,J.Fields,C.Olave,D.Hellams,,1,, 1-J.Fields complete to 2-C.Olave. 2-C.Olave pushed ob at BAMA 44 for 20 yards (29-D.Hellams). 
Ohio State,1Q,2,25,10,1,Normal,run,0,not successful,0.40,,0.44,0.56,M.Teague,,,C.Allen,C.Harris,0.5,0.5," 33-M.Teague to BAMA 44 for no gain (4-C.Allen,8-C.Harris). "
Ohio State,1Q,2,26,11,2,Normal,pass,36,explosive,,0.60,0.50,0.50,,J.Fields,J.Ruckert,C.Harris,,1,, 1-J.Fields complete to 88-J.Ruckert. 88-J.Ruckert to BAMA 8 for 36 yards (8-C.Harris). 
Ohio State,1Q,2,27,12,1,Red Zone,run,8,successful,0.50,,0.55,0.55,M.Teague,,,,,,, 33-M.Teague runs 8 yards for a touchdown. 
Alabama,1Q,2,30,13,1,Normal,pass,32,explosive,,0.56,0.54,0.31,,M.Jones,D.Smith,M.Williamson,,1,, 10-M.Jones complete to 6-D.Smith. 6-D.Smith pushed ob at OSU 43 for 32 yards (21-M.Williamson). 
Alabama,1Q,2,31,14,1,Normal,pass,12,successful,,0.60,0.57,0.29,,M.Jones,D.Smith,S.Wade,,1,, 10-M.Jones complete to 6-D.Smith. 6-D.Smith to OSU 31 for 12 yards (24-S.Wade). 
Alabama,1Q,2,32,15,1,Normal,pass,9,successful,,0.64,0.60,0.27,,M.Jones,J.Metchie,,,,, 10-M.Jones complete to 8-J.Metchie. 8-J.Metchie runs ob at OSU 22 for 9 yards. 
Alabama,1Q,2,33,16,2,Normal,pass,3,successful,,0.67,0.63,0.25,,M.Jones,D.Smith,J.Proctor,,1,, 10-M.Jones complete to 6-D.Smith. 6-D.Smith to OSU 19 for 3 yards (41-J.Proctor). 
Alabama,1Q,2,34,17,1,Red Zone,run,1,not successful,0.40,,0.59,0.29,N.Harris,,,T.Borland,,1,, 22-N.Harris to OSU 18 for 1 yard (32-T.Borland). 
Alabama,1Q,2,35,18,2,Red Zone,run,6,not successful,0.33,,0.56,0.33,N.Harris,,,T.Friday,J.Hilliard,0.5,0.5," 22-N.Harris to OSU 12 for 6 yards (54-T.Friday,47-J.Hilliard). "
Alabama,1Q,2,36,19,3,Red Zone,pass,2,not successful,,0.62,0.53,0.32,,M.Jones,J.Metchie,B.Browning,,1,, 10-M.Jones complete to 8-J.Metchie. 8-J.Metchie to OSU 10 for 2 yards (5-B.Browning). 
Alabama,1Q,2,37,20,4,Red Zone,run,3,successful,0.43,,0.55,0.35,N.Harris,,,T.Borland,,1,, 22-N.Harris to OSU 7 for 3 yards (32-T.Borland). 
